id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
4606258,ab77b973-74f8-4642-9ccd-17e4741ccbdb,Sun Nov 20 2016 11:35:36 GMT-0600 (CST),2016-11-20,2016-11-20 17:35:36 UTC,Central Time (US & Canada),322688,mweirether,,2016-11-20 19:29:16 UTC,2016-11-23 05:54:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4606258,https://inaturalist-open-data.s3.amazonaws.com/photos/5570269/medium.jpg,,,,1,0,false,3,"Veterans Park, Arlington, TX, US",32.7025966667,-97.1621471667,,,,,,,,false,,,Trident Maple,Acer buergerianum,Trident maple,Plantae,337792,,
5768787,72fc1e6e-9098-4ffb-8b3a-71c2d17229cc,Sun Apr 16 2017 16:45:37 GMT-0400 (EDT),2017-04-16,2017-04-16 20:45:37 UTC,Eastern Time (US & Canada),7580,carrieseltzer,Carrie Seltzer,2017-04-16 22:05:06 UTC,2024-03-15 17:36:49 UTC,research,CC0,https://www.inaturalist.org/observations/5768787,https://inaturalist-open-data.s3.amazonaws.com/photos/7162083/medium.jpg,,"",,4,0,false,3,"Fort Totten Park, Washington, DC, US",38.9475852158,-77.0046642982,10,,,,10,,open,false,,,Trident maple,Acer buergerianum,Trident maple,Plantae,337792,,
5802782,a177297c-1a88-4ce0-9bb2-cf0beb0be3c4,Mon Apr 17 2017 17:41:19 GMT-0500 (CDT),2017-04-17,2017-04-17 22:41:19 UTC,Central Time (US & Canada),61451,iheartprairie,Kimberly Clemons,2017-04-17 22:42:09 UTC,2019-05-21 21:44:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5802782,https://inaturalist-open-data.s3.amazonaws.com/photos/7212784/medium.jpg,,"",,1,0,false,3,"Foster Park, Fort Worth, TX, US",32.6866787207,-97.3756646645,5,,,,5,,,false,,,Trident maple,Acer buergerianum,Trident maple,Plantae,337792,,
9432969,0352c2c7-ef98-43c0-84a7-983e652ead08,2018/01/09 3:45 PM CST,2018-01-09,2018-01-09 21:45:00 UTC,Central Time (US & Canada),24071,bob777,Bob O'Kennon,2018-01-10 21:39:59 UTC,2019-11-30 21:28:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9432969,https://inaturalist-open-data.s3.amazonaws.com/photos/12822387/medium.jpeg,,Foster Park 1-9-18,"",1,0,false,,"Foster Park, Fort Worth, TX, USA",32.6865833333,-97.3756083333,,,,,,,,false,,,Trident maple,Acer buergerianum,Trident maple,Plantae,337792,,
10209534,e147ebab-0247-41a5-9133-483388359df7,2018-03-11 10:30:25,2018-03-11,2018-03-11 15:30:25 UTC,Central Time (US & Canada),24071,bob777,Bob O'Kennon,2018-03-12 22:22:30 UTC,2019-11-30 21:28:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10209534,https://inaturalist-open-data.s3.amazonaws.com/photos/14105141/medium.jpeg,,"","",1,0,false,,Foster Park,32.686715,-97.3756316667,,,,,,,,false,,,Trident maple,Acer buergerianum,Trident maple,Plantae,337792,,
18478048,95bc2c5b-8970-4665-977c-44a1b4b28020,2018/11/17 2:11 PM CST,2018-11-17,2018-11-17 20:11:00 UTC,Central Time (US & Canada),24071,bob777,Bob O'Kennon,2018-11-18 18:52:59 UTC,2019-11-30 21:28:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18478048,https://inaturalist-open-data.s3.amazonaws.com/photos/28255492/medium.jpeg,,Overton 11-17-18,"",1,0,false,,"Foster Park, Fort Worth, TX, USA",32.68655,-97.3755383333,,,,,,,,false,,,Trident maple,Acer buergerianum,Trident maple,Plantae,337792,,
22943309,6ad3723b-3f61-434a-b876-1b3396ccc5a4,Tue Apr 23 2019 11:02:45 GMT-0400 (EDT),2019-04-23,2019-04-23 15:02:45 UTC,Eastern Time (US & Canada),224436,scottgraham,Joseph Scott Graham,2019-04-23 15:09:46 UTC,2024-03-15 18:51:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22943309,https://inaturalist-open-data.s3.amazonaws.com/photos/35643311/medium.jpg,,"",,2,0,false,3,"5607 7th Rd S, Arlington, VA, US",38.8582543703,-77.1235976369,10,,,,10,,open,false,,,Trident maple,Acer buergerianum,Trident maple,Plantae,337792,,
23929449,0cda685d-4b0e-4ce6-be14-42022e3d0ea6,Mon Apr 29 2019 10:30:25 GMT-0400 (EDT),2019-04-29,2019-04-29 14:30:25 UTC,Eastern Time (US & Canada),224436,scottgraham,Joseph Scott Graham,2019-04-29 14:50:55 UTC,2024-03-11 20:01:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23929449,https://inaturalist-open-data.s3.amazonaws.com/photos/37018167/medium.jpg,,"",,2,0,false,3,"5577–5649 N Carlin Springs Rd, Arlington, VA, US",38.868275,-77.1275416667,10,,,,10,,open,false,,,Trident maple,Acer buergerianum,Trident maple,Plantae,337792,,
34798493,47730c0d-11ce-490d-a012-db528ec874a3,2019-10-23 11:23:46 AM EDT,2019-10-23,2019-10-23 15:23:46 UTC,Eastern Time (US & Canada),156871,dossification,"",2019-10-23 20:20:19 UTC,2024-02-25 20:09:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/34798493,https://inaturalist-open-data.s3.amazonaws.com/photos/54810608/medium.jpeg,,"",,1,0,false,2,"Fort Totten, Washington, DC 20011, USA",38.9475288391,-77.0045852661,,,,,,,open,false,gps,gps,Trident maple,Acer buergerianum,Trident maple,Plantae,337792,,
40822643,c2377c31-98eb-4b9b-8ced-399c4d4c9abe,2020/03/26 1:56 PM CDT,2020-03-26,2020-03-26 18:56:00 UTC,Central Time (US & Canada),24071,bob777,Bob O'Kennon,2020-03-27 16:46:20 UTC,2020-03-27 22:52:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40822643,https://inaturalist-open-data.s3.amazonaws.com/photos/64716055/medium.jpeg,,Foster3-26-20,"",1,0,false,,"Foster Park, Fort Worth, TX 76109, USA",32.68658,-97.375545,,,,,,,,false,,,Trident maple,Acer buergerianum,Trident maple,Plantae,337792,,
