id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
689295,2b84bfee-2ed9-4d42-93f0-e6b854404a31,2014-05-18 09:16:58,2014-05-18,2014-05-18 13:16:58 UTC,Eastern Time (US & Canada),2370,ctracey,Christopher Tracey,2014-05-21 02:18:07 UTC,2024-06-11 03:00:46 UTC,research,CC-BY,http://www.inaturalist.org/observations/689295,https://inaturalist-open-data.s3.amazonaws.com/photos/866673/medium.JPG,,"",,3,1,false,,"Allegheny, Pennsylvania, United States",40.4379480556,-79.9043297222,,,,,,,open,false,,,Bergahorn,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
919938,e1910547-f286-4a8e-875d-e01bf4fde8e7,2014-05-18 09:16:59,2014-05-18,2014-05-18 13:16:59 UTC,Eastern Time (US & Canada),2470,pete_woods,Pete Woods,2014-10-12 13:03:14 UTC,2023-10-14 12:30:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/919938,https://static.inaturalist.org/photos/1175466/medium.JPG,,"","",3,0,false,,"Allegheny, Pennsylvania, United States",40.4378233333,-79.9045016667,,,,,,,open,false,,,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
1031067,87e79209-5306-4546-a065-cb2996f07f6c,2014-10-19 15:59:16,2014-10-19,2014-10-19 22:59:16 UTC,Pacific Time (US & Canada),54549,cmmaylor,,2014-10-22 21:28:32 UTC,2023-09-16 18:03:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1031067,https://inaturalist-open-data.s3.amazonaws.com/photos/1293480/medium.JPG,,"","",3,1,false,,ravenna park,47.672462,-122.308037,565,,,,565,,open,false,,,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
1383435,03e93a5a-3d22-4b36-aa22-5cc80b6caf88,2015-04-09 2:01:02 PM PDT,2015-04-09,2015-04-09 21:01:02 UTC,Pacific Time (US & Canada),79653,rowcat,Rowan,2015-04-11 03:51:19 UTC,2020-06-15 15:49:11 UTC,research,,http://www.inaturalist.org/observations/1383435,https://static.inaturalist.org/photos/1709472/medium.jpg,,"tree, maple, forest, park, Whatcom Falls Park, Bellingham, Washington","Found next to path in forest in Whatcom Falls Park. This tree had obviously been pruned by park officials and was around the size of a medium shrub. 

These leaves seems fully grown, so it's unlikely that it's a Big Leaf Maple, but they are much larger and have fewer points than a vine maple. I've never seen of of these trees and known it, despite all the claims in guide books I've seen saying they occur in our area!",2,0,false,2,Whatcom Falls Park,48.752024,-122.434044,349,,,,349,,,false,,,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
1563221,21041a2e-dd25-4f13-b03b-3830b46f26a1,2015-04-05,2015-04-05,,Pacific Time (US & Canada),87853,kristiy,"",2015-05-30 08:35:32 UTC,2022-05-28 00:32:18 UTC,research,,http://www.inaturalist.org/observations/1563221,https://static.inaturalist.org/photos/1935527/medium.jpg,,"","",3,1,false,,Ravenna Park,47.672215,-122.30599,46235,,,,46235,,open,false,,,Bergahorn,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
1563289,ee678d81-f784-426f-8a91-6f8cf97f73b2,2015-04-29,2015-04-29,,Hawaii,87853,kristiy,"",2015-05-30 09:35:49 UTC,2022-05-28 00:32:14 UTC,research,,http://www.inaturalist.org/observations/1563289,https://static.inaturalist.org/photos/1935628/medium.jpg,,"","",3,1,false,,Ravenna Park,47.672182,-122.305955,46235,,,,46235,,open,false,,,Bergahorn,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
1640291,6e4eb4c4-aa20-4f3a-b088-8ba80e2a25ee,2015-06-13 06:51:05,2015-06-13,2015-06-13 13:51:05 UTC,Pacific Time (US & Canada),26610,anudibranchmom,Robin Gwen Agarwal,2015-06-17 00:35:44 UTC,2023-04-22 20:29:48 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1640291,https://inaturalist-open-data.s3.amazonaws.com/photos/2011873/medium.jpg,,2015-06-15 Ore Wash,"",3,1,false,,Tualatin River NWR,45.383355,-122.839503,2692,,,,2692,,open,false,,,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
3186661,fa2bd4be-604b-4f80-848b-5b363fcdb59d,2016-05-16 10:00:27 AM EDT,2016-05-16,2016-05-16 14:00:27 UTC,Eastern Time (US & Canada),46145,littleriver,A. Prince,2016-05-16 13:59:27 UTC,2022-11-10 00:24:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3186661,https://inaturalist-open-data.s3.amazonaws.com/photos/3687728/medium.jpeg,,"",,2,0,false,2,"507 Massachusetts Ave Buffalo, NY 14213",42.91449312,-78.88397878,23,,,,23,,open,false,,,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
3396480,f9e2b2b2-1119-4db6-a4b0-4c7742d6c891,2016-06-04 00:54:34,2016-06-04,2016-06-04 07:54:34 UTC,Pacific Time (US & Canada),207368,demetri94,,2016-06-06 20:48:52 UTC,2020-06-15 15:49:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3396480,https://inaturalist-open-data.s3.amazonaws.com/photos/3929319/medium.JPG,,"","",5,1,false,,Ravenna Park,47.672462,-122.308037,,,,,,,,false,,,Sycamore Maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
3489398,08b3e77c-9e5b-4c3a-a5ab-7468a80ab598,2016-06-20 6:47:39 AM EDT,2016-06-20,2016-06-20 10:47:39 UTC,Eastern Time (US & Canada),175837,tsn,Tom Norton,2016-06-20 12:38:47 UTC,2023-09-28 11:43:29 UTC,research,CC-BY,http://www.inaturalist.org/observations/3489398,https://inaturalist-open-data.s3.amazonaws.com/photos/4058110/medium.jpeg,,"",Leaves pale below,3,0,false,2,"Old Colony Rail Trail Chatham, MA 02633",41.68865827,-69.99538596,8,,,,8,,,false,gps,gps,Sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
3929432,4b66d61e-c01b-41d9-9fc8-840f2b180810,Sat Aug 20 2016 19:44:03 GMT-0700 (PDT),2016-08-20,2016-08-21 02:44:03 UTC,Pacific Time (US & Canada),108443,bushju,,2016-08-21 02:46:33 UTC,2025-01-02 18:18:08 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3929432,https://inaturalist-open-data.s3.amazonaws.com/photos/4624939/medium.jpg,,"",,5,0,false,3,"2000 E Mill Plain Blvd, Vancouver, WA, US",45.628855,-122.65072,,,,,,,open,false,,,Sycamore Maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
4071282,b7b4b2f5-c247-45f6-b966-5a70a71dcfe1,Fri Sep 09 2016 10:22:23 GMT-0400 (EDT),2016-09-09,2016-09-09 14:22:23 UTC,Eastern Time (US & Canada),324251,r_sigal,,2016-09-09 14:23:05 UTC,2016-12-06 21:47:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4071282,https://inaturalist-open-data.s3.amazonaws.com/photos/4827788/medium.jpg,,,"B3 
Ross",1,0,false,3,"295–399 Irving Ave, Providence, RI, US",41.8359985622,-71.3796595205,5,,,,5,,,false,,,Sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
4071449,b5392ae2-f5e4-414f-a491-c2b98d2c5d7e,Fri Sep 09 2016 10:56:16 GMT-0400 (EDT),2016-09-09,2016-09-09 14:56:16 UTC,Eastern Time (US & Canada),324919,allyreed,,2016-09-09 14:56:46 UTC,2020-11-18 00:04:59 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4071449,https://inaturalist-open-data.s3.amazonaws.com/photos/4826623/medium.jpg,,"",B11,3,1,false,3,"295–399 Irving Ave, Providence, RI, US",41.8360329699,-71.3797803038,5,,,,5,,,false,,,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
4156303,471065e0-8f40-4c18-bc20-831f1af9b9c2,Tue Sep 20 2016 14:31:10 GMT-0400 (EDT),2016-09-20,2016-09-20 18:31:10 UTC,Eastern Time (US & Canada),328402,jacobstein,"",2016-09-20 18:31:22 UTC,2020-06-15 15:49:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4156303,https://inaturalist-open-data.s3.amazonaws.com/photos/4950087/medium.jpg,,"",,4,0,false,3,"Inwood Hill Park, New York, NY, US",40.868885438,-73.9256553166,5,,,,5,,,false,,,Sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
4193674,2c842c1c-1ed2-4e64-843a-29dd3304e2d9,Sat Sep 24 2016 14:29:42 GMT-0400 (EDT),2016-09-24,2016-09-24 18:29:42 UTC,Eastern Time (US & Canada),337155,pmarotta,,2016-09-24 20:31:04 UTC,2020-06-15 15:49:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4193674,https://inaturalist-open-data.s3.amazonaws.com/photos/4996192/medium.jpg,,"",,3,0,false,3,"World's End, Hingham, MA, US",42.2704450088,-70.8832275589,5,,,,5,,,false,,,Sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
4372183,d2485518-de5b-4fe6-8e6d-36610256fc33,Sun Oct 16 2016 17:40:30 GMT-0400 (EDT),2016-10-16,2016-10-16 21:40:30 UTC,Eastern Time (US & Canada),343808,alex145,Alex Guerreiro,2016-10-16 21:41:07 UTC,2025-02-19 03:05:49 UTC,research,,http://www.inaturalist.org/observations/4372183,https://static.inaturalist.org/photos/5240943/medium.jpg,,"",,5,2,false,3,"Coughlin Bypass Rd, Boston, MA, US",42.3808219331,-71.02490603,10,,,,10,,open,false,,,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
4379969,0915a247-83b4-4d0a-9444-b1f42e533e90,Mon Oct 17 2016 15:14:39 GMT-0700 (PDT),2016-10-17,2016-10-17 22:14:39 UTC,Pacific Time (US & Canada),315236,carissakl,,2016-10-17 22:14:44 UTC,2021-11-14 21:58:03 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4379969,https://inaturalist-open-data.s3.amazonaws.com/photos/5254535/medium.jpg,,"",,2,0,false,3,"Seahurst Park, Burien, WA, US",47.4771423173,-122.3626125512,10,,,,10,,open,false,,,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
4467920,8af4f436-0af9-4a57-bad6-c06f1deafe9d,2016/10/29 11:47 AM EDT,2016-10-29,2016-10-29 15:47:00 UTC,Eastern Time (US & Canada),220924,natemartineau,Nate Martineau,2016-10-31 06:14:41 UTC,2023-07-08 12:28:59 UTC,research,CC0,http://www.inaturalist.org/observations/4467920,https://inaturalist-open-data.s3.amazonaws.com/photos/5389657/medium.jpeg,,"",                               ,4,0,false,,"Marquette, MI, USA",46.5598741729,-87.3875284195,68,,,,68,,,false,,,Sycamore Maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
4644791,0af80bd1-a1cd-4b76-96de-e136ac1698ae,2016/11/26 12:27 PM EST,2016-11-26,2016-11-26 17:27:00 UTC,Eastern Time (US & Canada),323692,elmaddi,,2016-11-27 03:19:17 UTC,2020-06-15 15:49:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4644791,https://inaturalist-open-data.s3.amazonaws.com/photos/5622888/medium.jpeg,,"","",4,0,false,,"linden laChatham Township, NJ, USA",40.737997,-74.408269,303,,,,303,,,false,,,Sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
5205862,a1392aeb-32a3-47f1-a5f9-a6251bb5ff5a,2017-03-01 3:36:04 PM EST,2017-03-01,2017-03-01 20:36:04 UTC,Eastern Time (US & Canada),330811,wsimmons,"",2017-03-01 20:44:54 UTC,2017-12-02 18:27:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5205862,https://inaturalist-open-data.s3.amazonaws.com/photos/6426927/medium.jpeg,,"",,2,0,false,2,"Middletown, NJ",40.3857644725,-73.982179686,86,,,,86,,,false,gps,gps,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
5206219,97606678-e852-4a62-ad1a-21c50bbb25e8,2017-03-01 4:31:00 PM EST,2017-03-01,2017-03-01 21:31:00 UTC,Eastern Time (US & Canada),330811,wsimmons,"",2017-03-01 21:32:44 UTC,2020-06-15 15:49:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5206219,https://inaturalist-open-data.s3.amazonaws.com/photos/6427435/medium.jpeg,,"",1st pic from 2/3/17 3:22 pm. last from 5/3/17,3,0,false,2,"101 Hillside Avenue Highlands, NJ 07732",40.3957728213,-73.985368497,172,,,,172,,,false,gps,gps,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
5252367,3a2089bd-9fbd-4e9d-bdb8-2a09a238302f,2017-03-08 1:40:59 PM EST,2017-03-08,2017-03-08 18:40:59 UTC,Eastern Time (US & Canada),330811,wsimmons,"",2017-03-08 21:32:43 UTC,2017-12-02 23:50:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5252367,https://inaturalist-open-data.s3.amazonaws.com/photos/6498838/medium.jpeg,,"",clearing invasives. opposite branches.,3,0,false,2,"Battery Loop Trail Highlands, NJ 07732",40.3873278882,-73.984468951,344,,,,344,,,false,gps,gps,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
5854392,611b7829-de00-40db-a415-6a7dc5d98616,Wed Apr 19 2017 12:43:11 GMT-0400 (EDT),2017-04-19,2017-04-19 16:43:11 UTC,Eastern Time (US & Canada),420537,astrobirder,Sequoia Janirella Wrens,2017-04-19 16:43:39 UTC,2023-01-30 19:44:53 UTC,research,CC0,https://www.inaturalist.org/observations/5854392,https://inaturalist-open-data.s3.amazonaws.com/photos/7287754/medium.jpg,,"",,3,0,false,3,"New York, US",40.7331083184,-73.5349018068,10,,,,27908,obscured,,true,,,sycamore maple,Acer pseudoplatanus,sycamore maple,Plantae,119791,,
