id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
7693276,89257103-36cf-451c-ac08-e27cecff20ff,2017/08/27 7:33 PM EDT,2017-08-27,2017-08-27 23:33:00 UTC,Eastern Time (US & Canada),581883,conovedg,"",2017-08-28 22:55:33 UTC,2023-05-24 19:17:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7693276,https://inaturalist-open-data.s3.amazonaws.com/photos/10082249/medium.jpg,,"","Kiwifruit, Actinidia deliciosa, found growing wild in wooded area along bank of Indian Creek in Cincinnati, Hamilton County, Ohio",2,0,false,,"Indian Creek, Cincinnati, OH, USA",39.1833053,-84.539643,17991,,,,17991,,,false,,,Kiwifruit,Actinidia chinensis deliciosa,Kiwifruit,Plantae,411901,,
14483580,b8e61f83-1cf3-4a3c-af02-87eada5f98f8,2018/07/15 4:18 PM EDT,2018-07-15,2018-07-15 20:18:00 UTC,Eastern Time (US & Canada),32654,eraskin,Evan M. Raskin,2018-07-18 17:19:01 UTC,2023-05-27 21:36:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/14483580,https://inaturalist-open-data.s3.amazonaws.com/photos/21559707/medium.jpeg,,introduced,"",3,0,false,,"Erwin's View Trail, Linville Falls, Blue Ridge Parkway",35.9478,-81.92735,3,,,,3,,,false,,,Kiwifruit,Actinidia chinensis deliciosa,Kiwifruit,Plantae,411901,,
25558767,c3e8fd62-0ff5-49f4-9b42-ebc4efeb0a13,2019-05-20 9:30:00 AM EDT,2019-05-20,2019-05-20 13:30:00 UTC,Eastern Time (US & Canada),690732,wghembree,Will Hembree,2019-05-22 14:00:48 UTC,2024-11-03 13:38:58 UTC,research,,https://www.inaturalist.org/observations/25558767,https://static.inaturalist.org/photos/39604593/medium.jpeg,,"",Vine growing near path to Linville Falls Erwin's View ,2,0,false,2,"Jonas Ridge, NC, USA",35.9488271375,-81.9268207625,66,,,,66,,,false,gps,gps,Chinese gooseberry,Actinidia chinensis,Chinese gooseberry,Plantae,55149,,
26845487,345017ca-338e-4d4b-ab4b-edf49cc19e11,2019-06-11 10:50:09 AM EDT,2019-06-11,2019-06-11 14:50:09 UTC,Eastern Time (US & Canada),953893,cavenders,Raymond Cavender,2019-06-12 03:24:48 UTC,2023-05-24 19:17:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26845487,https://inaturalist-open-data.s3.amazonaws.com/photos/41709725/medium.jpeg,,"",,2,0,false,2,"Jonas Ridge, NC, USA",35.9477767944,-81.9274978638,,,,,,,,false,gps,gps,Chinese gooseberry,Actinidia chinensis,Chinese gooseberry,Plantae,55149,,
27925098,6d4f8153-27f2-4940-9fe0-e2610b18ca28,Sun Jun 30 2019 08:24:38 GMT-0400 (EDT),2019-06-30,2019-06-30 12:24:38 UTC,Eastern Time (US & Canada),1854732,terrydyroff,,2019-06-30 12:25:10 UTC,2023-12-08 19:21:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27925098,https://inaturalist-open-data.s3.amazonaws.com/photos/43495979/medium.jpg,,"",,2,0,false,3,"Whittier St NW, Washington, DC, US",38.9712878347,-77.0367996235,18,,,,18,,,false,,,Chinese gooseberry,Actinidia chinensis,Chinese gooseberry,Plantae,55149,,
28207459,7e2b201e-4453-43a1-bc03-887a5f7bec79,Thu Jul 04 2019 17:54:02 GMT-0400 (EDT),2019-07-04,2019-07-04 21:54:02 UTC,Eastern Time (US & Canada),3785,treegrow,Katja Schulz,2019-07-05 00:45:19 UTC,2023-12-08 19:23:32 UTC,research,CC0,https://www.inaturalist.org/observations/28207459,https://inaturalist-open-data.s3.amazonaws.com/photos/43954859/medium.jpg,,LLF,"",2,0,false,3,"Rock Creek Park, Washington, DC, US",38.9717333333,-77.0372861667,10,,,,10,,,false,,,Chinese gooseberry,Actinidia chinensis,Chinese gooseberry,Plantae,55149,,
36217072,ddd26e52-60fa-407b-a1f7-76a1a1abf89c,Fri Nov 29 2019 09:42:58 GMT-0500 (EST),2019-11-29,2019-11-29 14:42:58 UTC,Eastern Time (US & Canada),241076,lserra,,2019-11-30 13:51:22 UTC,2022-04-15 13:43:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36217072,https://inaturalist-open-data.s3.amazonaws.com/photos/57223221/medium.jpg,,"",,1,0,false,3,"Polk County, US-NC, US",35.2037380077,-82.2407818773,10,,,,10,,,false,,,Chinese gooseberry,Actinidia chinensis,Chinese gooseberry,Plantae,55149,,
40219980,b89d2fa3-0a7d-46c7-b606-67fa16545afc,2019/09/07 11:52 AM EDT,2019-09-07,2019-09-07 15:52:00 UTC,Eastern Time (US & Canada),3785,treegrow,Katja Schulz,2020-03-19 04:08:47 UTC,2023-07-25 23:21:18 UTC,research,CC0,https://www.inaturalist.org/observations/40219980,https://inaturalist-open-data.s3.amazonaws.com/photos/63888851/medium.jpeg,,"","Same plant as this: https://www.inaturalist.org/observations/28207459

Growing wild in the forest near the trailhead.  Somebody tossed a kiwi?",2,0,false,,"Brightwood, Washington, DC, USA",38.9710972222,-77.0367194444,,,,,,,,false,,,Chinese gooseberry,Actinidia chinensis,Chinese gooseberry,Plantae,55149,,
41460418,39711472-7836-4d47-9220-9c684465547f,Sun Apr 05 2020 13:16:56 GMT-0400 (EDT),2020-04-05,2020-04-05 17:16:56 UTC,Eastern Time (US & Canada),86246,dbarber,Deborah E Barber,2020-04-05 17:50:40 UTC,2023-07-25 23:17:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41460418,https://inaturalist-open-data.s3.amazonaws.com/photos/65774146/medium.jpg,,"","Volunteer in the rain garden, likely from seeds in the compost",2,0,false,3,"N Pershing Dr, Arlington, VA, US",38.87935,-77.0934305,32,,,,32,,,false,,,中华猕猴桃,Actinidia chinensis,Chinese gooseberry,Plantae,55149,,
43251526,458e31f0-fe67-4ca6-9305-abe826b4e4a6,Fri Apr 24 2020 19:09:39 GMT-0400 (EDT),2020-04-24,2020-04-24 23:09:39 UTC,Eastern Time (US & Canada),997924,sholtz,"",2020-04-25 03:46:03 UTC,2023-07-25 23:23:54 UTC,research,,https://www.inaturalist.org/observations/43251526,https://static.inaturalist.org/photos/68649474/medium.jpg,,"",,2,0,false,3,"Virginia, US",38.9698478115,-77.3175051034,30,,,,28181,obscured,,true,,,Chinese gooseberry,Actinidia chinensis,Chinese gooseberry,Plantae,55149,,
