id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
1713621,a19c5530-049a-4c55-bcae-c9aba5f1272a,2015-06-15 15:24:39,2015-06-15,2015-06-15 19:24:39 UTC,Eastern Time (US & Canada),12158,erikamitchell,Erika Mitchell,2015-07-01 18:47:29 UTC,2020-01-16 14:13:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1713621,https://inaturalist-open-data.s3.amazonaws.com/photos/2075099/medium.jpg,,"Alcea rosea, Calais, Plant, Robinson Hill Rd, VT Atlas of Life, Vermont, hollyhock","",1,0,false,,robinsons hill rd calais vt,44.367797,-72.511431,1364,,,,1364,,,false,,,Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
2105489,d3ea145e-3d0b-4d71-a9f1-148c3a0be071,Tue Oct 13 2015 11:04:23 GMT-0700 (PDT),2015-10-13,2015-10-13 18:04:23 UTC,Pacific Time (US & Canada),143287,btaft04,,2015-10-13 18:08:26 UTC,2025-02-23 22:23:58 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2105489,https://inaturalist-open-data.s3.amazonaws.com/photos/2520767/medium.jpg,,"",Growing on the sidewalk,2,0,false,3,"King School, Oregon City, OR, US",45.338953,-122.620558,10,,,,10,,,false,,,Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
2875128,02ae8b30-82f3-49ea-a52f-744faebb7cbb,Sat May 14 2016 12:30:38 GMT-0700 (PDT),2016-05-14,2016-05-14 19:30:38 UTC,Pacific Time (US & Canada),163455,luis23,Luis Rincon,2016-04-03 21:31:26 UTC,2022-07-02 08:02:12 UTC,research,,http://www.inaturalist.org/observations/2875128,https://static.inaturalist.org/photos/3670377/medium.jpg,,"",Unidentifiable Mallow,2,0,false,3,"90065, Los Angeles, CA, US",34.0989385419,-118.2367160125,357,,,,357,,,false,,,Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
3748977,e79eba25-5917-489a-968f-41f40cd9514e,2016-07-15 10:28:23,2016-07-15,2016-07-15 17:28:23 UTC,Pacific Time (US & Canada),10285,finatic,BJ Stacey,2016-07-26 16:55:24 UTC,2025-04-01 21:44:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3748977,https://static.inaturalist.org/photos/4361730/medium.jpg,,"","Larimer County, Colorado, US",1,0,false,,Roosevelt National Forest,40.680094,-105.387553,,,,,,,,false,,"",Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
3752518,73337bcc-7dba-41c9-8a26-114ac03a0412,2016/07/26 9:38 AM PDT,2016-07-26,2016-07-26 16:38:00 UTC,Pacific Time (US & Canada),38530,kevinhintsa,"",2016-07-27 04:21:21 UTC,2016-07-28 14:31:56 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3752518,https://inaturalist-open-data.s3.amazonaws.com/photos/4367833/medium.jpeg,,"",          ,1,0,false,,"Dow Wetlands Preserve  , CA",38.01941,-121.825558,105,,,,105,,,false,,,Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
3754142,ddcf260a-dd2b-4f8a-abb1-0d19d46038a6,2016/07/25 9:36 PM PDT,2016-07-25,2016-07-26 04:36:00 UTC,Pacific Time (US & Canada),3342,hfabian,Henry Fabian,2016-07-27 15:50:43 UTC,2021-10-16 01:04:15 UTC,research,CC0,http://www.inaturalist.org/observations/3754142,https://static.inaturalist.org/photos/4370103/medium.jpg,,"",Garden escapee.,2,0,false,,"Dow Wetlands Preserve, Antioch, CA, United States",38.021174,-121.8320633,,,,,,,,false,,,Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
3827477,b02b758c-f19d-42dc-9fdf-20f37bf9b07d,Tue Jun 21 2016 07:13:43 GMT-0400 (EDT),2016-06-21,2016-06-21 11:13:43 UTC,Eastern Time (US & Canada),294155,himani,Himani Reddy,2016-08-07 22:23:01 UTC,2024-07-15 01:41:05 UTC,research,,http://www.inaturalist.org/observations/3827477,https://static.inaturalist.org/photos/4476274/medium.jpg,,"",,1,0,false,3,"1920 Oak Timber Dr, Bedford, TX, US",32.8419833333,-97.1019138333,,,,,,,,false,,,Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
4081122,f67339ec-f9f8-4708-874e-7f9b926beb5c,Sat Sep 10 2016 13:05:52 GMT-0600 (MDT),2016-09-10,2016-09-10 19:05:52 UTC,Mountain Time (US & Canada),218353,ksbruce1,,2016-09-10 22:46:03 UTC,2025-05-22 20:49:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4081122,https://inaturalist-open-data.s3.amazonaws.com/photos/4841364/medium.jpg,,"",,2,0,false,3,"Santa Fe National Forest, Glorieta, NM, US",35.6775908363,-105.8006463178,44035,,,,44035,,,false,,,Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
4428828,0132e364-ec1d-4983-b269-550cfb0a9acc,2016/07/27 10:08 AM CDT,2016-07-27,2016-07-27 15:08:00 UTC,Central Time (US & Canada),172638,evan8,Evan Barker,2016-10-24 22:27:37 UTC,2016-10-25 10:51:20 UTC,research,CC0,http://www.inaturalist.org/observations/4428828,https://inaturalist-open-data.s3.amazonaws.com/photos/5328232/medium.jpg,,"",Clearly escaped from cultivation.,1,0,false,,"Kane County, IL, USA",41.781745008,-88.4216272831,8,,,,8,,,false,,,Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
5505602,d76c0d5a-b8f2-4861-871a-2e75ebeb4cb8,2017/03/26 1:44 PM PDT,2017-03-26,2017-03-26 20:44:00 UTC,Pacific Time (US & Canada),107672,red_wolf,Gabbie Byers,2017-03-30 03:55:09 UTC,2018-01-11 18:48:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/5505602,https://inaturalist-open-data.s3.amazonaws.com/photos/6787450/medium.jpeg,,"",,1,0,false,,"Terrace Heights, WA 98901, USA",46.6155863824,-120.466101765,8,,,,8,,,false,,,Hollyhock,Alcea rosea,Hollyhock,Plantae,62205,,
