id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
491970,6dfdfb89-7dfb-42e6-8196-6a00cffc4aab,2014-01-01,2014-01-01,,Eastern Time (US & Canada),20147,sarahbirdwebb,Sarah Webb,2014-01-02 16:03:39 UTC,2021-01-23 14:01:52 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/491970,https://inaturalist-open-data.s3.amazonaws.com/photos/622640/medium.jpg,,"","",1,0,false,,Ratner Lane Royalton Vermont,43.783851,-72.611301,11,,,,11,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
498436,5174b2b7-5866-4430-8bbd-5c38c676f1f8,2014-01-09,2014-01-09,,Eastern Time (US & Canada),20147,sarahbirdwebb,Sarah Webb,2014-01-11 01:49:17 UTC,2021-01-23 14:02:09 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/498436,https://inaturalist-open-data.s3.amazonaws.com/photos/634280/medium.JPG,,"","",2,0,false,,Chittenden Brook  Vermont,43.845328,-72.900098,,,,,,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
502886,542fe4ac-6d75-4223-be78-3f5d312f3fa1,2014-01-16,2014-01-16,,Eastern Time (US & Canada),20147,sarahbirdwebb,Sarah Webb,2014-01-16 23:47:43 UTC,2021-01-23 14:02:19 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/502886,https://inaturalist-open-data.s3.amazonaws.com/photos/640052/medium.jpg,,"","",2,0,false,,Robert Frost Trail Vermont,43.957928,-73.010985,,,,,,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
504942,58140002-4cbb-47f6-b975-c50a0789f0b2,Sat Jan 18 2014 13:51:40 GMT-0500 (EST),2014-01-18,2014-01-18 18:51:40 UTC,Eastern Time (US & Canada),317,kpmcfarland,Kent McFarland,2014-01-20 00:50:20 UTC,2022-06-17 18:23:49 UTC,research,CC0,http://www.inaturalist.org/observations/504942,https://inaturalist-open-data.s3.amazonaws.com/photos/642990/medium.jpg,,"",Trunk,1,0,false,3,"2–98 Glover Rd, Rumford, ME, US",44.57758,-70.6085966667,,,,,,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
509932,5284e6a7-7d2e-47bd-b612-4e66172f683e,Sat Jan 25 2014 11:06:44 GMT-0500 (EST),2014-01-25,2014-01-25 16:06:44 UTC,Eastern Time (US & Canada),317,kpmcfarland,Kent McFarland,2014-01-25 16:08:20 UTC,2022-06-17 18:23:49 UTC,research,CC0,http://www.inaturalist.org/observations/509932,https://inaturalist-open-data.s3.amazonaws.com/photos/649437/medium.jpg,,"","",1,0,false,3,"1805 Sherman Hollow Rd, Huntington, VT, US",44.35134,-73.028954,5,,,,5,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
509955,f3d22fc0-e9a6-474a-87bb-4843b32974e6,Sat Jan 25 2014 11:35:16 GMT-0500 (EST),2014-01-25,2014-01-25 16:35:16 UTC,Eastern Time (US & Canada),317,kpmcfarland,Kent McFarland,2014-01-25 16:36:50 UTC,2022-06-17 18:23:49 UTC,research,CC0,http://www.inaturalist.org/observations/509955,https://inaturalist-open-data.s3.amazonaws.com/photos/649476/medium.jpg,,"","",1,0,false,3,"05462, Huntington, VT, US",44.350493,-73.029158,5,,,,5,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
509967,0c067cbd-81d7-4032-aac8-bc0422da6708,Sat Jan 25 2014 11:48:05 GMT-0500 (EST),2014-01-25,2014-01-25 16:48:05 UTC,Eastern Time (US & Canada),317,kpmcfarland,Kent McFarland,2014-01-25 16:49:42 UTC,2022-06-17 18:23:49 UTC,research,CC0,http://www.inaturalist.org/observations/509967,https://inaturalist-open-data.s3.amazonaws.com/photos/649496/medium.jpg,,"","",1,0,false,3,"05462, Huntington, VT, US",44.3500187388,-73.0287726504,5,,,,5,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
509978,66568586-ad4a-4d1f-a0f3-2be09b57e076,Sat Jan 25 2014 11:24:13 GMT-0500 (EST),2014-01-25,2014-01-25 16:24:13 UTC,Eastern Time (US & Canada),11792,kylejones,Kyle Jones,2014-01-25 17:18:06 UTC,2014-10-20 15:14:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/509978,https://inaturalist-open-data.s3.amazonaws.com/photos/649532/medium.jpg,,"","",1,0,false,3,"05462, Huntington, VT, US",44.3504716667,-73.0290361667,,,,,,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
516605,f96204ce-0bef-4336-ab11-c660b6353c38,2014-01-31 10 am,2014-01-31,2014-01-31 15:00:00 UTC,Eastern Time (US & Canada),20147,sarahbirdwebb,Sarah Webb,2014-01-31 22:52:40 UTC,2021-01-23 14:02:35 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/516605,https://inaturalist-open-data.s3.amazonaws.com/photos/658490/medium.JPG,,"","",1,0,false,,"Split Rock Trail, Pittsford, VT",43.717074,-72.998115,,,,,,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
518947,ad663a71-e893-409a-be5a-5671f71f699a,Sun Feb 02 2014 13:31:00 GMT-0500 (EST),2014-02-02,2014-02-02 18:31:00 UTC,Eastern Time (US & Canada),317,kpmcfarland,Kent McFarland,2014-02-03 12:16:17 UTC,2022-06-17 18:23:49 UTC,research,CC0,http://www.inaturalist.org/observations/518947,https://inaturalist-open-data.s3.amazonaws.com/photos/661165/medium.jpg,,"","",1,0,false,3,"05672, Stowe, VT, US",44.4818033333,-72.7691333333,,,,,,,,false,,,Yellow Birch,Betula alleghaniensis,yellow birch,Plantae,49882,,
