id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
744016,2abfbb5b-d95a-4f51-9ce7-52e758d4a5a6,2014-06-11,2014-06-11,,Eastern Time (US & Canada),4860,rcurtis,Rob Curtis,2014-06-19 00:04:16 UTC,2020-05-09 20:24:56 UTC,research,CC-BY,http://www.inaturalist.org/observations/744016,https://inaturalist-open-data.s3.amazonaws.com/photos/935321/medium.JPG,,"",escaped shrub?,1,0,false,,"Casade Valley Park, OH",41.113076,-81.525193,2123,,,,2123,,,false,,,Greenstem Forsythia,Forsythia viridissima,Greenstem Forsythia,Plantae,163059,,
1402989,a0ce65d9-b1b1-43f3-ac37-31253fe37049,2015-04-18,2015-04-18,,Eastern Time (US & Canada),77467,celticcail,Cailin O'Connor,2015-04-18 20:20:29 UTC,2015-04-19 03:15:10 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1402989,https://inaturalist-open-data.s3.amazonaws.com/photos/1735381/medium.JPG,,"","",1,0,false,,"Ringwood State Park, Ringwood, NJ",41.145717,-74.256081,1171,,,,1171,,,false,,,Forsythia suspensa,Forsythia suspensa,Golden-bell,Plantae,163058,,
1426839,d578a214-cf9e-484a-a8cc-3574b8ade685,Sun Apr 26 2015 14:03:22 GMT-0400 (EDT),2015-04-26,2015-04-26 18:03:22 UTC,Eastern Time (US & Canada),77302,brionnap,"",2015-04-26 18:04:14 UTC,2017-03-26 13:09:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1426839,https://inaturalist-open-data.s3.amazonaws.com/photos/1765757/medium.jpg,,,,1,0,false,3,"106 Old Clinton Rd, Raritan, NJ, US",40.56395,-74.8673083333,,,,,,,,false,,,Border Forsythia,Forsythia × intermedia,Border Forsythia,Plantae,411276,,
2825765,fa08f9dc-6ca1-4910-99af-f7b8493dfabd,Thu Mar 24 2016 16:13:18 GMT-0400 (EDT),2016-03-24,2016-03-24 20:13:18 UTC,Eastern Time (US & Canada),181306,macquafredda13,M. Acquafredda,2016-03-24 20:14:27 UTC,2017-03-26 13:09:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2825765,https://inaturalist-open-data.s3.amazonaws.com/photos/3216030/medium.jpg,,,,2,0,false,3,"45-47 Lincoln Ave, Highland Park, NJ, US",40.4993937957,-74.4348919765,10,,,,10,,,false,,,Border Forsythia,Forsythia × intermedia,Border Forsythia,Plantae,411276,,
2833644,e37ac4ac-0893-4e2c-990a-567c864828ca,Sat Mar 26 2016 16:42:29 GMT-0400 (EDT),2016-03-26,2016-03-26 20:42:29 UTC,Eastern Time (US & Canada),139579,dctr,"",2016-03-26 21:31:56 UTC,2017-11-09 22:02:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2833644,https://inaturalist-open-data.s3.amazonaws.com/photos/3227708/medium.jpg,,,,1,0,false,3,"Soapstone Valley Park, Washington, DC, US",38.946046,-77.057649,5,,,,5,,,false,,,Border Forsythia,Forsythia × intermedia,Border Forsythia,Plantae,411276,,
2844942,dfdac56f-c7c9-4db5-bbdd-1f24eb0b7096,Sun Mar 27 2016 12:14:14 GMT-0400 (EDT),2016-03-27,2016-03-27 16:14:14 UTC,Eastern Time (US & Canada),44100,vilseskog,Lena Struwe,2016-03-28 23:54:57 UTC,2017-03-26 13:09:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2844942,https://inaturalist-open-data.s3.amazonaws.com/photos/3243309/medium.jpg,,,"",2,0,false,3,"333 Dutchtown Zion Rd, Montgomery, NJ, US",40.4414996383,-74.7190775674,65,,,,65,,,false,,,Border Forsythia,Forsythia × intermedia,Border Forsythia,Plantae,411276,,
2855504,6a577daf-a4bf-4455-83c7-82ba27a3aa26,Wed Mar 30 2016 13:53:30 GMT-0400 (EDT),2016-03-30,2016-03-30 17:53:30 UTC,Eastern Time (US & Canada),130834,jhafstad,Jason Hafstad,2016-03-31 02:40:41 UTC,2017-03-26 13:09:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2855504,https://inaturalist-open-data.s3.amazonaws.com/photos/3257904/medium.jpg,,,,1,0,false,3,"100 Ryders Ln, Milltown, NJ, US",40.4580565961,-74.4257289638,5,,,,5,,,false,,,Border Forsythia,Forsythia × intermedia,Border Forsythia,Plantae,411276,,
2936048,faf1b96d-176c-40eb-a213-4950d85b373c,2016-04-14 12:32,2016-04-14,2016-04-14 17:32:00 UTC,Central Time (US & Canada),35203,sanguinaria33,Mark Kluge,2016-04-14 21:54:44 UTC,2023-05-26 20:21:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2936048,https://inaturalist-open-data.s3.amazonaws.com/photos/3365181/medium.JPG,,"","",1,0,false,,West DuPage Woods,41.866499,-88.174376,24,,,,24,,,false,,,Border Forsythia,Forsythia × intermedia,Border Forsythia,Plantae,411276,,
2936366,6f33915f-4247-4695-ae60-f0f02186156f,2016-04-14 7:02:52 PM EDT,2016-04-14,2016-04-14 23:02:52 UTC,Eastern Time (US & Canada),216905,javiehweg,"",2016-04-14 23:03:34 UTC,2017-03-26 13:09:22 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/2936366,https://inaturalist-open-data.s3.amazonaws.com/photos/3365593/medium.jpeg,,"","",2,0,false,2,"81 lewisville road, lawrenceville, nj",40.289854,-74.721323,4,,,,4,,,false,,,Border Forsythia,Forsythia × intermedia,Border Forsythia,Plantae,411276,,
2976155,2414cae2-c650-4b16-a24b-4dde328028a1,2016-04-19,2016-04-19,,Eastern Time (US & Canada),216576,jamayr,Jennifer A Mayr,2016-04-19 20:43:41 UTC,2017-03-26 13:09:24 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/2976155,https://inaturalist-open-data.s3.amazonaws.com/photos/3420369/medium.jpg,,"","",1,0,false,,2834 Main St Lawrenceville NJ,40.3021583,-74.7245712,,,,,,,,false,,,Border Forsythia,Forsythia × intermedia,Border Forsythia,Plantae,411276,,
