id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
491971,54fec38f-6d34-4d24-b9f9-562a2e3235e3,2014-01-01,2014-01-01,,Eastern Time (US & Canada),20147,sarahbirdwebb,Sarah Webb,2014-01-02 16:04:02 UTC,2021-01-23 14:01:53 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/491971,https://inaturalist-open-data.s3.amazonaws.com/photos/622641/medium.jpg,,"","",1,0,false,,Ratner Lane Royalton Vermont,43.783851,-72.611301,11,,,,11,,,false,,,White Ash,Fraxinus americana,white ash,Plantae,54805,,
500237,24015087-84c4-4ca2-b7cb-e577855a0b21,Sun Jan 12 2014 14:11:48 GMT-0500 (EST),2014-01-12,2014-01-12 19:11:48 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-01-13 03:53:14 UTC,2014-10-20 13:09:41 UTC,research,CC0,http://www.inaturalist.org/observations/500237,https://inaturalist-open-data.s3.amazonaws.com/photos/636410/medium.jpg,,"","",1,0,false,3,"2346–2744 Brookfield Rd, Northfield, VT, US",44.200142,-72.592206,5,,,,5,,,false,,,Fraame,Fraxinus americana,white ash,Plantae,54805,,
501193,771bea23-c27b-455c-94e2-69052f9f4660,2014-01-09,2014-01-09,,Eastern Time (US & Canada),13444,vicfazio3,Victor W Fazio III,2014-01-14 15:30:37 UTC,2019-02-03 13:42:39 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/501193,https://inaturalist-open-data.s3.amazonaws.com/photos/637702/medium.jpg,,"","",1,0,false,,"Six Mile Cypress Slough Preserve, Lee Co., FL",26.573406,-81.823812,237,,,,29845,,open,false,,,Carolina Ash,Fraxinus caroliniana,Carolina Ash,Plantae,163079,,
517976,b28c2400-d53a-404e-8c65-1171a7b7e4cf,2014-02-02,2014-02-02,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-02-02 19:16:56 UTC,2014-10-20 15:41:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/517976,https://inaturalist-open-data.s3.amazonaws.com/photos/660132/medium.jpg,,"","",1,0,false,,"Split Rock Trail, Pittsford, Vermont",43.715376,-72.995664,48,,,,48,,,false,,,White Ash,Fraxinus americana,white ash,Plantae,54805,,
519851,f25dd6eb-6c00-499f-b85c-c1b3eb43705d,2014-02-03,2014-02-03,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-02-04 01:12:58 UTC,2014-10-20 15:46:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/519851,https://inaturalist-open-data.s3.amazonaws.com/photos/662055/medium.jpg,,"","",2,0,false,,"Wheelerville Road, Mendon, VT",43.648001,-72.875748,769,,,,769,,,false,,,White Ash,Fraxinus americana,white ash,Plantae,54805,,
526018,7546d48e-7a42-46f5-a3b4-559cbef608ea,Sun Feb 09 2014 12:28:35 GMT-0500 (EST),2014-02-09,2014-02-09 17:28:35 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-02-09 22:45:49 UTC,2014-10-20 16:04:31 UTC,research,CC0,http://www.inaturalist.org/observations/526018,https://inaturalist-open-data.s3.amazonaws.com/photos/669724/medium.jpg,,"","",1,0,false,3,"300–736 Cummings Rd, Montpelier, VT, US",44.285583,-72.549475,10,,,,10,,,false,,,Fraame,Fraxinus americana,white ash,Plantae,54805,,
529799,55e76aa8-6630-4e43-bb3b-a08302227e77,2014-02-13,2014-02-13,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-02-13 21:37:05 UTC,2014-10-20 16:15:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/529799,https://inaturalist-open-data.s3.amazonaws.com/photos/674376/medium.jpg,,"","very spongy bark, in a damp area

https://gobotany.newenglandwild.org/species/fraxinus/nigra/",2,0,false,,"Whipple Hollow Rd, West Rutland, Vermont",43.621495,-73.063416,96,,,,96,,open,false,,,black ash,Fraxinus nigra,black ash,Plantae,54807,,
533177,c0d1e051-fb10-482f-a9d1-5b8fc38d4d31,Sun Feb 16 2014 11:18:32 GMT-0600 (CST),2014-02-16,2014-02-16 17:18:32 UTC,Central Time (US & Canada),13518,milopyne,Milo Pyne,2014-02-16 20:32:16 UTC,2025-03-06 16:21:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/533177,https://inaturalist-open-data.s3.amazonaws.com/photos/678309/medium.JPG,,"","",2,0,false,3,"Percy Warner Park, Nashville, TN, US",36.065215,-86.877114,5,,,,5,,open,false,,,blue ash,Fraxinus quadrangulata,blue ash,Plantae,54810,,
533350,9d40313b-e0ce-4e62-83ba-92d44fc62400,Sun Feb 16 2014 12:45:04 GMT-0500 (EST),2014-02-16,2014-02-16 17:45:04 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-02-16 23:32:58 UTC,2014-10-20 16:24:51 UTC,research,CC0,http://www.inaturalist.org/observations/533350,https://inaturalist-open-data.s3.amazonaws.com/photos/678185/medium.jpg,,"","",1,0,false,3,"05495, Williston, VT, US",44.39578,-73.103493,5,,,,5,,,false,,,Fraame,Fraxinus americana,white ash,Plantae,54805,,
534188,9bc5dc5f-48bc-4ded-9b12-868a092d5b89,2014-02-07 09:57:34,2014-02-07,2014-02-07 14:57:34 UTC,Eastern Time (US & Canada),29257,cvcsstudents,Central Vermont Catholic School Grade 7 and 8,2014-02-17 16:22:19 UTC,2024-12-27 12:02:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/534188,https://inaturalist-open-data.s3.amazonaws.com/photos/679152/medium.jpg,,"",this is a ash tree ,1,0,false,,"Washington, Vermont, United States",44.1556333333,-72.4618611111,,,,,27364,,,false,,,White Ash,Fraxinus americana,white ash,Plantae,54805,,
536934,5c5170ee-0239-4891-8b4c-241fb3232029,2014-02-19,2014-02-19,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-02-20 00:37:37 UTC,2014-10-20 16:36:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/536934,https://inaturalist-open-data.s3.amazonaws.com/photos/682818/medium.jpg,,"","",1,0,false,,"Wheelerville Road, Mendon, VT",43.636013,-72.870941,57,,,,57,,,false,,,White Ash,Fraxinus americana,white ash,Plantae,54805,,
542599,21e1217b-1b8b-4202-b6c0-2e279ad474ab,Sat Feb 22 2014 15:41:50 GMT-0500 (EST),2014-02-22,2014-02-22 20:41:50 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-02-24 20:46:12 UTC,2014-10-20 15:09:05 UTC,research,CC0,http://www.inaturalist.org/observations/542599,https://inaturalist-open-data.s3.amazonaws.com/photos/689091/medium.jpg,,"","",1,0,false,3,"05251, Dorset, VT, US",43.255743,-73.027246,5,,,,5,,,false,,,Fraame,Fraxinus americana,white ash,Plantae,54805,,
542611,051fa4c1-b00f-49f2-b988-0a7d9ba3f3ad,Sun Feb 23 2014 13:33:49 GMT-0500 (EST),2014-02-23,2014-02-23 18:33:49 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-02-24 20:46:45 UTC,2014-10-20 15:09:08 UTC,research,CC0,http://www.inaturalist.org/observations/542611,https://inaturalist-open-data.s3.amazonaws.com/photos/689104/medium.jpg,,"","",1,0,false,3,"2454–2590 VT-140, Poultney, VT, US",43.522932,-73.183563,5,,,,5,,,false,,,Fraame,Fraxinus americana,white ash,Plantae,54805,,
548025,c0542c5f-583b-4a9c-b748-4c10615af960,Fri Feb 28 2014 17:15:58 GMT-0500 (EST),2014-02-28,2014-02-28 22:15:58 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-03-02 01:38:09 UTC,2016-06-09 18:27:14 UTC,research,CC0,http://www.inaturalist.org/observations/548025,https://inaturalist-open-data.s3.amazonaws.com/photos/699641/medium.jpg,,"","",1,0,false,3,"228 North St, Montpelier, VT, US",44.265607,-72.566569,5,,,,5,,,false,,,Fraame,Fraxinus americana,white ash,Plantae,54805,,
549595,7f17bce0-9bc1-4bb0-a2d9-182d7ff2fc20,2014-03-02,2014-03-02,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-03-03 02:17:03 UTC,2014-10-20 15:29:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/549595,https://inaturalist-open-data.s3.amazonaws.com/photos/701539/medium.jpg,,"","",1,0,false,,"Bomoseen State Park Campground, Castleton, Vermont",43.655764,-73.227739,192,,,,192,,,false,,,White Ash,Fraxinus americana,white ash,Plantae,54805,,
551443,f8dfc59b-eb64-49e0-b5be-319bcb9215a3,Mon Mar 03 2014 15:38:54 GMT-0500 (EST),2014-03-03,2014-03-03 20:38:54 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-03-04 02:47:17 UTC,2016-06-09 18:27:20 UTC,research,CC0,http://www.inaturalist.org/observations/551443,https://inaturalist-open-data.s3.amazonaws.com/photos/703612/medium.jpg,,"","",1,0,false,3,"13–45 River St, Montpelier, VT, US",44.25003,-72.568376,5,,,,5,,,false,,,Fraame,Fraxinus americana,white ash,Plantae,54805,,
