id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
2309694,e2f2d1fd-4a27-4363-a276-0f3f50170753,Sat Oct 24 2015 10:43:06 GMT-0500 (CDT),2015-10-24,2015-10-24 15:43:06 UTC,Central Time (US & Canada),35651,paulo,Paul Orr,2015-10-25 20:55:48 UTC,2018-06-22 21:38:52 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/2309694,https://inaturalist-open-data.s3.amazonaws.com/photos/2567842/medium.jpg,,"",Growing on the Mississippi River bank from seed spilled by grain elevator.,1,0,false,3,"St. James County, US-LA, US",30.0632945,-90.8834133333,,,,,,,,false,,,Soybean,Glycine max,Soybean,Plantae,122902,,
3442862,457dc4ec-1cb2-4ea9-8ebd-7f2d7f335d7d,2016-06-12,2016-06-12,,Central Time (US & Canada),49118,lauramorganclark,Laura Clark,2016-06-12 16:53:32 UTC,2017-09-26 11:23:12 UTC,research,CC-BY,http://www.inaturalist.org/observations/3442862,https://inaturalist-open-data.s3.amazonaws.com/photos/3991636/medium.JPG,,"",Stems and leaves are very pubescent and tender. Growing in a very wet area.,1,0,false,,"Jasper County, TX, US",30.814729,-94.020932,114,,,,114,,,false,,,Soybean,Glycine max,Soybean,Plantae,122902,,
5152059,c58416bd-8bbe-4e31-9eca-a8e49dbe8cb2,2017/02/19 12:25 PM EST,2017-02-19,2017-02-19 17:25:00 UTC,Eastern Time (US & Canada),341557,toxmace,Tom Austin,2017-02-22 03:40:28 UTC,2018-06-22 21:38:27 UTC,research,CC-BY,https://www.inaturalist.org/observations/5152059,https://inaturalist-open-data.s3.amazonaws.com/photos/6346610/medium.jpg,,"",Just a guess.,1,0,false,,"Charleston County, SC, USA",32.6765895115,-80.3484034538,44,,,,44,,,false,,,Soybean,Glycine max,Soybean,Plantae,122902,,
7787172,9f637999-bd27-4317-b4bf-f52c587c48f4,2017/08/30 10:25 AM EDT,2017-08-30,2017-08-30 14:25:00 UTC,Eastern Time (US & Canada),341557,toxmace,Tom Austin,2017-09-05 00:37:03 UTC,2024-02-02 04:12:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/7787172,https://inaturalist-open-data.s3.amazonaws.com/photos/10235802/medium.jpeg,,"","No idea, growing up planted egyptian wheat.",2,0,false,,"Edisto Island, SC 29438, USA",32.5507381384,-80.2326285839,15,,,,15,,,false,,,Soybean,Glycine max,Soybean,Plantae,122902,,
12365098,febbc0e5-aa41-4925-9c95-410df8dc56e7,2018-05-11 4:08:38 PM EDT,2018-05-11,2018-05-11 20:08:38 UTC,Eastern Time (US & Canada),626518,aphuss,aphuss,2018-05-11 23:12:44 UTC,2018-06-22 21:37:52 UTC,research,,https://www.inaturalist.org/observations/12365098,https://static.inaturalist.org/photos/17812305/medium.jpeg,,"",,1,0,false,2,"Duval Street Connector, Richmond, VA 23219, USA",37.5437393188,-77.4287185669,,,,,,,,false,gps,gps,Soybean,Glycine max,Soybean,Plantae,122902,,
13763746,2728a0fb-18e8-47d9-986d-39e2d954387e,2018/06/05 2:15 PM CDT,2018-06-05,2018-06-05 19:15:00 UTC,Central Time (US & Canada),898421,observer26,"",2018-06-25 05:10:39 UTC,2019-12-09 03:15:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13763746,https://inaturalist-open-data.s3.amazonaws.com/photos/20274456/medium.jpeg,,"Illinois River, Kampsville, Illinois, flower, compound leaf","Flower along shore of the Illinois River at Kampsville, Illinois.",1,0,false,,"Kampsville, IL 62053, USA",39.2987309078,-90.6078102864,2,,,,2,,,false,,,Soybean,Glycine max,Soybean,Plantae,122902,,
13821462,0bcf80c6-5590-400c-94d9-d0f82f827015,2018/06/05 3:13 PM CDT,2018-06-05,2018-06-05 20:13:00 UTC,Central Time (US & Canada),898421,observer26,"",2018-06-27 02:51:39 UTC,2018-06-27 06:03:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13821462,https://inaturalist-open-data.s3.amazonaws.com/photos/20356198/medium.jpeg,,"Illinois River, Hardin, Illinois, plant, flower","Flower along the shore of the Illinois River, Hardin, Illinois.",1,0,false,,"Hardin, IL 62047, USA",39.1540257975,-90.6165642438,4,,,,4,,,false,,,Soybean,Glycine max,Soybean,Plantae,122902,,
14816708,f3fe12e3-62d7-484a-8da1-5750149aca82,2018/07/01 11:32 AM HST,2018-07-01,2018-07-01 21:32:00 UTC,Hawaii,267179,jokurtz,Joseph D Kurtz,2018-07-28 04:23:22 UTC,2018-07-31 23:28:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14816708,https://inaturalist-open-data.s3.amazonaws.com/photos/22118336/medium.jpeg,,"",,1,0,false,,United States,41.8795559222,-83.8286676554,691,,,,27723,obscured,,true,,,Soybean,Glycine max,Soybean,Plantae,122902,,
15694327,ea1442ef-260c-4df8-8413-f15247ffffa1,Sun Aug 19 2018 13:39:22 GMT-0500 (CDT),2018-08-19,2018-08-19 18:39:22 UTC,Central Time (US & Canada),757985,lrohleder,Linda Rohleder,2018-08-19 18:39:26 UTC,2023-11-17 14:58:38 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/15694327,https://inaturalist-open-data.s3.amazonaws.com/photos/23423574/medium.jpg,,"",,2,0,false,3,"354–368 Quarry Rd, Pacific, MO, US",38.4744819766,-90.8115604241,5,,,,5,,,false,,,Soybean,Glycine max,Soybean,Plantae,122902,,
16520821,e311dd7c-2adb-48ea-87a0-e4e178b106df,Fri Sep 14 2018 09:02:05 GMT-0500 (CDT),2018-09-14,2018-09-14 14:02:05 UTC,Central Time (US & Canada),1208253,justinyenter,Justin Yenter,2018-09-14 14:24:22 UTC,2024-02-04 02:16:09 UTC,research,,https://www.inaturalist.org/observations/16520821,https://static.inaturalist.org/photos/24868550/medium.jpg,,"",,5,2,false,3,"Outagamie County, US-WI, US",44.3824123446,-88.2970520611,165,,,,165,,,false,,,Soybean,Glycine max,Soybean,Plantae,122902,,
