id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
6139092,5bb8d579-e546-420c-a9ca-789d67980a40,Mon May 08 2017 08:49:31 GMT-0500 (CDT),2017-05-08,2017-05-08 13:49:31 UTC,Central Time (US & Canada),342976,jhdorgan,"",2017-05-08 13:49:49 UTC,2018-05-12 01:37:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6139092,https://inaturalist-open-data.s3.amazonaws.com/photos/7691712/medium.jpg,,"",,1,0,false,3,"4501 Arboretum Way, Tuscaloosa, AL, US",33.1908802037,-87.4741584063,5,,,,5,,,false,,,Chinese juniper,Juniperus chinensis,Chinese juniper,Plantae,135925,,
47504125,87e8dd1d-646f-472e-9b55-bd5d5adb4607,Wed May 27 2020 09:08:18 GMT-0400 (EDT),2020-05-27,2020-05-27 13:08:18 UTC,Eastern Time (US & Canada),3069307,mlswagart,,2020-05-27 13:08:30 UTC,2022-02-23 21:17:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47504125,https://inaturalist-open-data.s3.amazonaws.com/photos/75346942/medium.jpg,,"",,2,0,false,3,"Fenwick Island, Bethany Beach, DE, US",38.5274154413,-75.0614448799,4,,,,4,,open,false,,,Chinese juniper,Juniperus chinensis,Chinese juniper,Plantae,135925,,
68023159,eb190c03-94ee-4f48-8070-76c05376a580,2018/07/11 9:25 AM EDT,2018-07-11,2018-07-11 13:25:00 UTC,Eastern Time (US & Canada),182332,chuckt2007,Chuck Thomas,2021-01-13 22:21:34 UTC,2024-11-13 10:19:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68023159,https://inaturalist-open-data.s3.amazonaws.com/photos/110048720/medium.jpeg,,"","One seedling plant near older trees that were planted as a part of the stables operation years ago.  See also
https://www.inaturalist.org/observations/68496034
",1,0,false,,"Cleveland Metroparks, Bedford Reservation, Circle Emerald, Bedford, OH 44146, USA",41.3820971318,-81.5631209542,8,,,,8,,open,false,,,Chinese juniper,Juniperus chinensis,Chinese juniper,Plantae,135925,,
104060458,859e17dd-178a-4eb9-ae00-737865df517f,Tue Dec 28 2021 13:52:53 GMT-0500 (EST),2021-12-28,2021-12-28 18:52:53 UTC,Eastern Time (US & Canada),2928255,yayemaster,Robert Levy,2021-12-31 22:08:22 UTC,2022-01-01 14:01:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/104060458,https://inaturalist-open-data.s3.amazonaws.com/photos/174313405/medium.jpg,,"","",1,0,false,3,"Jones Beach State Park, Jones Beach State Parka, NY, US",40.5895833333,-73.5542916667,4,,,,4,,open,false,,,Chinese juniper,Juniperus chinensis,Chinese juniper,Plantae,135925,,
141387380,fae031a6-31e5-4a75-90ef-dccf89ea0a66,2022-11-06 16:38:30-05:00,2022-11-06,2022-11-06 21:38:30 UTC,Eastern Time (US & Canada),6286404,jerry459,Jerry Burnsteel,2022-11-07 18:03:51 UTC,2023-04-21 09:52:57 UTC,research,,https://www.inaturalist.org/observations/141387380,https://static.inaturalist.org/photos/242207288/medium.jpg,,"","",1,0,false,3,"Peddler's Village, Doylestown, PA, US",40.3481360665,-75.0333726034,6,,,,6,,open,false,,,檜柏,Juniperus chinensis,Chinese juniper,Plantae,135925,,
143501068,ab29716a-96fc-4899-b87f-62f283218be9,Fri Dec 02 2022 10:50:35 GMT -0500 (EST),2022-12-02,2022-12-02 15:50:35 UTC,Eastern Time (US & Canada),5634712,abrew,,2022-12-02 15:50:58 UTC,2023-04-21 09:47:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/143501068,https://inaturalist-open-data.s3.amazonaws.com/photos/246124039/medium.jpeg,,"",,1,0,false,333,Saint Marys,30.748249054,-81.5153808594,5000,,,,5000,,open,false,,,檜柏,Juniperus chinensis,Chinese juniper,Plantae,135925,,
147638863,959e6b88-8c03-4d37-89b6-8db2358dc70d,Sun Jan 29 2023 14:48:00 GMT -0500 (EST),2023-01-29,2023-01-29 19:48:00 UTC,Eastern Time (US & Canada),4638971,amberehall,amberehall,2023-01-29 19:48:14 UTC,2023-04-21 09:45:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/147638863,https://inaturalist-open-data.s3.amazonaws.com/photos/254082196/medium.jpeg,,"",,1,0,false,333,"Dare County, US-NC, US",36.0221252441,-75.6610412598,37,,,,37,,open,false,,,檜柏,Juniperus chinensis,Chinese juniper,Plantae,135925,,
147638885,8144b0f3-70d6-4e7c-867a-c7e681627c17,Sun Jan 29 2023 14:48:30 GMT -0500 (EST),2023-01-29,2023-01-29 19:48:30 UTC,Eastern Time (US & Canada),4565292,harveyharrison,,2023-01-29 19:48:39 UTC,2023-04-21 09:44:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/147638885,https://inaturalist-open-data.s3.amazonaws.com/photos/254082472/medium.jpeg,,"",,1,0,false,333,Kill Devil Hills,36.0220031738,-75.6610488892,58,,,,58,,open,false,,,檜柏,Juniperus chinensis,Chinese juniper,Plantae,135925,,
152791471,00ed28c2-8794-4797-b94f-a20bce30a40b,2023-03-28 17:11:54,2023-03-28,2023-03-28 23:11:54 UTC,Mountain Time (US & Canada),298687,slinginpenstemon,Kyler Ken Bowers,2023-03-30 02:02:02 UTC,2025-04-03 08:23:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/152791471,https://inaturalist-open-data.s3.amazonaws.com/photos/263805464/medium.jpeg,,"","Naturalized, both scale and awl-like leaves, the awl like leaves in whorls of 3. Fruit fleshy, aromatic 6mm. ",1,0,false,2,"Sandy, UT 84094, USA",40.5689222222,-111.8713805556,,,,,,,open,false,gps,gps,Juniperus chinensis,Juniperus chinensis,Chinese juniper,Plantae,135925,,
153708862,9cdc4f56-b716-4c4a-b329-c5de72b32657,2023-04-06 12:26:45,2023-04-06,2023-04-06 17:26:45 UTC,Central Time (US & Canada),5597983,shiggium,Spencer Beck,2023-04-06 17:41:04 UTC,2023-04-21 09:43:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/153708862,https://inaturalist-open-data.s3.amazonaws.com/photos/265512725/medium.jpeg,,"",,1,0,false,2,The University of New Orleans,30.0273126566,-90.0680104271,1918,,,,1918,,open,false,gps,gps,檜柏,Juniperus chinensis,Chinese juniper,Plantae,135925,,
