id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
48161926,0b09e997-36ad-4586-b064-3f0caa34943b,2015/12/06 11:31 AM EST,2015-12-06,2015-12-06 16:31:00 UTC,Eastern Time (US & Canada),1130299,afranck,Alan R. Franck,2020-06-01 20:21:08 UTC,2023-12-01 03:06:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/48161926,https://inaturalist-open-data.s3.amazonaws.com/photos/76400869/medium.jpeg,,"","Apparently naturalized. From Heiser & Schilling 1988: ""The name of L. cylindrica (L.)M.J.Roem. has been widely used for this species, and Jeffrey (1980) maintains it is the correct one. However, we prefer to follow Schubert (1975) and use L. aegyptiaca.""",2,0,false,,"Tampa, FL, USA",28.0260209665,-82.4291193996,15,,,,15,,,false,,,絲瓜,Luffa aegyptiaca,Sponge Gourd,Plantae,1004655,,
62309029,58f10303-0ba8-4c81-b34b-0a43dd16b317,2020/10/10 12:46 PM CDT,2020-10-10,2020-10-10 17:46:00 UTC,Central Time (US & Canada),964743,franpfer,Frances,2020-10-11 16:13:28 UTC,2023-12-01 03:04:31 UTC,research,,https://www.inaturalist.org/observations/62309029,https://static.inaturalist.org/photos/99815966/medium.jpg,,"",loose in a gravel parking lot.,1,0,false,,"La Grange, TX 78945, USA",29.9034583333,-96.9112555556,5,,,,5,,,false,,,Sponge Gourd,Luffa aegyptiaca,Sponge Gourd,Plantae,1004655,,
98554971,d543877d-40b7-4d5a-9a5b-9606976c810a,2021-10-15,2021-10-15,,Eastern Time (US & Canada),613626,brian207,Brian Silverman,2021-10-17 23:39:22 UTC,2023-12-27 21:57:12 UTC,research,,https://www.inaturalist.org/observations/98554971,https://static.inaturalist.org/photos/164111376/medium.jpeg,,"",,1,0,false,2,"Astatula, FL 34705, USA",28.6663717397,-81.6973017901,1735,,,,1735,,,false,,,Luffa quinquefida,Luffa quinquefida,,Plantae,1361702,,
132978500,9da946b3-3d97-4d8f-a0a8-ab5372edd57b,2022/08/30 11:10 AM,2022-08-30,2022-08-30 18:10:00 UTC,Pacific Time (US & Canada),5642713,gemdboss,,2022-08-30 18:11:55 UTC,2024-05-12 04:55:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/132978500,https://inaturalist-open-data.s3.amazonaws.com/photos/226438180/medium.jpeg,,"",,1,0,false,,"Santa Cruz, CA, USA",36.9741171,-122.0307963,5688,,,,5688,,,false,,,Sponge Gourd,Luffa aegyptiaca,Sponge Gourd,Plantae,1004655,,
133019597,ea5158e7-4d0b-47a2-85b6-b5e74bd27209,2022-08-30 18:23:22,2022-08-30,2022-08-30 23:23:22 UTC,Central Time (US & Canada),1132234,jamestdoucet,JamesD,2022-08-30 23:52:28 UTC,2024-02-04 04:25:07 UTC,research,,https://www.inaturalist.org/observations/133019597,https://inaturalist-open-data.s3.amazonaws.com/photos/226514902/medium.jpeg,,"",,1,0,false,2,"Cameron Parish, LA, USA",29.7765969722,-93.2243289722,,,,,,,,false,gps,gps,Sponge Gourd,Luffa aegyptiaca,Sponge Gourd,Plantae,1004655,,
134669683,816ba26c-d29c-466b-bb1b-6960c704cb91,2022-09-10 11:20:44,2022-09-10,2022-09-10 16:20:44 UTC,Central Time (US & Canada),6128476,nick78223,,2022-09-12 00:40:45 UTC,2024-05-07 04:14:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134669683,https://inaturalist-open-data.s3.amazonaws.com/photos/229586087/medium.jpeg,,"",,2,0,false,2,"Boerne, TX 78006, USA",29.7808306,-98.716191,142,,,,142,,,false,,,Sponge Gourd,Luffa aegyptiaca,Sponge Gourd,Plantae,1004655,,
178583768,c62b9424-6405-4e16-a64e-1acfc9b67e53,2023-08-14 07:34:52-05:00,2023-08-14,2023-08-14 12:34:52 UTC,Central Time (US & Canada),513915,andrea197,Andrea Meier,2023-08-15 20:10:21 UTC,2024-01-22 19:51:51 UTC,research,,https://www.inaturalist.org/observations/178583768,https://static.inaturalist.org/photos/310777745/medium.jpg,,"","",1,0,false,3,"Marais St, New Orleans, LA, US",29.96885,-90.0641945,16,,,,16,,,false,,,Sponge Gourd,Luffa aegyptiaca,Sponge Gourd,Plantae,1004655,,
185174063,9ade60b0-407c-4d2d-bcd1-542929a53953,2023-08-23 16:23:27-06:00,2023-08-23,2023-08-23 22:23:27 UTC,Mountain Time (US & Canada),5471331,cowboyangel,,2023-09-27 18:38:48 UTC,2025-01-16 08:48:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/185174063,https://inaturalist-open-data.s3.amazonaws.com/photos/323357621/medium.jpg,,"","",3,1,false,3,"County Road 1, Longmont, CO, US",40.1948605768,-105.0547085668,4,,,,4,,,false,,,Sponge Gourd,Luffa aegyptiaca,Sponge Gourd,Plantae,1004655,,
193543965,9788d10d-5ef1-4b18-adc0-8f4dd77c262e,2023-12-09 17:44:53,2023-12-09,2023-12-09 23:44:53 UTC,Central Time (US & Canada),7590936,liliahetland,"",2023-12-09 23:45:42 UTC,2023-12-17 21:00:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/193543965,https://inaturalist-open-data.s3.amazonaws.com/photos/340001321/medium.jpeg,,"",,1,0,false,2,"Corpus Christi, TX 78414, USA",27.6617216667,-97.3823683333,3,,,,3,,,false,,,Sponge Gourd,Luffa aegyptiaca,Sponge Gourd,Plantae,1004655,,
198025368,83ddcf02-10c8-42f9-a2c1-0f95c0e1f28c,2023-08-07 09:09:35-04:00,2023-08-07,2023-08-07 13:09:35 UTC,Eastern Time (US & Canada),7763391,homesteader4two,,2024-01-31 03:13:05 UTC,2024-01-31 05:36:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/198025368,https://inaturalist-open-data.s3.amazonaws.com/photos/348928715/medium.jpg,,"","",1,0,false,3,"Katie Ct, Rincon, GA, US",32.3204633333,-81.2701716667,4,,,,4,,,false,,,Sponge Gourd,Luffa aegyptiaca,Sponge Gourd,Plantae,1004655,,
