id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
18180571,ebfc074c-0a4d-4353-bb6a-00dc9fce6e4b,2018/11/02 3:13 PM ADT,2018-11-02,2018-11-02 18:13:00 UTC,Atlantic Time (Canada),20485,zihaowang,Zihao Wang,2018-11-06 22:26:31 UTC,2022-07-29 03:33:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/18180571,https://inaturalist-open-data.s3.amazonaws.com/photos/27788441/medium.jpg,,"","Many young trees, escaping cultivation.",1,0,false,,"Bronx, NY, USA",40.8659886433,-73.8756255702,14,,,,14,,open,false,,,Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
22276491,11d36753-dcb3-42ea-ad15-d02d59467d3e,2019-04-08 13:54:21,2019-04-08,2019-04-08 17:54:21 UTC,Eastern Time (US & Canada),43807,keimwj,Bill Keim,2019-04-10 10:19:13 UTC,2024-09-22 06:01:00 UTC,research,CC-BY,https://www.inaturalist.org/observations/22276491,https://inaturalist-open-data.s3.amazonaws.com/photos/34497846/medium.jpg,,"Dark Hollow Park, Bucks Co, PA, Class: Magnoliopsida, Order: Magnoliales, Family: Magnoliaceae, magnolia (Magnolia)","08 Apr 2019.
Dark Hollow Park, Bucks Co, PA.
Found on a flood plain in a woods.
",2,0,false,,"Pennsylvania, United States",40.274082,-75.09432,41,,,,41,,open,false,,"",Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
31874978,ea7af087-5b7d-4406-88d8-dd5e858bfe75,2019-08-31 4:10:56 p.m. EDT,2019-08-31,2019-08-31 20:10:56 UTC,Eastern Time (US & Canada),1951369,robm2,Rob M,2019-08-31 21:25:34 UTC,2023-08-31 12:31:45 UTC,research,,https://www.inaturalist.org/observations/31874978,https://static.inaturalist.org/photos/49933534/medium.jpeg,,"",,1,0,false,2,"Flourtown, PA 19031, USA",40.1155287,-75.2039644,1100,,,,1100,,open,false,,,Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
43626948,74673722-35b7-4c8c-81aa-97323b630cde,Thu Apr 16 2020 16:08:17 GMT-0400 (EDT),2020-04-16,2020-04-16 20:08:17 UTC,Eastern Time (US & Canada),972323,mikedudz,Michael Dudzinsky,2020-04-26 14:52:18 UTC,2022-11-11 21:02:22 UTC,research,,https://www.inaturalist.org/observations/43626948,https://static.inaturalist.org/photos/69229830/medium.jpg,,"",,1,0,false,3,"Tinkers Creek Nature Preserve, Aurora, OH, US",41.2844568222,-81.3912915019,48,,,,48,,open,false,,,Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
45873046,04d967a1-1f6a-4d33-87ae-c00f585c82a2,2020/04/08 11:06 AM EDT,2020-04-08,2020-04-08 15:06:00 UTC,Eastern Time (US & Canada),6187,jprekop,"",2020-05-14 14:49:45 UTC,2023-02-28 21:01:52 UTC,research,CC-BY,https://www.inaturalist.org/observations/45873046,https://static.inaturalist.org/photos/72755801/medium.jpeg,,"",,2,0,false,,cvnp ,41.2545919958,-81.5067379517,244,,,,244,,open,false,,,Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
72357467,ba0d05c2-cb67-45fd-b886-2de5dbb3f195,Mon Mar 29 2021 08:49:48 GMT-0400 (EDT),2021-03-29,2021-03-29 12:49:48 UTC,Eastern Time (US & Canada),1475213,mcgowenm,"",2021-03-29 12:51:08 UTC,2024-02-03 01:25:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/72357467,https://inaturalist-open-data.s3.amazonaws.com/photos/117959732/medium.jpg,,"","",2,1,false,3,"Circle Hill Rd, Alexandria, VA, US",38.83295,-77.0702528333,4,,,,4,,open,false,,,Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
73500704,21a1d565-163f-43b3-a300-f3bcda7bd564,2021-04-08 4:33:22 PM EDT,2021-04-08,2021-04-08 20:33:22 UTC,Eastern Time (US & Canada),1724877,karenlynn,Karen Daugherty,2021-04-10 15:55:44 UTC,2023-02-28 21:03:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/73500704,https://inaturalist-open-data.s3.amazonaws.com/photos/120004427/medium.jpeg,,"",Found growing among disturbed mixed hardwood.,2,0,false,2,"Beaver County, US-PA, US",40.6236921753,-80.1595444232,9,,,,9,,open,false,gps,gps,Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
73619440,ccfdf8a3-142c-4cbb-ad13-a071527c1fa2,Sun Apr 11 2021 10:45:51 GMT -0400 (EDT),2021-04-11,2021-04-11 14:45:51 UTC,Eastern Time (US & Canada),3146463,allielittles,"",2021-04-11 14:46:10 UTC,2022-07-29 03:20:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/73619440,https://inaturalist-open-data.s3.amazonaws.com/photos/120213595/medium.jpeg,,"",,1,0,false,333,Holland,41.6636352539,-83.7884368896,76,,,,76,,open,false,,,Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
74013662,6fe7faed-b31b-4109-b394-4e2f804433bf,2021-04-14 5:45:57 PM EDT,2021-04-14,2021-04-14 21:45:57 UTC,Eastern Time (US & Canada),18701,apgarm,Mark Apgar,2021-04-15 03:49:39 UTC,2022-07-29 03:19:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/74013662,https://inaturalist-open-data.s3.amazonaws.com/photos/120917235/medium.jpeg,,"",,2,0,false,2,"Windsor, CT 06095, USA",41.8905979722,-72.636407,,,,,,,open,false,gps,gps,Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
92712564,2bf0db49-c00e-41ec-bf75-c714b0f07b91,2021-08-26 12:32:51,2021-08-26,2021-08-26 17:32:51 UTC,Central Time (US & Canada),2149285,ciafre,Claire Ciafré,2021-08-27 21:12:40 UTC,2024-12-18 18:07:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/92712564,https://inaturalist-open-data.s3.amazonaws.com/photos/153550239/medium.jpeg,,"",Seems to be spreading from several mature trees planted less than a mile away.,1,0,false,2,"East Marlborough Township, PA 19348, USA",39.8773805556,-75.6842027778,,,,,,,open,false,,,Kobus magnolia,Magnolia kobus,Kobus magnolia,Plantae,143787,,
