id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
3244709,d25c2a65-180c-479d-9ba2-e2e6ef2d3836,2016-05-21 10:16:02 AM EDT,2016-05-21,2016-05-21 14:16:02 UTC,Eastern Time (US & Canada),39540,jhamke,Jessica Hamke,2016-05-21 14:27:57 UTC,2024-11-10 18:19:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3244709,https://inaturalist-open-data.s3.amazonaws.com/photos/3754643/medium.jpeg,,"",,2,0,false,2,"Prince George's County, US-MD, US",38.9513330028,-76.9839330572,8,,,,8,,,false,,,Osmanthus heterophyllus,Osmanthus heterophyllus,holly olive,Plantae,404400,,
3244711,8fd6898c-ba52-461b-8095-3fec57ceaa60,2016-05-21 10:17:38 AM EDT,2016-05-21,2016-05-21 14:17:38 UTC,Eastern Time (US & Canada),39540,jhamke,Jessica Hamke,2016-05-21 14:27:59 UTC,2017-11-09 23:21:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3244711,https://inaturalist-open-data.s3.amazonaws.com/photos/3754650/medium.jpeg,,"",,2,0,false,2,"4971-5025 Eastern Ave NE Chillum, MD 20782",38.95129726,-76.9839401685,6,,,,6,,,false,,,Holly Olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
3249103,0e00d07a-df3a-4971-bfa6-8248cdccb858,2016-05-21 10:15:48 AM EDT,2016-05-21,2016-05-21 14:15:48 UTC,Eastern Time (US & Canada),235330,anneanderson,,2016-05-21 16:33:30 UTC,2019-02-21 02:49:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3249103,https://inaturalist-open-data.s3.amazonaws.com/photos/3759041/medium.jpeg,,"",,3,0,false,2,"4971-5025 Eastern Ave NE Chillum, MD 20782",38.95131999,-76.9838291,7,,,,7,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
3283498,a8fb3403-1d91-4629-8243-1517d186f269,Mon May 23 2016 15:57:09 GMT-0400 (EDT),2016-05-23,2016-05-23 19:57:09 UTC,Eastern Time (US & Canada),169566,mellis,Michael Ellis,2016-05-23 19:58:05 UTC,2019-02-21 02:49:11 UTC,research,CC-BY,http://www.inaturalist.org/observations/3283498,https://inaturalist-open-data.s3.amazonaws.com/photos/3795833/medium.jpg,,"","Strange tiny holly, 9 inches tall. Buck Lodge Park.",2,0,false,3,"Buck Lodge Community Park, Adelphi, MD, US",39.0132110753,-76.9549870212,5,,,,5,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
5146450,04024cbd-1eb5-411c-b79c-dc4b15613b70,2017-02-19 15:30:43,2017-02-19,2017-02-19 20:30:43 UTC,Eastern Time (US & Canada),3785,treegrow,Katja Schulz,2017-02-21 05:11:12 UTC,2021-02-20 04:02:53 UTC,research,CC0,https://www.inaturalist.org/observations/5146450,https://inaturalist-open-data.s3.amazonaws.com/photos/6338496/medium.jpg,,LLF,"Rock Creek Park, Washington, DC, USA.",3,1,false,,"Washington, District of Columbia, United States",38.975191,-77.0489,50,,,,50,,,false,,"",holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
7366207,17c3b40c-6416-44a6-b5bd-91b8be7dd6e1,Sat Aug 05 2017 17:01:07 GMT-0400 (EDT),2017-08-05,2017-08-05 21:01:07 UTC,Eastern Time (US & Canada),292489,elliotgreiner,Elliot Greiner,2017-08-05 22:21:36 UTC,2021-05-05 04:00:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/7366207,https://static.inaturalist.org/photos/9552805/medium.jpg,,"",,2,0,false,3,"Rock Creek Park, Washington, DC, US",38.95723,-77.0578471667,,,,,,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
7634386,bf0cc9e9-e5e7-484b-accd-e377f860ad48,Thu Aug 24 2017 13:40:49 GMT-0400 (EDT),2017-08-24,2017-08-24 17:40:49 UTC,Eastern Time (US & Canada),292489,elliotgreiner,Elliot Greiner,2017-08-24 18:47:31 UTC,2021-05-05 04:00:38 UTC,research,CC-BY,https://www.inaturalist.org/observations/7634386,https://static.inaturalist.org/photos/9984654/medium.jpg,,"",,2,0,false,3,"3201–3391 Fulton St NW, Washington, DC, US",38.9249,-77.064475,,,,,,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
8741853,21565379-6da1-4357-b4e6-627820f87e23,2017-11-09 12:41:05 PM EST,2017-11-09,2017-11-09 17:41:05 UTC,Eastern Time (US & Canada),322233,tminatbe,"",2017-11-09 18:46:31 UTC,2024-08-25 14:59:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8741853,https://inaturalist-open-data.s3.amazonaws.com/photos/11733603/medium.jpeg,,"",Several of these small (3-4' tall) hollies in these woods. Are they just different-looking I. opaca? Or are they something else? ,2,0,false,2,"14507-14599 Bauer Dr, Rockville, MD 20853, USA",39.09003508,-77.10547464,8,,,,8,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
8741860,338fd22c-6493-4270-927b-8bf9ec540962,2017-11-09 12:44:15 PM EST,2017-11-09,2017-11-09 17:44:15 UTC,Eastern Time (US & Canada),322233,tminatbe,"",2017-11-09 18:47:29 UTC,2024-08-25 14:58:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8741860,https://inaturalist-open-data.s3.amazonaws.com/photos/11733622/medium.jpeg,,"",Several of these small (3-4' tall) hollies in these woods. Are they just different-looking I. opaca? Or are they something else?,2,0,false,2,"14507-14599 Bauer Dr, Rockville, MD 20853, USA",39.09008937,-77.10559787,9,,,,9,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
9609567,672f7126-532c-42ff-ad80-2597df410f5c,Fri May 09 2014 12:06:10 GMT-0400 (EDT),2014-05-09,2014-05-09 16:06:10 UTC,Eastern Time (US & Canada),86246,dbarber,Deborah E Barber,2018-01-25 12:01:54 UTC,2021-12-13 15:16:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9609567,https://inaturalist-open-data.s3.amazonaws.com/photos/13112283/medium.jpg,,"",This seems to be a backyard escape onto Fraser Preserve,3,0,false,3,"208 Bliss Ln, Great Falls, VA, US",39.0345,-77.3053333333,500,,,,500,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
10301966,1bf06005-7c24-4908-96e8-a357679a606b,2018/03/18 2:46 PM EDT,2018-03-18,2018-03-18 18:46:00 UTC,Eastern Time (US & Canada),326898,jnavia,Jeanette Navia,2018-03-19 01:12:45 UTC,2019-02-21 02:45:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10301966,https://inaturalist-open-data.s3.amazonaws.com/photos/14269193/medium.jpeg,,"","The leaves are opposite, unlike hollies
",2,0,false,,"James City County, VA, USA",37.3234854661,-76.7973518372,488,,,,488,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
10509650,ab14581b-7ad2-4299-a8bd-7305c2a1f6fb,Fri Mar 30 2018 10:26:37 GMT-0700 (PDT),2018-03-30,2018-03-30 17:26:37 UTC,Pacific Time (US & Canada),808056,ajo,"",2018-03-30 17:29:47 UTC,2018-03-31 16:43:22 UTC,research,,https://www.inaturalist.org/observations/10509650,https://static.inaturalist.org/photos/14621008/medium.jpg,,"",,1,0,false,3,"1903 32nd Ave S, Seattle, WA, US",47.5859919656,-122.2923584302,19,,,,19,,,false,,,Burkwood osmanthus,Osmanthus × burkwoodii,Burkwood osmanthus,Plantae,518532,,
11749515,f77db7ba-3853-4cd8-8fd9-ce1eee8fc559,2018/04/29 11:13 AM UTC,2018-04-29,,UTC,244431,lorib2,Lori B,2018-04-29 15:20:49 UTC,2023-07-06 19:53:04 UTC,research,CC0,https://www.inaturalist.org/observations/11749515,https://inaturalist-open-data.s3.amazonaws.com/photos/16802520/medium.jpeg,,"",,3,1,false,,"Columbia Heights, Arlington, VA 22204, USA",38.8584444444,-77.0848,32,,,,32,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
11828780,fdb8eae8-d85f-4091-9725-0e7c7f4b8ced,2018/04/29 2:07 PM EDT,2018-04-29,2018-04-29 18:07:00 UTC,Eastern Time (US & Canada),169566,mellis,Michael Ellis,2018-04-30 01:45:56 UTC,2020-04-03 12:05:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/11828780,https://inaturalist-open-data.s3.amazonaws.com/photos/16917896/medium.jpeg,,"",,1,0,false,,"Silver Spring, MD, USA",39.0318861111,-77.0082861111,71789,,,,71789,,,false,,,holly olive,Osmanthus heterophyllus,holly olive,Plantae,404400,,
