,id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
0,527620,278e96d5-8732-4883-8fac-ffc4feed3178,2014-02-01 12:52:35,2014-02-01,2014-02-01 20:52:35 UTC,Pacific Time (US & Canada),27743,jaykeller,Jay L. Keller,2014-02-11 03:26:40 UTC,2018-08-29 02:08:33 UTC,research,,http://www.inaturalist.org/observations/527620,https://static.inaturalist.org/photos/671412/medium.jpg,,,,1,0,False,,"Everglades National Park, FL",25.140312,-80.960999,2364.0,,,,2364.0,,,False,,manual,Virginia Creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
1,536590,a2b586ea-3b39-4e4e-8c6b-00aa05b591e1,Wed Feb 19 2014 13:29:12 GMT-0600 (CST),2014-02-19,2014-02-19 19:29:12 UTC,Central Time (US & Canada),13257,allenbartell,Allen Bartell,2014-02-19 19:30:44 UTC,2022-05-10 16:34:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/536590,https://inaturalist-open-data.s3.amazonaws.com/photos/682419/medium.jpg,,,,1,0,False,3.0,"701–799 Olympia Dr, Trinity, Texas, US",30.9371666667,-95.2555,,,,,,,,False,,,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
2,619905,f8c72609-24ca-4023-bcdf-3edf5f9970ee,2014-04-11,2014-04-11,,Central Time (US & Canada),34728,cosmiccat,Cosmic Cat,2014-04-12 00:18:29 UTC,2018-03-17 05:15:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/619905,https://inaturalist-open-data.s3.amazonaws.com/photos/779591/medium.JPG,,,,2,0,False,,"Longview, TX",32.494314,-94.757338,111.0,,,,111.0,,,False,,,Virginia Creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
3,622623,59f095fc-c108-4cd7-bc3e-f92e5e23f576,2014-04-06 08:34:51,2014-04-06,2014-04-06 15:34:51 UTC,Pacific Time (US & Canada),477,loarie,Scott Loarie,2014-04-13 21:40:05 UTC,2019-04-15 15:39:35 UTC,research,CC0,http://www.inaturalist.org/observations/622623,https://inaturalist-open-data.s3.amazonaws.com/photos/783191/medium.jpg,,,,1,0,False,,"Estelle, Louisiana, United States",29.806569,-90.115462,5.0,,,,5.0,,,False,,,Virginia Creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
4,623329,28254278-b77a-4add-86b0-5138b23db242,2014-04-11 07:55:31,2014-04-11,2014-04-11 11:55:31 UTC,Eastern Time (US & Canada),2370,ctracey,Christopher Tracey,2014-04-14 02:37:12 UTC,2017-09-18 20:51:31 UTC,research,CC-BY,http://www.inaturalist.org/observations/623329,https://inaturalist-open-data.s3.amazonaws.com/photos/783951/medium.JPG,,,,3,0,False,,"Saint Tammany, Louisiana, United States",30.4596880556,-89.745185,,,,,,,,False,,,Virginia Creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
5,637811,4f020a65-ac38-4547-8569-da1715848307,Tue Apr 22 2014 10:08:26 GMT-0500 (CDT),2014-04-22,2014-04-22 15:08:26 UTC,Central Time (US & Canada),19956,amataka1,Amanda,2014-04-22 15:16:00 UTC,2015-05-22 07:29:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/637811,https://inaturalist-open-data.s3.amazonaws.com/photos/802094/medium.jpg,,,,2,0,False,3.0,"70739, Greenwell Springs, LA, US",30.480409,-90.98158,5.0,,,,5.0,,,False,,,Virginia Creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
6,641744,dc241ef1-fdc6-4190-97da-6d64600e9cc0,2014-04-24,2014-04-24,,Central Time (US & Canada),34450,jstark918,,2014-04-25 01:34:35 UTC,2014-10-19 01:17:48 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/641744,https://inaturalist-open-data.s3.amazonaws.com/photos/808898/medium.JPG,,plant,,1,0,False,,"Round Bluff Nature Preserve, Ferne Clyffe State Park",37.529264,-88.977059,228.0,,,,228.0,,,False,,,Virginia Creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
7,644330,1101c6f1-b62a-4081-98df-90ebfef61d9c,Sat Apr 26 2014 17:56:59 GMT-0400 (EDT),2014-04-26,2014-04-26 21:56:59 UTC,Eastern Time (US & Canada),27509,richard_candler,Richard Candler,2014-04-26 22:00:58 UTC,2025-04-16 22:59:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/644330,https://inaturalist-open-data.s3.amazonaws.com/photos/811667/medium.jpg,,,,2,0,False,3.0,"30277, Sharpsburg, GA, US",33.383307,-84.614143,5.0,,,,5.0,,,False,,,Virginia Creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
8,646343,a41e8a56-cda3-46ef-90e1-ed238407ecac,2014-04-27 14:19:27,2014-04-27,2014-04-27 18:19:27 UTC,Eastern Time (US & Canada),35830,kmoconnor,Kristina,2014-04-28 02:11:35 UTC,2025-01-02 17:53:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/646343,https://inaturalist-open-data.s3.amazonaws.com/photos/814498/medium.JPG,,,Brief description of what you observed,1,0,False,,merrimac farm nokesville va,38.634757,-77.540307,190.0,,,,190.0,,,False,,,Virginia Creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
9,650505,d0e714a9-9f56-4b0d-891c-ed0c02b5cf98,Thu Apr 24 2014 15:24:05 GMT-0400 (EDT),2014-04-24,2014-04-24 19:24:05 UTC,Eastern Time (US & Canada),2332,patriciamarie,,2014-04-30 17:52:15 UTC,2014-10-19 01:27:12 UTC,research,,http://www.inaturalist.org/observations/650505,https://static.inaturalist.org/photos/820326/medium.jpg,,,Early leaves,2,0,False,3.0,"Silver Lake County Park, Bristol, PA, US",40.11436,-74.862488,5.0,,,,5.0,,,False,,,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,,
