id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
6634155,53fb07f8-751a-4451-ae13-5253cbea69f0,2017/05/05 2:55 PM CDT,2017-05-05,2017-05-05 19:55:00 UTC,Central Time (US & Canada),147168,eric_keith,Eric Keith,2017-06-14 01:47:21 UTC,2017-11-10 08:24:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6634155,https://inaturalist-open-data.s3.amazonaws.com/photos/8423151/medium.jpg,,"",,1,0,false,,"Richmond city, Virginia, United States",37.5925193611,-77.4678666944,,,,,,,,false,,,Sour Cherry,Prunus cerasus,Sour Cherry,Plantae,68763,,
7671945,258e165d-3a9b-40b3-8ae1-ce14e63863e8,Mon Jun 22 2015 09:03:10 GMT-0400 (EDT),2015-06-22,2015-06-22 13:03:10 UTC,Eastern Time (US & Canada),551254,minka,,2017-08-27 12:58:01 UTC,2020-11-18 14:38:22 UTC,research,,https://www.inaturalist.org/observations/7671945,https://static.inaturalist.org/photos/10046570/medium.jpg,,"",,1,0,false,3,"21 Cherry St, Somerville, MA, US",42.3901583333,-71.1153721667,,,,,,,,false,,,Вишня обыкновенная,Prunus cerasus,Sour Cherry,Plantae,68763,,
13382228,0d119c90-6193-4ff6-b34a-9ca0a19e75d3,2018-06-12 7:27:33 PM MDT,2018-06-12,2018-06-13 01:27:33 UTC,Mountain Time (US & Canada),1022860,markis,Markis Sayles,2018-06-13 01:29:39 UTC,2019-06-16 13:43:03 UTC,research,,https://www.inaturalist.org/observations/13382228,https://static.inaturalist.org/photos/19623738/medium.jpeg,,"",,2,0,false,2,"1347 Ames St, Lakewood, CO 80214, USA",39.73786683,-105.05465651,9,,,,9,,,false,,,Sour Cherry,Prunus cerasus,Sour Cherry,Plantae,68763,,
14587837,0e954bd2-6555-4870-bfb3-3659d83c0224,2018-07-21 11:37:23 AM MDT,2018-07-21,2018-07-21 17:37:23 UTC,Mountain Time (US & Canada),1100020,maysapet,,2018-07-21 23:28:53 UTC,2020-11-18 14:37:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14587837,https://inaturalist-open-data.s3.amazonaws.com/photos/21741328/medium.jpeg,,"",,1,0,false,2,"8500 W Deer Creek Canyon Rd, Littleton, CO 80128, USA",39.5510444641,-105.1013870239,,,,,,,,false,gps,gps,Вишня обыкновенная,Prunus cerasus,Sour Cherry,Plantae,68763,,
43215147,98967990-cd79-425b-a0df-c1e836d8690a,2020/04/19 2:52 PM EDT,2020-04-19,2020-04-19 18:52:00 UTC,Eastern Time (US & Canada),2785373,dominiqueal,,2020-04-25 00:08:36 UTC,2020-11-18 14:36:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43215147,https://inaturalist-open-data.s3.amazonaws.com/photos/68592314/medium.jpg,,"",Found in the woods near my cousin's house.,1,0,false,,"Southwick, MA, USA",42.0393215839,-72.7498339009,8,,,,8,,,false,,,Вишня обыкновенная,Prunus cerasus,Sour Cherry,Plantae,68763,,
48285646,0cc415ab-6fcc-4f42-9dfd-029274aa9984,Tue Jun 02 2020 19:23:55 GMT-0400 (EDT),2020-06-02,2020-06-02 23:23:55 UTC,Eastern Time (US & Canada),3036645,joelchan,Joel Chan,2020-06-02 23:24:26 UTC,2020-11-18 14:34:53 UTC,research,,https://www.inaturalist.org/observations/48285646,https://static.inaturalist.org/photos/80088549/medium.jpg,,"",,1,0,false,3,"43rd Ave, Hyattsville, MD, US",38.9609683847,-76.9436504906,19,,,,19,,,false,,,Вишня обыкновенная,Prunus cerasus,Sour Cherry,Plantae,68763,,
49353091,25ef8857-6090-4e7e-b5c8-97193a4a4d63,Fri Jun 12 2020 14:10:59 GMT-0400 (EDT),2020-06-12,2020-06-12 18:10:59 UTC,Eastern Time (US & Canada),1587198,cotyhay,Coty Hay,2020-06-12 18:20:34 UTC,2020-06-12 18:42:47 UTC,research,,https://www.inaturalist.org/observations/49353091,https://static.inaturalist.org/photos/78344537/medium.jpg,,"",,1,0,false,3,"Spruce St, Trenton, NJ, US",40.2507684609,-74.7583675325,17,,,,17,,,false,,,Sauerkirsche,Prunus cerasus,Sour Cherry,Plantae,68763,,
49708049,e6df22a4-90b4-478b-8c42-460bbc818797,Mon Jun 15 2020 08:10:45 GMT-0400 (EDT),2020-06-15,2020-06-15 12:10:45 UTC,Eastern Time (US & Canada),2169725,sarahsearle,Sarah Searle,2020-06-15 12:11:25 UTC,2020-11-18 14:34:36 UTC,research,,https://www.inaturalist.org/observations/49708049,https://static.inaturalist.org/photos/78916367/medium.jpg,,"",,1,0,false,3,"Purcell Rd, Lovettsville, VA, US",39.2867223126,-77.6398929542,22,,,,22,,,false,,,Вишня обыкновенная,Prunus cerasus,Sour Cherry,Plantae,68763,,
49971554,5330331d-c77b-47ae-b282-8a6010b65a78,Wed Jun 17 2020 14:55:07 GMT-0400 (EDT),2020-06-17,2020-06-17 18:55:07 UTC,Eastern Time (US & Canada),3027671,carissarego,Carissa Rego,2020-06-17 18:57:51 UTC,2020-06-20 13:52:01 UTC,research,,https://www.inaturalist.org/observations/49971554,https://static.inaturalist.org/photos/79340835/medium.jpg,,"","bio323 veg survey
red fruits growing
leaves toothed 
leaves entire
growing in shady area",1,0,false,3,"Touisset Marsh Wildlife Refuge, Warren, RI, US",41.7049218238,-71.2394626355,14,,,,14,,,false,,,Sour Cherry,Prunus cerasus,Sour Cherry,Plantae,68763,,
50011329,e2569af4-b718-452b-b1ac-efaab7ade3e1,Sun Jun 14 2020 14:38:22 GMT-0400 (EDT),2020-06-14,2020-06-14 18:38:22 UTC,Eastern Time (US & Canada),2717434,winnek,Winne Chen,2020-06-18 02:42:03 UTC,2020-11-18 14:34:32 UTC,research,,https://www.inaturalist.org/observations/50011329,https://static.inaturalist.org/photos/79408345/medium.jpg,,"",,1,0,false,3,"Monmouth Battlefield State Park, Freehold, NJ, US",40.27020333,-74.31053,5,,,,5,,,false,,,Вишня обыкновенная,Prunus cerasus,Sour Cherry,Plantae,68763,,
