id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
10311465,7acf31fb-8d7d-4307-9b2d-7a4dcdf933cd,Mon Mar 19 2018 12:14:15 GMT-0400 (EDT),2018-03-19,2018-03-19 16:14:15 UTC,Eastern Time (US & Canada),653696,dorigerber,Dori Gerber,2018-03-19 18:02:46 UTC,2022-10-27 06:08:32 UTC,research,,https://www.inaturalist.org/observations/10311465,https://static.inaturalist.org/photos/14286280/medium.jpg,,"",,1,0,false,3,"The New York Botanical Garden, New York, NY, US",40.863095,-73.8813083333,12,,,,12,,open,false,,,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
20788229,7735ed26-3ffb-458d-8e16-c171db0d0445,Tue Feb 26 2019 16:26:55 GMT-0500 (EST),2019-02-26,2019-02-26 21:26:55 UTC,Eastern Time (US & Canada),1467697,corncribstudio,,2019-02-26 21:28:06 UTC,2022-10-27 06:07:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20788229,https://inaturalist-open-data.s3.amazonaws.com/photos/32059808/medium.jpg,,"",,1,0,false,3,"20278 Willows Rd, Lexington Park, MD, US",38.2249731278,-76.4585722693,86,,,,86,,open,false,,,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
37460787,bfc2e880-0dd1-4bf5-abc6-e90cf44a2658,2020-01-10 1:18:52 PM EST,2020-01-10,2020-01-10 18:18:52 UTC,Eastern Time (US & Canada),819361,tmonroe8,Timothy Monroe,2020-01-10 18:25:56 UTC,2022-10-27 06:06:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37460787,https://inaturalist-open-data.s3.amazonaws.com/photos/59390481/medium.jpeg,,"",,1,0,false,2,"Ansley Park, Atlanta, GA, USA",33.7886657715,-84.3790359497,,,,,,,open,false,gps,gps,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
37532401,aa68f71a-9d2f-4609-a628-ef1cb7de45cb,Sun Jan 12 2020 14:48:00 GMT-0500 (EST),2020-01-12,2020-01-12 19:48:00 UTC,Eastern Time (US & Canada),1947407,chloermadsen,,2020-01-12 19:51:59 UTC,2022-10-27 06:05:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37532401,https://inaturalist-open-data.s3.amazonaws.com/photos/59517325/medium.jpg,,"",,2,0,false,3,"Greers Ferry Ct, Durham, NC, US",35.9183067482,-78.9203106536,4,,,,4,,open,false,,,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
40056415,5b68d512-de36-43d6-be35-933216f8c2e8,Sat Jan 18 2020 08:37:44 GMT-0500 (EST),2020-01-18,2020-01-18 13:37:44 UTC,Eastern Time (US & Canada),445544,teithril,Chelsea Hartweg,2020-03-16 00:21:54 UTC,2022-10-27 06:15:12 UTC,research,,https://www.inaturalist.org/observations/40056415,https://static.inaturalist.org/photos/63616173/medium.jpg,,"",,1,0,false,3,"Holly Springs Rd, Raleigh, NC, US",35.73448667,-78.74496333,12,,,,12,,open,false,,,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
68821178,ef843029-6d37-4046-a971-c172a939dfa7,Wed Jan 20 2021 09:10:45 GMT-0500 (EST),2021-01-20,2021-01-20 14:10:45 UTC,Eastern Time (US & Canada),1138194,caroljuz,,2021-01-30 20:37:00 UTC,2024-02-18 23:35:01 UTC,research,,https://www.inaturalist.org/observations/68821178,https://static.inaturalist.org/photos/111531847/medium.jpg,,"","",1,0,false,3,"Knightdale Station Park, Knightdale, NC, US",35.7934916667,-78.4748916667,10,,,,10,,open,false,,,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
71226798,cb835889-5d37-458a-b6d9-1d560c65d126,2021/03/12 3:05 PM UTC,2021-03-12,2021-03-12 15:05:00 UTC,UTC,2125471,davidillig,David Illig,2021-03-14 17:05:15 UTC,2025-03-22 14:23:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71226798,https://inaturalist-open-data.s3.amazonaws.com/photos/115929065/medium.jpg,,"Flowering Tree, Quiet Waters Park","Quiet Waters Park, Annapolis, MD. Early bloomer, no leaves yet. May be cultivated.",1,0,false,,"Hillsmere Shores, MD, USA",38.9409490067,-76.4988623383,,,,,,,open,false,,,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
103965403,366ea987-0a7a-4048-ab6b-6203428edd09,Thu Dec 30 2021 11:15:58 GMT-0500 (EST),2021-12-30,2021-12-30 16:15:58 UTC,Eastern Time (US & Canada),3636455,jenny7777,jenny7777,2021-12-30 16:16:15 UTC,2022-10-27 06:01:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/103965403,https://inaturalist-open-data.s3.amazonaws.com/photos/174132890/medium.jpg,,"","",1,0,false,3,"Ludgate Rd, Gibsonville, NC, US",36.1631632084,-79.5592810494,7,,,,7,,open,false,,,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
104874831,b9536576-2a28-4aec-a133-674d37987992,Thu Jan 13 2022 13:15:44 GMT-0500 (EST),2022-01-13,2022-01-13 18:15:44 UTC,Eastern Time (US & Canada),5254394,nancyinmb,Nancy Launi,2022-01-13 18:39:35 UTC,2023-02-26 02:58:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/104874831,https://inaturalist-open-data.s3.amazonaws.com/photos/175829034/medium.jpg,,"","",1,0,false,3,"Brookgreen Gardens, Pawleys Island, SC, US",33.519652728,-79.0982761235,5,,,,5,,open,false,,,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
109415765,22e3fc94-2a9b-468c-bf96-b33383796e42,2022-03-24 19:05:48,2022-03-24,2022-03-25 00:05:48 UTC,Central Time (US & Canada),4662165,liam_o_connor,Liam O'Connor,2022-03-25 00:06:53 UTC,2022-07-02 04:04:34 UTC,research,,https://www.inaturalist.org/observations/109415765,https://static.inaturalist.org/photos/184406015/medium.jpeg,,"",,2,0,false,2,"6800 Woodrow/Choquette, Austin, TX 78757, USA",30.33910349,-97.72747938,4,,,,4,,open,false,,,Flowering Apricot,Prunus mume,Flowering Apricot,Plantae,357447,,
