id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
38756395,8009633d-4655-4eed-aac4-166e0512025f,Mon Feb 17 2020 08:47:27 GMT-0500 (EST),2020-02-17,2020-02-17 13:47:27 UTC,Eastern Time (US & Canada),20600,danielatha,Daniel Atha,2020-02-17 16:25:17 UTC,2021-07-06 17:43:20 UTC,research,CC0,https://www.inaturalist.org/observations/38756395,https://inaturalist-open-data.s3.amazonaws.com/photos/61647036/medium.jpg,,"",,1,0,false,3,"New York Botanical Garden, New York, NY, US",40.8671897371,-73.8758528978,10,,,,10,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
73106777,3998b35f-be87-4ee9-9dbf-9a21e391740b,2021/04/06 9:03 AM EDT,2021-04-06,2021-04-06 13:03:00 UTC,Eastern Time (US & Canada),20600,danielatha,Daniel Atha,2021-04-06 13:50:09 UTC,2022-06-03 01:58:09 UTC,research,CC0,https://www.inaturalist.org/observations/73106777,https://inaturalist-open-data.s3.amazonaws.com/photos/119312056/medium.jpeg,,"New York, New York county, Central Park",,1,0,false,,"Central Park West Historic District, New York, NY, USA",40.778375,-73.9731833333,112,,,,112,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
73236235,1d327692-d5d9-42fc-acd8-dfa4f59373fc,Wed Apr 07 2021 16:41:03 GMT-0400 (EDT),2021-04-07,2021-04-07 20:41:03 UTC,Eastern Time (US & Canada),900026,nycnatureobserver,Kevin Sisco,2021-04-07 21:56:20 UTC,2021-05-05 14:27:05 UTC,research,,https://www.inaturalist.org/observations/73236235,https://static.inaturalist.org/photos/119544976/medium.jpg,,"","",1,0,false,3,"The Lake, New York, NY, US",40.776581195,-73.9731431756,146,,,,146,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
73236252,19202acb-b2fb-43ec-b01f-3474e13c1acc,Wed Apr 07 2021 16:42:44 GMT-0400 (EDT),2021-04-07,2021-04-07 20:42:44 UTC,Eastern Time (US & Canada),900026,nycnatureobserver,Kevin Sisco,2021-04-07 21:56:30 UTC,2021-05-05 14:26:58 UTC,research,,https://www.inaturalist.org/observations/73236252,https://static.inaturalist.org/photos/119544600/medium.jpg,,"","",1,0,false,3,"Central Park, New York, NY, US",40.7749690628,-73.9730614331,10,,,,10,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
73236282,09c59144-ed1a-4864-bf2b-0757bb338b29,Wed Apr 07 2021 16:44:29 GMT-0400 (EDT),2021-04-07,2021-04-07 20:44:29 UTC,Eastern Time (US & Canada),900026,nycnatureobserver,Kevin Sisco,2021-04-07 21:56:43 UTC,2021-05-05 14:26:49 UTC,research,,https://www.inaturalist.org/observations/73236282,https://static.inaturalist.org/photos/119544653/medium.jpg,,"","",1,0,false,3,"Central Park, New York, NY, US",40.7752794866,-73.9728678112,10,,,,10,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
73757119,2267dd5e-7c17-4617-8da8-fb3e983ab0a5,Mon Apr 12 2021 13:05:11 GMT-0400 (EDT),2021-04-12,2021-04-12 17:05:11 UTC,Eastern Time (US & Canada),729044,lovescinow,"",2021-04-12 17:06:18 UTC,2021-04-16 13:53:50 UTC,research,,https://www.inaturalist.org/observations/73757119,https://static.inaturalist.org/photos/120459103/medium.jpg,,"","",1,0,false,3,"Central Park, New York, NY, US",40.7747143379,-73.9686606601,9,,,,9,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
73980930,66d19f36-38a8-4867-aac8-b37fa8136b54,2021/04/06 1:56 PM UTC,2021-04-06,2021-04-06 13:56:00 UTC,UTC,4018334,henderson_bruney_jr,Henderson Bruney Jr,2021-04-14 21:11:35 UTC,2021-05-04 02:23:21 UTC,research,,https://www.inaturalist.org/observations/73980930,https://static.inaturalist.org/photos/120856167/medium.jpeg,,58,,1,0,false,,"Williamsbridge, The Bronx, NY, USA",40.8760217803,-73.8666871561,65,,,,65,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
75395992,674f609e-e916-4c99-b093-67c5cd32d23e,2021/04/26 4:16 PM EDT,2021-04-26,2021-04-26 20:16:00 UTC,Eastern Time (US & Canada),20600,danielatha,Daniel Atha,2021-04-27 04:07:50 UTC,2022-06-02 21:26:34 UTC,research,CC0,https://www.inaturalist.org/observations/75395992,https://inaturalist-open-data.s3.amazonaws.com/photos/123343632/medium.jpeg,,"",Unusual long bloom on this specimen.  Same tree observed just beginning to flower on April 5  https://www.inaturalist.org/observations/73057339,1,0,false,,"The Bronx, NY, USA",40.8653833333,-73.8752277778,10,,,,10,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
110433549,2e44cebf-9a1e-4e02-9cb3-3a271febd09d,2022-04-04 19:03:15-03:00,2022-04-04,2022-04-04 22:03:15 UTC,Brasilia,5477079,zeebermussell,,2022-04-04 22:04:18 UTC,2022-04-16 10:55:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/110433549,https://inaturalist-open-data.s3.amazonaws.com/photos/186290859/medium.jpg,,"","",1,0,false,3,"Central Park, New York, NY, US",40.769345,-73.971925,4,,,,4,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
153387999,80c54606-52d5-4d18-9bf5-c057db21c64f,2023-04-03 19:00:40-05:00,2023-04-03,2023-04-04 00:00:40 UTC,Central Time (US & Canada),4828106,aoriordan,Andrea O'Riordan,2023-04-04 00:01:48 UTC,2023-04-17 12:04:03 UTC,research,,https://www.inaturalist.org/observations/153387999,https://static.inaturalist.org/photos/268452551/medium.jpg,,"","",1,0,false,3,"Forest Park, St. Louis, MO, US",38.6400017992,-90.2847612427,17,,,,17,,,false,,,Yoshino cherry,Prunus × yedoensis,Yoshino cherry,Plantae,47352,,
