id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
504282,bbc89393-7ca3-4704-ab0b-bb7d2e4d7609,Sat Jan 18 2014 13:55:06 GMT-0500 (EST),2014-01-18,2014-01-18 18:55:06 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-01-19 01:22:02 UTC,2019-12-08 03:02:07 UTC,research,CC0,http://www.inaturalist.org/observations/504282,https://inaturalist-open-data.s3.amazonaws.com/photos/641927/medium.jpg,,"","",3,0,false,3,"I-89 S, Montpelier, VT, US",44.255927,-72.600224,5,,,,5,,,false,,,staghorn sumac,Rhus typhina,staghorn sumac,Plantae,167829,,
504661,22287887-e292-45b6-9bfe-aa887d65cedf,2014-01-19,2014-01-19,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-01-19 20:11:31 UTC,2014-10-20 13:23:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/504661,https://inaturalist-open-data.s3.amazonaws.com/photos/642572/medium.jpg,,"","",1,0,false,,"Stage Rd, Benson, Vermont",43.673149,-73.311971,48,,,,48,,,false,,,Staghorn Sumac,Rhus typhina,staghorn sumac,Plantae,167829,,
512725,904709ab-9600-4491-87ed-1e24ca1675e0,2014-01-26,2014-01-26,,Eastern Time (US & Canada),20198,joshualincoln,Joshua Lincoln,2014-01-27 04:17:48 UTC,2024-12-27 09:22:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/512725,https://inaturalist-open-data.s3.amazonaws.com/photos/652710/medium.jpg,,"","",1,0,false,,"north branch nature center montpelier, vt usa",44.282961,-72.571102,,,,,,,,false,,,staghorn sumac,Rhus typhina,staghorn sumac,Plantae,167829,,
517494,68d91529-9428-4a58-8245-d0c8550d0afd,2014-02-01,2014-02-01,,Eastern Time (US & Canada),13406,hobiecat,"",2014-02-02 01:38:53 UTC,2025-01-03 23:16:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/517494,https://inaturalist-open-data.s3.amazonaws.com/photos/659612/medium.jpg,,"",Staghorn Sumac    ,1,0,false,,"Grand Isle, VT",44.71296,-73.34288,,,,,,,,false,,,staghorn sumac,Rhus typhina,staghorn sumac,Plantae,167829,,
518514,34573785-4b02-4959-b6ce-c5478a5dd0f6,Sun Feb 02 2014 14:48:28 GMT-0500 (EST),2014-02-02,2014-02-02 19:48:28 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-02-03 02:14:08 UTC,2014-10-20 15:42:23 UTC,research,CC0,http://www.inaturalist.org/observations/518514,https://inaturalist-open-data.s3.amazonaws.com/photos/660686/medium.jpg,,"","",1,0,false,3,"49 Rail Rd, Colchester, VT, US",44.552943,-73.297485,5,,,,5,,,false,,,Staghorn sumac,Rhus typhina,staghorn sumac,Plantae,167829,,
533195,7acba502-0b78-43af-b8db-b6af1a15fbeb,2014-02-16,2014-02-16,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-02-16 20:50:39 UTC,2015-12-24 21:39:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/533195,https://inaturalist-open-data.s3.amazonaws.com/photos/677973/medium.jpg,,"","",2,0,false,,"Bomoseen State Park, Castleton, Vermont",43.656822,-73.228198,12,,,,12,,,false,,,Staghorn Sumac,Rhus typhina,staghorn sumac,Plantae,167829,,
533340,926b8754-74e3-4d53-b4d5-aa65949eb062,Sun Feb 16 2014 12:36:45 GMT-0500 (EST),2014-02-16,2014-02-16 17:36:45 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-02-16 23:32:28 UTC,2014-10-20 16:24:50 UTC,research,CC0,http://www.inaturalist.org/observations/533340,https://inaturalist-open-data.s3.amazonaws.com/photos/678172/medium.jpg,,"","",1,0,false,3,"2917 South Rd, Williston, VT, US",44.3945416483,-73.0984784011,5,,,,5,,,false,,,staghorn sumac (Rhus typhina),Rhus typhina,staghorn sumac,Plantae,167829,,
534494,10975370-8a66-4da8-8cf0-b389e8d0a16c,2014-02-17,2014-02-17,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-02-17 22:06:33 UTC,2019-12-24 01:56:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/534494,https://inaturalist-open-data.s3.amazonaws.com/photos/679581/medium.jpg,,"","",4,0,false,,"Main St, West Haven, Vermont",43.652938,-73.335371,384,,,,384,,,false,,,staghorn sumac,Rhus typhina,staghorn sumac,Plantae,167829,,
537963,0c7563c5-de8f-4143-9a8b-f7ba1a349706,Tue Feb 18 2014 17:11:48 GMT-0500 (EST),2014-02-18,2014-02-18 22:11:48 UTC,Eastern Time (US & Canada),2179,charlie,naturalist charlie,2014-02-20 22:25:01 UTC,2018-03-13 22:30:26 UTC,research,CC0,http://www.inaturalist.org/observations/537963,https://inaturalist-open-data.s3.amazonaws.com/photos/683706/medium.jpg,,"","",1,0,false,3,"56 Northfield St, Montpelier, VT, US",44.2546,-72.57964,5,,,,5,,,false,,,staghorn sumac,Rhus typhina,staghorn sumac,Plantae,167829,,
540400,9e7f56d6-d7df-466a-9a36-17e1bb13149c,2014-02-23,2014-02-23,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-02-23 21:48:26 UTC,2015-12-22 14:45:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/540400,https://inaturalist-open-data.s3.amazonaws.com/photos/686679/medium.jpg,,"","",2,0,false,,"Aitken State Forest, Mendon, Vermont",43.586779,-72.915359,192,,,,192,,,false,,,Staghorn Sumac,Rhus typhina,staghorn sumac,Plantae,167829,,
