id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
4012883,4255b62f-525b-4155-ad2c-51aac05013ee,Thu Sep 01 2016 15:40:38 GMT-0400 (EDT),2016-09-01,2016-09-01 19:40:38 UTC,Eastern Time (US & Canada),317390,nicholash,,2016-09-01 19:41:05 UTC,2021-08-27 19:06:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4012883,https://inaturalist-open-data.s3.amazonaws.com/photos/5031227/medium.jpg,,"","",1,0,false,3,"James Madison University, Harrisonburg, VA, US",38.4292192842,-78.8609207409,121,,,,121,,,false,,,Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
4592520,23917dc5-7795-4c2d-8909-6bec28777fae,2016-11-11 15:07:39,2016-11-11,2016-11-11 20:07:39 UTC,Eastern Time (US & Canada),3785,treegrow,Katja Schulz,2016-11-18 05:43:19 UTC,2021-08-27 19:06:20 UTC,research,CC0,http://www.inaturalist.org/observations/4592520,https://inaturalist-open-data.s3.amazonaws.com/photos/5550029/medium.jpg,,LLF,"Rock Creek Park, Washington, DC, USA.",1,0,false,,"Washington, District of Columbia, United States",38.973031,-77.046024,20,,,,20,,,false,,"",Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
6383886,827fbf2b-e73a-42b9-9079-21e9aa099165,Sat May 27 2017 13:37:07 GMT-0400 (EDT),2017-05-27,2017-05-27 17:37:07 UTC,Eastern Time (US & Canada),109653,jhubley,"",2017-05-27 19:54:24 UTC,2021-08-27 19:05:11 UTC,research,CC0,https://www.inaturalist.org/observations/6383886,https://inaturalist-open-data.s3.amazonaws.com/photos/8058453/medium.jpg,,"",,1,0,false,3,"Prospect Park, New York, NY, US",40.6690633333,-73.9682533333,,,,,,,,false,,,Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
12962308,dab41ffc-5f78-4b89-b2e5-f2034facd536,Sun May 27 2018 18:06:25 GMT-0700 (PDT),2018-05-27,2018-05-28 01:06:25 UTC,Pacific Time (US & Canada),987232,pinenettle,,2018-05-30 19:52:57 UTC,2023-09-15 20:01:32 UTC,research,,https://www.inaturalist.org/observations/12962308,https://static.inaturalist.org/photos/18843598/medium.jpg,,"",,3,1,false,3,"703 W 30th St, Vancouver, WA, US",45.6430075707,-122.6787129105,192,,,,192,,open,false,,,Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
12987115,4e823aad-a378-4729-94c1-be953973fa5f,2018-05-31 2:07:45 PM EDT,2018-05-31,2018-05-31 18:07:45 UTC,Eastern Time (US & Canada),757381,danefroymson,Dan Efroymson,2018-05-31 18:11:29 UTC,2022-04-19 23:18:08 UTC,research,,https://www.inaturalist.org/observations/12987115,https://static.inaturalist.org/photos/18887698/medium.jpeg,,"",,1,0,false,2,"Chestnut Hill, Philadelphia, PA, USA",40.06874587,-75.21674333,7,,,,7,,,false,,,Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
13017817,ce33d018-a9b3-4e4f-9805-ed90ab592e31,2018-06-01 3:27:13 PM EDT,2018-06-01,2018-06-01 19:27:13 UTC,Eastern Time (US & Canada),757381,danefroymson,Dan Efroymson,2018-06-01 19:30:05 UTC,2022-04-19 23:18:08 UTC,research,,https://www.inaturalist.org/observations/13017817,https://static.inaturalist.org/photos/18940935/medium.jpeg,,"",,1,0,false,2,"Lavender Trail, Philadelphia, PA 19118, USA",40.074016571,-75.2211227417,,,,,,,,false,gps,gps,Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
16432280,1020e07f-9d1c-48fa-9023-0a8588716475,Tue Sep 11 2018 11:37:09 GMT-0400 (EDT),2018-09-11,2018-09-11 15:37:09 UTC,Eastern Time (US & Canada),900026,nycnatureobserver,Kevin Sisco,2018-09-11 20:49:12 UTC,2021-08-27 19:05:02 UTC,research,,https://www.inaturalist.org/observations/16432280,https://static.inaturalist.org/photos/24721966/medium.jpg,,"",,1,0,false,3,"Central Park, New York, NY, US",40.7770209527,-73.9701659047,10,,,,10,,,false,,,Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
24837322,20add8b4-94db-4679-bfe1-39767d16bd13,2019-05-09 10:41:52 AM EDT,2019-05-09,2019-05-09 14:41:52 UTC,Eastern Time (US & Canada),520998,naturalistbradley,Bradley Simpson,2019-05-09 14:43:50 UTC,2021-08-27 19:04:49 UTC,research,,https://www.inaturalist.org/observations/24837322,https://static.inaturalist.org/photos/38415283/medium.jpeg,,"",,1,0,false,2,"3400 Inverness Dr, Chevy Chase, MD 20815, USA",39.0030517578,-77.0692977905,,,,,,,,false,gps,gps,Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
26183752,0821d049-011e-4fcd-81b5-edc16700030b,Sat Jun 01 2019 12:01:52 GMT-0400 (EDT),2019-06-01,2019-06-01 16:01:52 UTC,Eastern Time (US & Canada),852601,pcpalmer3,"",2019-06-01 16:02:25 UTC,2021-08-27 19:16:43 UTC,research,,https://www.inaturalist.org/observations/26183752,https://static.inaturalist.org/photos/40635797/medium.jpg,,"",,1,0,false,3,"Green-Wood, New York, NY, US",40.654596221,-73.9878538707,10,,,,10,,,false,,,Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
26723548,356bd605-aefd-4bb0-a145-289a22ae7c5b,2019/06/07 8:31 AM EDT,2019-06-07,2019-06-07 12:31:00 UTC,Eastern Time (US & Canada),1769778,qianli_feng,"",2019-06-10 02:46:19 UTC,2021-08-27 19:04:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26723548,https://inaturalist-open-data.s3.amazonaws.com/photos/41512074/medium.jpeg,,"",,1,0,false,,"Prospect Park, Brooklyn, NY,11225",40.6556248426,-73.9718235038,61,,,,61,,,false,,,Japanese snowbell,Styrax japonicus,Japanese snowbell,Plantae,128570,,
