id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
10479792,e3f546a1-13a3-4385-b121-6fc9445d0628,2018/03/28 2:27 PM ADT,2018-03-28,2018-03-28 17:27:00 UTC,Atlantic Time (Canada),20485,zihaowang,Zihao Wang,2018-03-28 22:52:53 UTC,2024-07-08 05:42:22 UTC,research,CC-BY,https://www.inaturalist.org/observations/10479792,https://inaturalist-open-data.s3.amazonaws.com/photos/14569811/medium.jpg,,"",Spontaneous grove of this tree with individuals from different age classes.,3,0,false,,"Queens, NY, USA",40.7463892797,-73.8094045222,9,,,,9,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
17131151,e66ed07c-5560-4f18-ad02-66d756419ce5,Tue Oct 02 2018 12:14:49 GMT-0400 (EDT),2018-10-02,2018-10-02 16:14:49 UTC,Eastern Time (US & Canada),650798,georginacullman,Georgina Cullman,2018-10-02 16:16:38 UTC,2025-03-20 11:19:24 UTC,research,,https://www.inaturalist.org/observations/17131151,https://static.inaturalist.org/photos/25947873/medium.jpg,,"",,3,1,false,3,"Van Cortlandt Park, New York, NY, US",40.9010616667,-73.8732916667,10,,,,10,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
20793038,dd071f13-178f-4d1b-80ea-bc238eb31d4f,2019/01/26 12:01 PM EST,2019-01-26,2019-01-26 17:01:00 UTC,Eastern Time (US & Canada),582522,annebekker,Anne Bekker,2019-02-27 01:21:08 UTC,2021-10-31 15:16:09 UTC,research,,https://www.inaturalist.org/observations/20793038,https://static.inaturalist.org/photos/32068047/medium.jpeg,,"","",1,0,false,,"Northwest Philadelphia, Philadelphia, PA, USA",40.0807763859,-75.234249937,15,,,,15,,,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
20813743,a5fdddee-e53d-4764-8a14-46a65a68f21e,2019/02/27 9:31 PM UTC,2019-02-27,,UTC,867246,ostracodeknight,Leo Kenney,2019-02-27 21:33:02 UTC,2024-06-07 18:43:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20813743,https://inaturalist-open-data.s3.amazonaws.com/photos/32102229/medium.png,,"","confirmed, definitely cultivated given how far out of its range this is!",1,0,false,,"Potomac Overlook Regional Park, Arlington, VA, US",38.9125418413,-77.1095200936,1973,,,,1973,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
21424827,57bbed36-de2b-4b06-a7df-aabbbb8779cb,Wed Mar 20 2019 13:50:31 GMT-0400 (EDT),2019-03-20,2019-03-20 17:50:31 UTC,Eastern Time (US & Canada),404601,kmv,Kristina Victoreen,2019-03-20 17:52:44 UTC,2024-11-16 18:43:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21424827,https://inaturalist-open-data.s3.amazonaws.com/photos/33146424/medium.jpg,,"",,4,0,false,3,"Wissahickon Valley Park, Philadelphia, PA, US",40.0804278333,-75.2344133333,5,,,,5,,,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
42969420,caaae45f-5321-4580-8f85-4cd8bcece4f8,Thu Apr 23 2020 12:14:01 GMT-0500 (CDT),2020-04-23,2020-04-23 12:14:01 UTC,UTC,2778843,thudore,Michael Han,2020-04-23 17:14:27 UTC,2024-04-25 17:10:57 UTC,research,,https://www.inaturalist.org/observations/42969420,https://static.inaturalist.org/photos/71980989/medium.jpg,,"",,1,0,false,3,"Hicks Rd, Nashville, TN, US",36.0652940115,-86.9225681574,50,,,,50,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
49516581,2c18e4b0-4e5c-408f-8e8b-385d2dda98b0,Sat Jun 13 2020 20:01:18 GMT-0400 (EDT),2020-06-13,2020-06-14 00:01:18 UTC,Eastern Time (US & Canada),3169114,reynoldsmark2,Qinchuan Wang,2020-06-14 00:01:52 UTC,2022-10-27 00:07:51 UTC,research,,https://www.inaturalist.org/observations/49516581,https://static.inaturalist.org/photos/78605611/medium.jpg,,"",,3,0,false,3,"Leister Dr, Lutherville Timonium, MD, US",39.45363453,-76.6635450881,22,,,,22,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
52373705,1f96730d-b2d1-440d-8fe5-47467ff23c5e,Tue Jul 07 2020 14:48:26 GMT-0400 (EDT),2020-07-07,2020-07-07 18:48:26 UTC,Eastern Time (US & Canada),2928255,yayemaster,Robert Levy,2020-07-08 15:32:54 UTC,2025-04-28 00:52:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52373705,https://inaturalist-open-data.s3.amazonaws.com/photos/83252367/medium.jpg,,"",,1,0,false,3,"Long Island, New York, NY, US",40.7427,-73.74538333,5,,,,5,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
55219519,18e52f01-6869-4fa3-bed1-c415e49a4e19,2020-08-02 6:21:04 PM EDT,2020-08-02,2020-08-02 22:21:04 UTC,Eastern Time (US & Canada),2680192,civet,luxury,2020-08-02 23:19:55 UTC,2021-11-25 02:14:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55219519,https://inaturalist-open-data.s3.amazonaws.com/photos/87911735/medium.jpeg,,"",,2,0,false,2,"Spring House, PA, USA",40.1935472222,-75.2210919444,,,,,,,open,false,gps,gps,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
58970215,f9ef9aa1-7714-4d4e-aebd-ded28fde7bfc,2020-09-08 1:56:22 PM EDT,2020-09-08,2020-09-08 17:56:22 UTC,Eastern Time (US & Canada),3579356,david3529,David Griffin,2020-09-08 18:02:33 UTC,2021-01-26 19:15:35 UTC,research,,https://www.inaturalist.org/observations/58970215,https://static.inaturalist.org/photos/94183920/medium.jpeg,,"",,1,0,false,2,"Worrilow Hall, Newark, DE 19716, USA",39.66686112,-75.75046842,10,,,,10,,,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
65044432,0229c640-4a5c-4336-b182-20ac1a0a21e1,Mon Nov 16 2020 14:08:45 GMT-0500 (EST),2020-11-16,2020-11-16 19:08:45 UTC,Eastern Time (US & Canada),1293450,conboy,Andrew Conboy,2020-11-17 00:08:14 UTC,2022-02-03 20:23:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/65044432,https://inaturalist-open-data.s3.amazonaws.com/photos/104662805/medium.jpg,,"","I really don’t know what this is, I’m going to try to figure it out later. There was a whole bunch of it growing here. Leaves still green. ",2,0,false,3,"Fairmount Park, Philadelphia, PA, US",39.9934466667,-75.2042616667,10,,,,10,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
74238317,689336fa-5554-41c9-b5b9-a16e15cba207,Sat Apr 17 2021 10:20:14 GMT-0400 (EDT),2021-04-17,2021-04-17 14:20:14 UTC,Eastern Time (US & Canada),3169114,reynoldsmark2,Qinchuan Wang,2021-04-17 14:24:29 UTC,2022-10-27 18:52:05 UTC,research,,https://www.inaturalist.org/observations/74238317,https://static.inaturalist.org/photos/121311902/medium.jpg,,"","",2,0,false,3,"Maryland, US",39.4136012031,-76.750314265,24,,,,28090,obscured,open,true,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
75980808,904a0f0d-50ba-4a8d-8dd7-e71cb3466a23,2021/04/30 11:39 AM EDT,2021-04-30,2021-04-30 15:39:00 UTC,Eastern Time (US & Canada),1293450,conboy,Andrew Conboy,2021-05-01 00:11:40 UTC,2022-06-05 13:36:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/75980808,https://inaturalist-open-data.s3.amazonaws.com/photos/124307629/medium.jpeg,,"","I found this species before, and I still have no clue what it is. Here's the previous observation - https://www.inaturalist.org/observations/65044432",1,0,false,,"Philadelphia, Pennsylvania, United States",40.0807305556,-75.2341527778,5,,,,5,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
76396968,e4fbdfa8-f535-4b83-b835-5416caa03558,2021/05/01 1:57 PM EDT,2021-05-01,2021-05-01 17:57:00 UTC,Eastern Time (US & Canada),20600,danielatha,Daniel Atha,2021-05-02 02:45:42 UTC,2021-10-13 15:47:29 UTC,research,CC0,https://www.inaturalist.org/observations/76396968,https://inaturalist-open-data.s3.amazonaws.com/photos/124961286/medium.jpeg,,"New York, Bronx county, Bronx Park, Bronx River Forest",,1,0,false,,"The Bronx, NY, USA",40.8693083333,-73.8735055556,10,,,,10,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
76415451,b6b788a3-43e4-431b-8367-eaca764ab5ea,2021/05/01 5:22 PM EDT,2021-05-01,2021-05-01 21:22:00 UTC,Eastern Time (US & Canada),20600,danielatha,Daniel Atha,2021-05-02 03:55:01 UTC,2021-09-27 23:49:17 UTC,research,CC0,https://www.inaturalist.org/observations/76415451,https://inaturalist-open-data.s3.amazonaws.com/photos/124998817/medium.jpeg,,"New York, Bronx county, Bronx Park, Bronx River Forest",Escaped from the NYBG and naturalized here.,1,0,false,,"Bronx, New York, United States",40.8674,-73.8731472222,10,,,,10,,,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
76415452,72a241b3-3803-43a9-b2f2-ca23535a49a9,2021/05/01 5:23 PM EDT,2021-05-01,2021-05-01 21:23:00 UTC,Eastern Time (US & Canada),20600,danielatha,Daniel Atha,2021-05-02 03:55:02 UTC,2021-10-13 15:46:50 UTC,research,CC0,https://www.inaturalist.org/observations/76415452,https://inaturalist-open-data.s3.amazonaws.com/photos/124998876/medium.jpeg,,"New York, Bronx county, Bronx Park, Bronx River Forest",Escaped from the NYBG and naturalized here.,1,0,false,,"The Bronx, NY, USA",40.8674,-73.8731694444,10,,,,10,,open,false,,,Tun tree,Toona sinensis,Tun tree,Plantae,426847,,
