id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
577310,7a6865d3-d8c9-49e4-a2cc-0da2986becc5,2014-03-20 18:21:10,2014-03-20,2014-03-21 01:21:10 UTC,Pacific Time (US & Canada),26093,museumofriverside,Museum of Riverside,2014-03-21 18:59:53 UTC,2023-06-01 08:06:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/577310,https://inaturalist-open-data.s3.amazonaws.com/photos/734343/medium.jpg,,"",Photo by Hope Olvera,2,0,false,,"Casa Blanca, Riverside, CA",33.926559,-117.400721,,,,,,,,false,,,Desert Grass Spider,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
785768,1423763c-dea9-49ab-9288-a8c20425fbec,2014-07-14 12:28,2014-07-14,2014-07-14 19:28:00 UTC,Pacific Time (US & Canada),26093,museumofriverside,Museum of Riverside,2014-07-15 17:20:31 UTC,2023-12-02 09:38:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/785768,https://inaturalist-open-data.s3.amazonaws.com/photos/987334/medium.jpg,,"",Photo by Cheree Duarte,3,0,false,,"Woodcrest, Riverside, CA",33.869474,-117.335388,,,,,,,,false,,,Agelenopsis aperta,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
818913,d86fa81a-c404-497a-a2c2-13d27a46baba,2014-08-03 00:32:09,2014-08-03,2014-08-03 07:32:09 UTC,Pacific Time (US & Canada),27743,jaykeller,Jay L. Keller,2014-08-06 03:42:32 UTC,2023-12-02 09:43:31 UTC,research,,http://www.inaturalist.org/observations/818913,https://static.inaturalist.org/photos/1032946/medium.jpg,,"","",2,0,false,,"Scissors Crossing, CA",33.103909,-116.48632,547,,,,547,,,false,,manual,Agelenopsis aperta,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
878820,751c383c-c231-45b3-8037-c926af07a785,2014-08-23 21:31:45,2014-08-23,2014-08-24 04:31:45 UTC,Pacific Time (US & Canada),27743,jaykeller,Jay L. Keller,2014-09-16 02:00:39 UTC,2023-12-02 11:02:00 UTC,research,,http://www.inaturalist.org/observations/878820,https://static.inaturalist.org/photos/1115774/medium.jpg,,"","",1,0,false,,"Pena Blanca Lake, AZ",31.401561,-111.088085,139,,,,139,,,false,,,Desert Grass Spider,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
1391708,ecb6a62f-3691-4b57-a075-1f5d39bdeaa4,2015-04-13,2015-04-13,,Pacific Time (US & Canada),6971,silversea_starsong,James Bailey,2015-04-13 21:09:30 UTC,2023-06-01 08:08:53 UTC,research,CC-BY,http://www.inaturalist.org/observations/1391708,https://inaturalist-open-data.s3.amazonaws.com/photos/1723825/medium.JPG,,"","",1,0,false,,Cheseboro Canyon,34.162351,-118.722875,68,,,,68,,,false,,manual,Desert Grass Spider,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
1532203,6a10ddf5-54bb-46db-acd0-f0aa029fd28e,Sat May 23 2015 13:33:28 GMT-0700 (PDT),2015-05-23,2015-05-23 20:33:28 UTC,Pacific Time (US & Canada),44578,lorettarose,"",2015-05-23 20:33:31 UTC,2023-06-01 08:09:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1532203,https://inaturalist-open-data.s3.amazonaws.com/photos/1898355/medium.jpg,,"",,2,0,false,3,"27149–27165 Palos Verdes Dr E, Rolling Hills Estates, CA, US",33.772235,-118.327001,5,,,,5,,,false,,,Desert Grass Spider,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
1710138,2fa94186-f2a2-4222-8f1a-a9cb509d0ab7,2015-06-29 19:36,2015-06-29,2015-06-30 02:36:00 UTC,Pacific Time (US & Canada),26093,museumofriverside,Museum of Riverside,2015-06-30 21:09:41 UTC,2016-03-09 21:51:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1710138,https://inaturalist-open-data.s3.amazonaws.com/photos/2071107/medium.jpg,,"",Photo by Kim Wilshire; identification by Rick vetter,1,0,false,,"Box Springs Grade, Riverside, CA",33.9527783962,-117.3257479818,,,,,,,,false,,,grass spider,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
1785435,a70945ae-914a-4bb4-8d0f-5c428b5eb2cf,2015-07-20 4:53:48 PM PDT,2015-07-20,2015-07-20 23:53:48 UTC,Pacific Time (US & Canada),12809,cedric_lee,Cedric Lee,2015-07-21 04:37:59 UTC,2023-06-01 08:10:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1785435,https://static.inaturalist.org/photos/2161901/medium.jpg,,"","",2,0,false,2,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",34.1821324256,-117.9711474613,48,,,,48,,,false,gps,gps,Desert Grass Spider,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
1822986,a76928d5-e443-4950-bc40-777d8a69b1bd,2015-07-19,2015-07-19,,Pacific Time (US & Canada),108450,rjadams55,R.J. Adams,2015-08-01 19:10:00 UTC,2023-12-02 11:17:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1822986,https://inaturalist-open-data.s3.amazonaws.com/photos/2211241/medium.JPG,,"","This individual had a large web in an agave. It's body length was nearly an inch, and while not visible in the pictures, it had the long spinnerets that distinguish the genera Agelenenopsis and Calilena.

Calilena are generally grayer and tend to build their funnlewebs under debris and close to the ground while western Agelenopsis are more tan and generally build large webs that are elevated with a wide, deep funnel retreat. ",2,0,false,,Santa Barbara Botanical Garden,34.456948,-119.709921,8,,,,8,,,false,,,Agelenopsis aperta,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
3259300,264f149d-a161-464a-b02e-2a0049839b42,2016-05-21 09:59,2016-05-21,2016-05-21 16:59:00 UTC,Pacific Time (US & Canada),81779,scubabruin,LSchare (she/her),2016-05-21 22:40:13 UTC,2024-08-30 21:28:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3259300,https://inaturalist-open-data.s3.amazonaws.com/photos/3769314/medium.jpg,,"","",2,0,false,,Leo Carrillo State Park ,34.047798,-118.932692,6,,,,6,,,false,,,Desert Grass Spider,Agelenopsis aperta,Desert Grass Spider,Arachnida,201680,,
