,id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
36219,124955141,0108206e-cde0-44d7-80e9-e62f84f5b44f,2022/07/05 7:59 AM,2022-07-05,2022-07-05 11:59:00 UTC,Eastern Time (US & Canada),349183,joemdo,Joe MDO,2022-07-06 00:00:58 UTC,2024-02-12 17:40:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124955141,https://inaturalist-open-data.s3.amazonaws.com/photos/211849684/medium.jpg,,,"11 Mile Road by bicycle
All my observations from today:
https://www.inaturalist.org/observations?on=2022-07-05&order=asc&order_by=observed_on&place_id=any&user_id=joemdo",3,0,False,,"Big Cypress, FL, USA",25.878799,-80.960403,15.0,,,,15.0,,,False,,,Florida Carpenter Ant,Camponotus floridanus,Florida Carpenter Ant,Insecta,81709,,
36220,124955934,0c392ac8-d77d-4e76-8ff8-eb4d80860887,2022-07-05 14:01:39,2022-07-05,2022-07-05 21:01:39 UTC,Pacific Time (US & Canada),228699,jbroadhead,Jordan Broadhead,2022-07-06 00:13:45 UTC,2023-12-02 06:37:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124955934,https://inaturalist-open-data.s3.amazonaws.com/photos/211856142/medium.jpeg,,,,2,0,False,2.0,"Grays Harbor County, US-WA, US",47.4672805556,-123.846675,,,,,,,,False,gps,gps,New York Carpenter Ant,Camponotus novaeboracensis,New York Carpenter Ant,Insecta,143252,,
36221,124964852,393fad55-2c37-4381-9197-30be003300db,2022/07/05 9:19 AM,2022-07-05,2022-07-05 13:19:00 UTC,Eastern Time (US & Canada),2132743,george1997,George Keller,2022-07-06 01:49:34 UTC,2022-07-06 01:52:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124964852,https://inaturalist-open-data.s3.amazonaws.com/photos/211872352/medium.jpg,,,,1,0,False,,"Centerville, OH, USA",39.6199708227,-84.1677968612,10.0,,,,10.0,,,False,,,Eastern Black Carpenter Ant,Camponotus pennsylvanicus,Eastern Black Carpenter Ant,Insecta,129902,,
36222,124969551,63697efb-7b87-4001-bfd3-d70bf8aca2ab,2022-07-05 17:09:40-04:00,2022-07-05,2022-07-05 21:09:40 UTC,Eastern Time (US & Canada),3453019,kingmush,JeffreyGammon,2022-07-06 02:40:34 UTC,2022-07-12 18:29:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124969551,https://inaturalist-open-data.s3.amazonaws.com/photos/211882524/medium.jpg,,,,1,0,False,3.0,"S Jog Rd, Delray Beach, FL, US",26.4796783333,-80.1429138333,5.0,,,,5.0,,,False,,,Compact Carpenter Ant,Camponotus planatus,Compact Carpenter Ant,Insecta,300418,,
36223,124970519,3faf8d0f-3c51-411f-a272-3ed7e1dad721,2022-07-05 18:14:33-04:00,2022-07-05,2022-07-05 22:14:33 UTC,Eastern Time (US & Canada),5389269,copasetikncool,Rodricka Elliott,2022-07-06 02:49:14 UTC,2023-12-25 14:26:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124970519,https://inaturalist-open-data.s3.amazonaws.com/photos/211884183/medium.jpg,,,,1,0,False,3.0,"Kingman And Heritage Islands, Washington, DC, US",38.8906825363,-76.9661598206,226.0,,,,226.0,,,False,,,Ferruginous Carpenter Ant,Camponotus chromaiodes,Ferruginous Carpenter Ant,Insecta,62780,,
36224,124970628,7a5ef5e7-e111-413c-85b1-486ef6fbfe3a,2022/07/03 10:33 AM,2022-07-03,2022-07-03 14:33:00 UTC,Eastern Time (US & Canada),13595,sicloot,sicloot,2022-07-06 02:50:11 UTC,2024-03-18 16:10:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124970628,https://inaturalist-open-data.s3.amazonaws.com/photos/211882211/medium.jpg,,sicloot_litchfield_2022_07_03_1,,1,0,False,,"Litchfield, NH 03052, USA",42.8442536,-71.4797889,8069.0,,,,8069.0,,,False,,,Eastern Black Carpenter Ant,Camponotus pennsylvanicus,Eastern Black Carpenter Ant,Insecta,129902,,
36225,124977653,98484ec6-9e64-462d-88b9-237aa4de20a2,2022/07/03 5:02 PM,2022-07-03,2022-07-03 21:02:00 UTC,Eastern Time (US & Canada),1024371,augochlora,,2022-07-06 04:07:53 UTC,2024-10-01 14:11:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124977653,https://inaturalist-open-data.s3.amazonaws.com/photos/211896725/medium.gif,,,A large black ant.,2,0,False,,"Fairmont, WV 26554, USA",39.4850848,-80.1425781,4021.0,,,,4021.0,,,False,,,Eastern Black Carpenter Ant,Camponotus pennsylvanicus,Eastern Black Carpenter Ant,Insecta,129902,,
36226,124983855,093370c8-d96a-43db-b972-9a43608a0c14,2022-07-05 19:59:04-07:00,2022-07-05,2022-07-06 02:59:04 UTC,Pacific Time (US & Canada),977072,mason_s,Mason S.,2022-07-06 05:36:02 UTC,2023-07-19 17:11:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124983855,https://inaturalist-open-data.s3.amazonaws.com/photos/211909693/medium.jpg,,,,4,0,False,3.0,"Mission Trails Regional Park, San Diego, CA, US",32.83165,-117.0437778333,5.0,,,,5.0,,,False,,,Thicket Carpenter Ant,Camponotus dumetorum,,Insecta,68946,,
36227,124983911,486ea8fd-289f-407e-9e90-81d7ab61ee2b,2022-07-05 20:22:40-07:00,2022-07-05,2022-07-06 03:22:40 UTC,Pacific Time (US & Canada),977072,mason_s,Mason S.,2022-07-06 05:37:03 UTC,2023-07-19 17:11:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124983911,https://inaturalist-open-data.s3.amazonaws.com/photos/211909838/medium.jpg,,,,4,0,False,3.0,"Mission Trails Regional Park, San Diego, CA, US",32.831105,-117.0442278333,3.0,,,,3.0,,,False,,,Thicket Carpenter Ant,Camponotus dumetorum,,Insecta,68946,,
36228,124983955,f444a822-b2ce-4fa8-8225-23cba0c5c4f5,2022-07-05 20:34:14-07:00,2022-07-05,2022-07-06 03:34:14 UTC,Pacific Time (US & Canada),977072,mason_s,Mason S.,2022-07-06 05:37:49 UTC,2023-07-19 17:11:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/124983955,https://inaturalist-open-data.s3.amazonaws.com/photos/211909947/medium.jpg,,,,4,0,False,3.0,"Mission Trails Regional Park, San Diego, CA, US",32.8326159148,-117.042558506,71.0,,,,71.0,,,False,,,Thicket Carpenter Ant,Camponotus dumetorum,,Insecta,68946,,
