id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
887748,a3104219-92e2-49cb-8683-6706cc7e6de5,2014-09-20 10:54:13,2014-09-20,2014-09-20 15:54:13 UTC,Central Time (US & Canada),18079,lg_price,Linda Gail Price,2014-09-21 03:46:52 UTC,2025-05-14 12:58:34 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/887748,https://inaturalist-open-data.s3.amazonaws.com/photos/1127492/medium.jpg,,"",Note the small red water mites attached.,3,0,false,,"Upshur, Texas, United States",32.848622,-94.7088,50,,,,50,,,false,,,Golden Harvestman,Leiobunum flavum,Golden Harvestman,Arachnida,262058,,
1444731,a01d499a-5483-459e-b08e-005af7c29e80,Fri May 01 2015 20:59:28 GMT-0500 (CDT),2015-05-01,2015-05-02 01:59:28 UTC,Central Time (US & Canada),90526,nanofishology,Kai Joaquin,2015-05-02 03:55:18 UTC,2020-09-27 02:44:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1444731,https://inaturalist-open-data.s3.amazonaws.com/photos/1788774/medium.jpg,,"",Harvestman?,1,0,false,3,"77657, Lumberton, TX, US",30.253868,-94.169425,330,,,,330,,,false,,,Leiobunum flavum,Leiobunum flavum,Golden Harvestman,Arachnida,262058,,
1445689,7dc8013f-fbfc-4d53-b308-abc0958c900a,Sat May 02 2015 10:14:29 GMT-0500 (CDT),2015-05-02,2015-05-02 15:14:29 UTC,Central Time (US & Canada),95115,pgallonule,,2015-05-02 15:16:01 UTC,2025-05-13 15:06:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1445689,https://inaturalist-open-data.s3.amazonaws.com/photos/1789925/medium.jpg,,"",Possibly on ironwood tree.  Muscle tree,2,0,false,3,"Park Road 74, Lumberton, TX, US",30.254268,-94.175113,5,,,,5,,,false,,,Golden Harvestman,Leiobunum flavum,Golden Harvestman,Arachnida,262058,,
1446134,4e0e9789-c0c0-4f8b-b7df-f41a0a5d4dce,Sat May 02 2015 10:20:20 GMT-0500 (CDT),2015-05-02,2015-05-02 15:20:20 UTC,Central Time (US & Canada),90526,nanofishology,Kai Joaquin,2015-05-02 16:52:16 UTC,2025-05-13 15:06:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1446134,https://inaturalist-open-data.s3.amazonaws.com/photos/1790458/medium.jpg,,"",Harvestman,2,0,false,3,"Park Road 74, Lumberton, TX, US",30.254272,-94.17165,200,,,,200,,,false,,,Golden Harvestman,Leiobunum flavum,Golden Harvestman,Arachnida,262058,,
1447193,be8abefe-3f49-4248-af04-d6e58939e87c,Sat May 02 2015 14:55:35 GMT-0500 (CDT),2015-05-02,2015-05-02 19:55:35 UTC,Central Time (US & Canada),93283,judith3,Judith Granger,2015-05-02 20:26:18 UTC,2025-05-13 15:06:22 UTC,research,,http://www.inaturalist.org/observations/1447193,https://static.inaturalist.org/photos/1791546/medium.jpg,,"",,2,0,false,3,"77657, Lumberton, TX, US",30.255371,-94.168979,5,,,,5,,,false,,,Golden Harvestman,Leiobunum flavum,Golden Harvestman,Arachnida,262058,,
1495105,d9445570-42f5-45ac-a460-63a962657af3,2015-05-15 21:47:31,2015-05-15,2015-05-16 01:47:31 UTC,Eastern Time (US & Canada),53860,berkshirenaturalist,Jason M Crockwell,2015-05-16 11:38:01 UTC,2020-05-28 15:53:54 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/1495105,https://inaturalist-open-data.s3.amazonaws.com/photos/1852112/medium.JPG,,"",http://www.life.umd.edu/entm/shultzlab/opiliomd/Lventric/index.htm,2,0,false,,"Appalacian Trail, Berkshire County, Monterey, Massachusetts, US",42.1838766667,-73.2907016667,28,,,,28,,,false,,,Leiobunum ventricosum,Leiobunum ventricosum,,Arachnida,465580,,
1566185,801c75f0-1167-4a59-ab52-a8c1d560499e,2015-05-30,2015-05-30,,Central Time (US & Canada),34728,cosmiccat,Cosmic Cat,2015-05-31 05:50:53 UTC,2025-05-14 01:46:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1566185,https://inaturalist-open-data.s3.amazonaws.com/photos/1938917/medium.JPG,,"","",2,0,false,,"Caddo Lake State Park, TX",32.690988,-94.180103,27,,,,27,,,false,,,Golden Harvestman,Leiobunum flavum,Golden Harvestman,Arachnida,262058,,
1566917,f0117016-51a9-47fe-b8fa-a131c05db1f9,2015-05-29,2015-05-29,,Eastern Time (US & Canada),53860,berkshirenaturalist,Jason M Crockwell,2015-05-31 16:08:41 UTC,2020-05-28 15:54:05 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/1566917,https://inaturalist-open-data.s3.amazonaws.com/photos/1939835/medium.JPG,,"",http://www.life.umd.edu/entm/shultzlab/opiliomd/Lventric/index.htm,2,0,false,,"Pittsfield State Forest, Berkshire County, Pittsfield, Massachusetts, US",42.492702,-73.297753,97,,,,97,,,false,,,Leiobunum ventricosum,Leiobunum ventricosum,,Arachnida,465580,,
1613127,227518eb-f70f-4fcc-bed5-52472a158736,2015-06-07 08:10:51,2015-06-07,2015-06-07 15:10:51 UTC,Pacific Time (US & Canada),1850,bbunny,Rebecca Marschall,2015-06-10 01:42:44 UTC,2023-05-30 14:31:11 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1613127,https://inaturalist-open-data.s3.amazonaws.com/photos/1982444/medium.jpg,,"","",1,0,false,,"Ohio, United States",41.262522,-81.558517,,,,,,,,false,,"",Leiobunum verrucosum,Leiobunum verrucosum,Warty Harvestman,Arachnida,470935,,
1621049,663928ac-5fe9-4ac6-be31-80db8a2f516f,2015-06-11,2015-06-11,,Eastern Time (US & Canada),70937,gjc_093,GJC_093,2015-06-12 02:09:12 UTC,2025-05-16 17:26:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1621049,https://inaturalist-open-data.s3.amazonaws.com/photos/1990501/medium.JPG,,"","On the edge of the forest and prairie, 2 individuals.",2,0,false,,Boot Lake Nature Preserve,41.750504,-86.017885,27,,,,27,,,false,,,Warty Harvestman,Leiobunum verrucosum,Warty Harvestman,Arachnida,470935,,
1623595,2126cc61-a083-4898-8d37-23ecc5aa903b,Fri Jun 12 2015 07:44:10 GMT-0500 (CDT),2015-06-12,2015-06-12 12:44:10 UTC,Central Time (US & Canada),55236,coreyjlange,Corey Lange,2015-06-13 00:58:21 UTC,2023-05-30 14:31:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1623595,https://inaturalist-open-data.s3.amazonaws.com/photos/1993740/medium.jpg,,"",,2,0,false,3,"Carpenter Park, Springfield, IL, US",39.8708716667,-89.6275116667,,,,,,,,false,,,Leiobunum verrucosum,Leiobunum verrucosum,Warty Harvestman,Arachnida,470935,,
1626841,d07289c6-483d-4b65-93cc-c07ff99ebd84,Sat Jun 13 2015 07:40:53 GMT-0500 (CDT),2015-06-13,2015-06-13 12:40:53 UTC,Central Time (US & Canada),38920,rjnjr,"Robert J. ""Bob"" Nuelle, Jr. AICEZS",2015-06-13 14:44:36 UTC,2025-05-13 15:06:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1626841,https://inaturalist-open-data.s3.amazonaws.com/photos/1996150/medium.jpg,,"",,2,0,false,3,"Sam Houston National Forest, Huntsville, TX, US",30.559029,-95.641919,665,,,,665,,,false,,,Golden Harvestman,Leiobunum flavum,Golden Harvestman,Arachnida,262058,,
1632579,f21362b9-5179-4607-be48-bc329d59c223,Sat Jun 13 2015 10:08:24 GMT-0400 (EDT),2015-06-13,2015-06-13 14:08:24 UTC,Eastern Time (US & Canada),7580,carrieseltzer,Carrie Seltzer,2015-06-14 21:27:51 UTC,2023-05-30 14:31:42 UTC,research,CC0,http://www.inaturalist.org/observations/1632579,https://inaturalist-open-data.s3.amazonaws.com/photos/2002372/medium.jpg,,"",,3,0,false,3,"Chesapeake and Ohio Canal NHP, Potomac, MD, US",38.9755216667,-77.2182616667,,,,,,,,false,,,Leiobunum verrucosum,Leiobunum verrucosum,Warty Harvestman,Arachnida,470935,,
1694921,de850516-6672-4437-a536-12191e682684,2015-06-24,2015-06-24,,Eastern Time (US & Canada),12045,larry522,Larry Clarfeld,2015-06-26 17:56:04 UTC,2023-07-08 11:43:20 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1694921,https://inaturalist-open-data.s3.amazonaws.com/photos/2051961/medium.jpg,,"","",2,0,false,,Centennial Woods,44.475885,-73.185157,47,,,,47,,,false,,,Leiobunum ventricosum,Leiobunum ventricosum,,Arachnida,465580,,
1717492,1a6593c5-c147-4186-a643-60826d85b9f5,2015-07-02,2015-07-02,,Central Time (US & Canada),9706,greglasley,Greg Lasley,2015-07-03 01:39:45 UTC,2019-11-01 01:30:11 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1717492,https://inaturalist-open-data.s3.amazonaws.com/photos/2080618/medium.jpg,,"","",2,0,false,,"Magazine Mountain State Park, Arkansas",35.176546,-93.617206,200,,,,200,,,false,,,Leiobunum flavum,Leiobunum flavum,Golden Harvestman,Arachnida,262058,,
1754777,0760f0e8-e594-47c0-8ba3-8001739d8e98,2015-07-13 05:53:09,2015-07-13,2015-07-13 09:53:09 UTC,Eastern Time (US & Canada),28545,allenratzlaff,J. Allen Ratzlaff,2015-07-14 12:16:23 UTC,2022-10-05 03:24:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1754777,https://static.inaturalist.org/photos/2130445/medium.jpg,,"","",1,0,false,,"Fairview, North Carolina",35.544405,-82.370626,13,,,,13,,,false,,,Leiobunum ventricosum,Leiobunum ventricosum,,Arachnida,465580,,
1820716,2500898e-ed9c-4e15-9588-b1d660149b81,2015-07-28 10:55:41,2015-07-28,2015-07-28 14:55:41 UTC,Eastern Time (US & Canada),43807,keimwj,Bill Keim,2015-08-01 01:05:03 UTC,2024-09-22 06:01:00 UTC,research,CC-BY,http://www.inaturalist.org/observations/1820716,https://inaturalist-open-data.s3.amazonaws.com/photos/2208649/medium.jpg,,"","28 Jul 2015.
Buckingham Springs, Bucks Co, PA
Male.
Found under a clay pot on the lawn.
This is Leiobunum verrucosum.
ID courtesy of Jeffrey Shultz:
<a href=""http://bugguide.net/node/view/1111544"" rel=""nofollow"">bugguide.net/node/view/1111544</a>",2,0,false,,"Buckingham, Pennsylvania, United States",40.301784,-75.035497,4,,,,4,,,false,,,Leiobunum verrucosum,Leiobunum verrucosum,Warty Harvestman,Arachnida,470935,,
1829471,aa30ceef-4d7a-4714-88be-8ddecf4e5e45,2014-05-07 11:45:21,2014-05-07,2014-05-07 15:45:21 UTC,Eastern Time (US & Canada),43807,keimwj,Bill Keim,2015-08-03 23:55:41 UTC,2024-09-22 06:01:00 UTC,research,CC-BY,http://www.inaturalist.org/observations/1829471,https://inaturalist-open-data.s3.amazonaws.com/photos/2220855/medium.jpg,,"","07 May 2014.
Buckingham Springs, Bucks Co, PA.
Immature.
4.5 mm head-abdomen.
Found under a clay pot in the woods.
ID courtesy of Jeffrey Shultz:
<a href=""http://bugguide.net/node/view/917667"" rel=""nofollow"">bugguide.net/node/view/917667</a>
",1,0,false,,"Buckingham, Pennsylvania, United States",40.301147,-75.036098,37,,,,37,,,false,,,Leiobunum verrucosum,Leiobunum verrucosum,Warty Harvestman,Arachnida,470935,,
