,id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
36663,117888739,9f4355ae-3d5c-4c05-b543-e838476d64c9,2022-05-20 12:45:41-04:00,2022-05-20,2022-05-20 16:45:41 UTC,Eastern Time (US & Canada),3625192,rhwxyz123,Richard Waite,2022-05-20 17:22:10 UTC,2022-05-29 00:11:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117888739,https://inaturalist-open-data.s3.amazonaws.com/photos/199131391/medium.jpg,,,,1,0,False,3.0,"Fishers Park, Victor, NY, US",43.00891945,-77.4801333333,4.0,,,,4.0,,,False,,,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
36664,117888897,e6895a72-8e12-4ef4-ac9e-fda7b2d01c3d,Fri May 20 2022 13:23:01 GMT -0400 (EDT),2022-05-20,2022-05-20 17:23:01 UTC,Eastern Time (US & Canada),1667803,jah956,,2022-05-20 17:23:11 UTC,2023-03-01 05:34:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117888897,https://inaturalist-open-data.s3.amazonaws.com/photos/199131715/medium.jpeg,,,,3,0,False,333.0,Frederick,39.3672103882,-77.3862457275,91.0,,,,91.0,,,False,,,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
36665,117894448,11233827-2094-40e3-aee6-90da15807d58,2022-05-15 13:53:18-04:00,2022-05-15,2022-05-15 17:53:18 UTC,Eastern Time (US & Canada),189141,ezimlich,,2022-05-20 18:04:01 UTC,2025-04-04 04:12:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117894448,https://inaturalist-open-data.s3.amazonaws.com/photos/199141003/medium.jpg,,,,1,0,False,3.0,"Marshallville, OH, US",40.8828080271,-81.7450119586,4.0,,,,4.0,,,False,,,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
36666,117894743,2ffa9213-9e46-4192-9353-9f63709f6ab5,2022/05/09 10:29 AM,2022-05-09,2022-05-09 14:29:00 UTC,Eastern Time (US & Canada),1014628,slamonde,Steven Lamonde,2022-05-20 18:05:55 UTC,2022-05-20 19:16:38 UTC,research,CC-BY,https://www.inaturalist.org/observations/117894743,https://inaturalist-open-data.s3.amazonaws.com/photos/199139899/medium.jpeg,,,,1,0,False,,"Grafton, New Hampshire, United States",43.74546918,-72.07641828,,,,,,,,False,,,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
36667,117896721,6c4e768d-6244-4559-98c9-c43fa30d7303,2022/05/09 12:07 PM,2022-05-09,2022-05-09 16:07:00 UTC,Eastern Time (US & Canada),1014628,slamonde,Steven Lamonde,2022-05-20 18:20:34 UTC,2022-05-20 19:15:44 UTC,research,CC-BY,https://www.inaturalist.org/observations/117896721,https://inaturalist-open-data.s3.amazonaws.com/photos/199143078/medium.jpeg,,,,1,0,False,,"Lyme, NH 03768, USA",43.74452735,-72.0693523,,,,,,,,False,,,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
36668,117896998,e8ee724b-bf1f-4898-9227-2690d70eebb7,2022-05-10 13:09:15,2022-05-10,2022-05-10 17:09:15 UTC,Eastern Time (US & Canada),773300,arachnopaull,Josh Paull,2022-05-20 18:22:45 UTC,2022-05-21 02:17:28 UTC,research,,https://www.inaturalist.org/observations/117896998,https://static.inaturalist.org/photos/199145297/medium.jpeg,,,,1,0,False,2.0,"Mansfield, CT 06268, USA",41.7734965984,-72.2155749053,1005.0,,,,1005.0,,,False,gps,gps,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
36669,117899047,aac319c8-da8f-4722-af06-487451ae1240,2022/05/17 12:54 AM,2022-05-17,2022-05-17 04:54:00 UTC,Eastern Time (US & Canada),1982883,leezeca,E.A. Noble,2022-05-20 18:38:29 UTC,2022-09-05 17:31:21 UTC,research,,https://www.inaturalist.org/observations/117899047,https://static.inaturalist.org/photos/199148340/medium.jpg,,,,1,0,False,,"Jefferson County, OH, USA",40.2963883333,-80.8467516667,,,,,,,,False,,,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
36670,117899363,d47e5625-6b80-49b4-a2cd-d9c7fd3ebe1d,2022-05-20 14:30:29-04:00,2022-05-20,2022-05-20 18:30:29 UTC,Eastern Time (US & Canada),5221038,garrettwixted,,2022-05-20 18:40:37 UTC,2022-05-23 18:36:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117899363,https://inaturalist-open-data.s3.amazonaws.com/photos/199149245/medium.jpg,,,,1,0,False,3.0,"Pennypacker Park, Haddonfield, NJ, US",39.905145,-75.0273138333,4.0,,,,4.0,,,False,,,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
36671,117901422,98f8099c-a4dd-4247-bfd6-65ee7c04d930,2022-05-20 14:52:09-04:00,2022-05-20,2022-05-20 18:52:09 UTC,Eastern Time (US & Canada),5644526,wayne_schaffer1,Wayne Schaffer,2022-05-20 18:55:58 UTC,2022-05-21 00:03:54 UTC,research,,https://www.inaturalist.org/observations/117901422,https://static.inaturalist.org/photos/199152802/medium.jpg,,,"Frog is in center of picture in the water near the mud. It is blackish in color. I suspect it is a Geen Frog because that is often what I see here, and it also has a dorsal ridge, or whatever it’s called. I spotted a large tadpole in the water further upstream.",1,0,False,3.0,"Boston Post Rd, Waterford, CT, US",41.344055,-72.1211305,3.0,,,,3.0,,,False,,,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
36672,117902866,21848ba0-9489-401a-a7cd-c691cf754c64,2022/05/19 4:20 PM,2022-05-19,2022-05-19 20:20:00 UTC,Eastern Time (US & Canada),1143403,mikeabel,Mike Abel,2022-05-20 19:07:15 UTC,2022-06-22 23:45:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117902866,https://inaturalist-open-data.s3.amazonaws.com/photos/199154215/medium.jpg,,,,1,0,False,,"Greene County, OH, USA",39.7395177587,-84.0104147314,2.0,,,,2.0,,,False,,,Green Frog,Lithobates clamitans,Green Frog,Amphibia,65982
