id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
11319417,ea7671c2-ca31-4bf8-9d2a-481e116f8c02,Sun Apr 22 2018 09:00:41 GMT-0600 (MDT),2018-04-22,2018-04-22 15:00:41 UTC,Mountain Time (US & Canada),872995,cactusjack,,2018-04-22 15:02:18 UTC,2025-05-25 06:29:54 UTC,research,,https://www.inaturalist.org/observations/11319417,https://static.inaturalist.org/photos/16116407/medium.jpg,,"",,7,0,false,3,"N R.E. Thomason Loop, El Paso, TX, US",31.7493394015,-106.4035571633,1651,,,,1651,,open,false,,,Red-crested Pochard,Netta rufina,Red-crested Pochard,Aves,7122,,
16286944,97d3dd89-7544-4953-844f-27a3aec32638,2018/09/06 10:19 AM EDT,2018-09-06,2018-09-06 14:19:00 UTC,Eastern Time (US & Canada),104658,jschuldiner,,2018-09-07 14:58:48 UTC,2021-08-10 01:04:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/16286944,https://inaturalist-open-data.s3.amazonaws.com/photos/24458914/medium.jpg,,"",can not identify,8,0,false,,"Lauderhill, FL, USA",26.1910824025,-80.2481729176,61,,,,61,,open,false,,,Red-crested Pochard,Netta rufina,Red-crested Pochard,Aves,7122,,
16560993,ad338fe6-4441-432a-aefe-f47bfad3b201,Mon Aug 06 2018 15:53:08 GMT-0400 (EDT),2018-08-06,2018-08-06 19:53:08 UTC,Eastern Time (US & Canada),1176069,vtravisliberator,,2018-09-15 19:09:04 UTC,2021-08-10 01:04:52 UTC,research,,https://www.inaturalist.org/observations/16560993,https://static.inaturalist.org/photos/24939722/medium.jpg,,"",,7,0,false,3,"7600 SW 39th St, Davie, FL, US",26.072575,-80.250375,5,,,,5,,open,false,,,Red-crested Pochard,Netta rufina,Red-crested Pochard,Aves,7122,,
16812327,7bd65e38-47b9-4e87-8c5e-214dc13bb6f9,Wed Sep 12 2018 16:29:20 GMT-0400 (EDT),2018-09-12,2018-09-12 20:29:20 UTC,Eastern Time (US & Canada),989205,gpoutas,"",2018-09-22 23:14:41 UTC,2023-02-21 03:13:08 UTC,research,,https://www.inaturalist.org/observations/16812327,https://static.inaturalist.org/photos/25383999/medium.jpg,,"",,5,0,false,3,"7325 NW 53rd St, Lauderhill, FL, US",26.19118,-80.24685,5,,,,5,,open,false,,,Red-crested Pochard,Netta rufina,Red-crested Pochard,Aves,7122,,
16812679,900f56ab-ecc9-4820-8ccf-1967d876a009,Wed Sep 12 2018 16:38:27 GMT-0400 (EDT),2018-09-12,2018-09-12 20:38:27 UTC,Eastern Time (US & Canada),989205,gpoutas,"",2018-09-22 23:22:46 UTC,2023-02-23 04:01:43 UTC,research,,https://www.inaturalist.org/observations/16812679,https://static.inaturalist.org/photos/25384621/medium.jpg,,"",female ,2,0,false,3,"7330 NW 54th St, Lauderhill, FL, US",26.1912083333,-80.2468333333,5,,,,5,,open,false,,,Rosy-billed Pochard,Netta peposaca,Rosy-billed Pochard,Aves,7124,,
19254930,19fd9670-5531-4855-92d7-37428a0097d0,Thu Dec 27 2018 12:21:24 GMT-0700 (MST),2018-12-27,2018-12-27 19:21:24 UTC,Mountain Time (US & Canada),264009,ck2az,CK2AZ,2018-12-27 20:44:04 UTC,2025-05-25 06:30:04 UTC,research,CC-BY,https://www.inaturalist.org/observations/19254930,https://inaturalist-open-data.s3.amazonaws.com/photos/29585780/medium.jpg,,"",Only in Texas do I ever see crazy stuff like this ,8,0,false,3,"N R.E. Thomason Loop, El Paso, TX, US",31.7495966667,-106.4034416667,5,,,,5,,open,false,,,Red-crested Pochard,Netta rufina,Red-crested Pochard,Aves,7122,,
19319464,01a9a53e-2d0f-45eb-978f-0916add8ea30,2018/12/30 3:42 PM MST,2018-12-30,2018-12-30 22:42:00 UTC,Mountain Time (US & Canada),456853,tuftedparidae,Joel DuBois,2018-12-30 23:18:17 UTC,2025-05-25 06:31:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19319464,https://inaturalist-open-data.s3.amazonaws.com/photos/29701429/medium.jpg,,"",Individual has lived in this lake longer than I've been alive.,5,0,false,,"Ascarate Lake, El Paso, TX 79905, USA",31.7494727,-106.4045181,745,,,,745,,open,false,,,Red-crested Pochard,Netta rufina,Red-crested Pochard,Aves,7122,,
20491998,56fe735f-67e7-4620-ab5e-ab85c6d29bce,2019-02-19 11:35:55 AM MST,2019-02-19,2019-02-19 18:35:55 UTC,Mountain Time (US & Canada),559623,randalllegens,Randall Legens,2019-02-19 18:59:22 UTC,2025-05-25 06:36:14 UTC,research,,https://www.inaturalist.org/observations/20491998,https://static.inaturalist.org/photos/31625922/medium.jpeg,,"",,4,0,false,2,"6685 Chris P Fox Dr, El Paso, TX 79905, USA",31.7487506866,-106.4057693481,,,,,,,open,false,gps,gps,Red-crested Pochard,Netta rufina,Red-crested Pochard,Aves,7122,,
22823728,a95670d6-3274-4841-b342-9eba26f87a87,Sat Apr 20 2019 17:10:10 GMT-0600 (MDT),2019-04-20,2019-04-20 23:10:10 UTC,Mountain Time (US & Canada),1464288,alexiswils26,,2019-04-21 16:58:15 UTC,2025-05-25 06:37:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22823728,https://inaturalist-open-data.s3.amazonaws.com/photos/35374047/medium.jpg,,"","This duck was seen at Ascarate Lake, it had a bright red beak with a rounded orange head and a black neck and tail. 
",4,0,false,3,"Ascarate Lake, El Paso, TX, US",31.7511783333,-106.4049916667,5,,,,5,,open,false,,,Red-crested Pochard,Netta rufina,Red-crested Pochard,Aves,7122,,
22943511,da69d795-3e2a-47d6-b9c1-f2b97333be51,Sat Apr 20 2019 16:53:57 GMT-0600 (MDT),2019-04-20,2019-04-20 22:53:57 UTC,Mountain Time (US & Canada),1470993,james_milam,,2019-04-23 15:14:33 UTC,2025-05-25 06:37:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22943511,https://inaturalist-open-data.s3.amazonaws.com/photos/35564509/medium.jpg,,"",I saw this pochard at Ascarate Lake. There were not many of them. The orange beak and different colored body is what stood out to me. It was also really isolated from the rest of the animals.,5,0,false,3,"Ascarate Lake, El Paso, TX, US",31.7504851087,-106.4043288751,29,,,,29,,open,false,,,Red-crested Pochard,Netta rufina,Red-crested Pochard,Aves,7122,,
