id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
864646,9b53196f-17b7-4e8c-a78d-badf8bbee05d,Sat Sep 06 2014 18:40:27 GMT-0400 (EDT),2014-09-06,2014-09-06 22:40:27 UTC,Eastern Time (US & Canada),51826,vventimiglia,,2014-09-07 00:38:21 UTC,2023-01-03 03:06:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/864646,https://inaturalist-open-data.s3.amazonaws.com/photos/1097050/medium.jpg,,"","Genus: Nylanderia
Common name: Crazy Ants
Found under wood",2,0,false,3,"The New York Botanical Garden, New York, NY, US",40.861469,-73.877638,213,,,,213,,,false,,,Yellow-footed Ant,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
1478931,0ca1a709-4ac4-4d14-bcf5-92e3274d977d,2015-05-07,2015-05-07,,Eastern Time (US & Canada),42780,pleary,Patrick Leary,2015-05-12 00:26:36 UTC,2016-07-29 13:11:21 UTC,research,CC-BY,http://www.inaturalist.org/observations/1478931,https://inaturalist-open-data.s3.amazonaws.com/photos/1833421/medium.jpg,,"","",1,0,false,,"Barnstable County, US-MA, US",41.524888,-70.660976,10,,,,10,,,false,,,Nylanderia flavipes,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
2078584,c4486f89-20b4-4e4e-91c4-3755f2219c04,2015-10-05,2015-10-05,,Eastern Time (US & Canada),126855,wbonilla,,2015-10-05 23:57:39 UTC,2023-01-08 17:43:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2078584,https://inaturalist-open-data.s3.amazonaws.com/photos/2484653/medium.jpg,,"","tiny, black and red colored ants were found under a rock",2,0,false,,"Fairleigh Dickinson University, Madison, NJ",40.774254,-74.433465,15,,,,15,,,false,,,Yellow-footed Ant,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
3247543,d06906ba-4764-4485-8021-d4184ec9d084,2016-05-21 11:17:39 AM EDT,2016-05-21,2016-05-21 15:17:39 UTC,Eastern Time (US & Canada),245237,paldrich88,,2016-05-21 15:49:57 UTC,2025-01-28 15:28:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3247543,https://inaturalist-open-data.s3.amazonaws.com/photos/3757415/medium.jpeg,,"",,1,0,false,2,"Northwest Washington Washington, DC",38.95923727,-77.0548237,8,,,,8,,,false,,,Yellow-footed Ant,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
3291228,d2620310-2c6e-4a41-8230-0083ad469b8d,Mon May 23 2016 13:30:44 GMT-0400 (EDT),2016-05-23,2016-05-23 17:30:44 UTC,Eastern Time (US & Canada),206070,treefinder,"",2016-05-24 17:18:15 UTC,2023-01-08 17:43:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3291228,https://inaturalist-open-data.s3.amazonaws.com/photos/3804215/medium.jpg,,"",,2,0,false,3,"The Lawrenceville School, Lawrence, NJ, US",40.2928015916,-74.7282459308,5,,,,5,,,false,,,Yellow-footed Ant,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
4187629,fc76709c-bfc4-42f3-99d2-3ae613f6a46e,2016/09/18 4:09 PM PDT,2016-09-18,2016-09-18 23:09:00 UTC,Pacific Time (US & Canada),52839,glmory,Jesse Rorabaugh,2016-09-24 05:32:13 UTC,2024-02-14 19:07:30 UTC,research,CC0,http://www.inaturalist.org/observations/4187629,https://inaturalist-open-data.s3.amazonaws.com/photos/4988908/medium.jpg,,"",,3,0,false,,"Allegheny, Pennsylvania, United States",40.51109,-80.1969416667,,,,,,,,false,,,Yellow-footed Ant,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
5184480,f318eca8-8a82-4835-b0e3-1a4f34235b1a,2017/02/25 9:30 AM EST,2017-02-25,2017-02-25 14:30:00 UTC,Eastern Time (US & Canada),1000,muir,Matt Muir,2017-02-26 20:59:55 UTC,2025-01-28 15:28:45 UTC,research,CC-BY,https://www.inaturalist.org/observations/5184480,https://inaturalist-open-data.s3.amazonaws.com/photos/6395731/medium.jpeg,,"",In spring crocus.,1,0,false,,Rock Creek Park,38.9720333333,-77.0438916667,20,,,,20,,,false,,,Yellow-footed Ant,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
7231037,c19e2b78-7375-477b-ae93-d75bafc0d2cf,2017-07-27 9:36:07 AM EDT,2017-07-27,2017-07-27 13:36:07 UTC,Eastern Time (US & Canada),417464,kittiesrtbst,,2017-07-27 13:36:38 UTC,2023-01-03 03:06:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7231037,https://inaturalist-open-data.s3.amazonaws.com/photos/9337222/medium.jpeg,,"",,2,0,false,2,"Ridge Trail Bronx, NY 10458 USA",40.86278642,-73.87730111,40,,,,40,,,false,,,Yellow-footed Ant,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
7231093,f7db9605-4ad6-4e7e-b26a-cc5c9ff44391,Thu Jul 27 2017 09:42:28 GMT-0400 (EDT),2017-07-27,2017-07-27 13:42:28 UTC,Eastern Time (US & Canada),311140,margela,,2017-07-27 13:42:59 UTC,2023-03-11 01:31:24 UTC,research,,https://www.inaturalist.org/observations/7231093,https://static.inaturalist.org/photos/9337352/medium.jpg,,"",,3,0,false,3,"The New York Botanical Garden, New York, NY, US",40.8629837992,-73.8786118959,65,,,,65,,,false,,,Yellow-footed Ant,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
7593707,c0f0a3dc-8d16-41e8-b64b-591f8b2698b5,2017-08-19,2017-08-19,,Eastern Time (US & Canada),494532,ansel_oommen,Ansel Oommen,2017-08-21 19:34:04 UTC,2023-01-03 03:06:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7593707,https://inaturalist-open-data.s3.amazonaws.com/photos/9919849/medium.jpeg,,"","",2,0,false,,brooklyn botanic garden,40.669043,-73.965701,50,,,,50,,,false,,,Yellow-footed Ant,Nylanderia flavipes,Yellow-footed Ant,Insecta,372712,,
