,id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
76183,150958309,bfd33d3e-4ac8-4fc5-a248-125096c5efbb,2023-03-12 11:26:31-05:00,2023-03-12,2023-03-12 16:26:31 UTC,Central Time (US & Canada),2847002,kbozzy,Kyrsten Boswell,2023-03-12 19:33:25 UTC,2024-05-22 20:05:05 UTC,research,,https://www.inaturalist.org/observations/150958309,https://static.inaturalist.org/photos/260393663/medium.jpg,,,,3,0,False,3.0,"Abita Springs, LA, US",30.507675,-89.9661633333,4.0,,,,4.0,,,False,,,North American Wheel Bug,Arilus cristatus,North American Wheel Bug,Insecta,48957,,
76184,150959213,ddff2516-88dc-4f19-b0e2-1aa767a4136f,2023-03-12 14:17:31,2023-03-12,2023-03-12 18:17:31 UTC,Eastern Time (US & Canada),3321875,bkfj,bkfj,2023-03-12 19:42:09 UTC,2023-03-13 09:15:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/150959213,https://static.inaturalist.org/photos/260395270/medium.jpeg,,,,1,0,False,2.0,"Upper Township, NJ, USA",39.3175120319,-74.8566747084,279.0,,,,279.0,,,False,gps,gps,Melanolestes picipes,Melanolestes picipes,Black Corsair,Insecta,307904,,
76185,150959292,2c92c18d-2e8c-4983-95fd-ef540ea9ca24,2023/03/11 3:43 PM,2023-03-11,2023-03-11 20:43:00 UTC,Eastern Time (US & Canada),1960620,cpgibson,,2023-03-12 19:42:38 UTC,2024-11-03 11:26:46 UTC,research,,https://www.inaturalist.org/observations/150959292,https://inaturalist-open-data.s3.amazonaws.com/photos/260391402/medium.jpeg,,,,1,0,False,,"Florida, US",28.595957144,-82.1541865928,1635.0,,,,29607.0,obscured,,True,,,Scarlet-bordered Assassin Bug,Rhiginia cruciata,Scarlet-bordered Assassin Bug,Insecta,308345,,
76186,150962346,ebd86588-b1f7-4e64-84c4-c5d21f79c196,2023-03-12 15:09:13-05:00,2023-03-12,2023-03-12 20:09:13 UTC,Central Time (US & Canada),97629,auntiem,,2023-03-12 20:11:13 UTC,2023-03-13 01:12:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/150962346,https://inaturalist-open-data.s3.amazonaws.com/photos/260401387/medium.jpg,,,,3,0,False,3.0,"Scenic Ranch Cir, Fairview, TX, US",33.1415989292,-96.5926842672,4.0,,,,4.0,,,False,,,Milkweed Assassin Bug,Zelus longipes,Milkweed Assassin Bug,Insecta,133826,,
76187,150965009,5feb927f-7420-45ae-b03a-c0e7a709784e,2023-03-12 16:07:27,2023-03-12,2023-03-12 20:07:27 UTC,Eastern Time (US & Canada),11064,robgur,Robert Guralnick,2023-03-12 20:32:29 UTC,2023-03-12 21:55:16 UTC,research,CC-BY,https://www.inaturalist.org/observations/150965009,https://inaturalist-open-data.s3.amazonaws.com/photos/260405721/medium.jpeg,,,,2,0,False,2.0,"Gainesville, FL 32641, USA",29.6617833333,-82.2474277778,,,,,,,,False,gps,gps,Ringed Assassin Bug,Pselliopus cinctus,Ringed Assassin Bug,Insecta,82023,,
76188,150966278,a985680b-b526-4adc-b5df-9211519204b8,2023-03-12 15:44:14-05:00,2023-03-12,2023-03-12 20:44:14 UTC,Central Time (US & Canada),3306429,dylanbartlett,Dylan Bartlett,2023-03-12 20:44:56 UTC,2024-08-09 18:50:30 UTC,research,,https://www.inaturalist.org/observations/150966278,https://static.inaturalist.org/photos/260430287/medium.jpg,,,,2,0,False,3.0,"Cayman Cove, Biloxi, MS, US",30.3936366667,-88.934295,23.0,,,,23.0,,,False,,,Milkweed Assassin Bug,Zelus longipes,Milkweed Assassin Bug,Insecta,133826,,
76189,150966724,765adcc3-dd5a-4b58-a338-1d69ff097e99,2023/03/07 9:27 AM,2023-03-07,2023-03-07 15:27:00 UTC,Central Time (US & Canada),2351441,little_metal_weirdo,Matthew Hammond,2023-03-12 20:49:17 UTC,2023-03-18 13:59:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/150966724,https://inaturalist-open-data.s3.amazonaws.com/photos/260402102/medium.jpg,,,,1,0,False,,"Conway, AR, USA",35.0992472222,-92.4662611111,,,,,,,,False,,,Pale Green Assassin Bug,Zelus luridus,Pale Green Assassin Bug,Insecta,129423,,
76190,150978815,44322a17-c275-426c-bfde-33520c61ef12,2023-03-12 18:29:42-04:00,2023-03-12,2023-03-12 22:29:42 UTC,Eastern Time (US & Canada),2571191,amalone117,,2023-03-12 22:32:21 UTC,2024-10-24 19:18:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/150978815,https://inaturalist-open-data.s3.amazonaws.com/photos/260431111/medium.jpg,,,,2,0,False,3.0,"Lake Lotus Park, Altamonte Springs, FL, US",28.6440333333,-81.4252783333,18.0,,,,18.0,,,False,,,North American Wheel Bug,Arilus cristatus,North American Wheel Bug,Insecta,48957,,
76191,150986146,d5afb11e-f4ce-4b54-98cd-a185394e60d7,2023-03-12 18:50:41,2023-03-12,2023-03-12 23:50:41 UTC,Central Time (US & Canada),711334,lifeagogo,Tracey Allen,2023-03-12 23:52:50 UTC,2023-04-17 06:25:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/150986146,https://inaturalist-open-data.s3.amazonaws.com/photos/260445844/medium.jpeg,,,,1,0,False,2.0,"Brusly, LA 70719, USA",30.3931149657,-91.3150776923,831.0,,,,831.0,,,False,gps,gps,Rasahus hamatus,Rasahus hamatus,,Insecta,308325,,
76192,150994730,1520676d-383f-4b22-89e0-62dabfb392d7,2023/03/12 7:42 PM,2023-03-12,2023-03-12 23:42:00 UTC,Eastern Time (US & Canada),2081962,kcthetc1,,2023-03-13 01:21:36 UTC,2023-03-13 10:23:22 UTC,research,CC0,https://www.inaturalist.org/observations/150994730,https://inaturalist-open-data.s3.amazonaws.com/photos/260459634/medium.jpeg,,,,1,0,False,,"River Rd. Preserve: Putnam County, FL, USA",29.7172353161,-81.6043768244,36.0,,,,36.0,,,False,,,Melanolestes picipes,Melanolestes picipes,Black Corsair,Insecta,307904,,
76193,150999461,48d797d1-1f50-4dde-88e9-8e550f8e511d,2023-03-11 15:54:29-06:00,2023-03-11,2023-03-11 21:54:29 UTC,Central Time (US & Canada),6971,silversea_starsong,James Bailey,2023-03-13 02:17:17 UTC,2023-03-13 02:42:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/150999461,https://inaturalist-open-data.s3.amazonaws.com/photos/260470713/medium.jpg,,,,1,0,False,3.0,"Salton Dr, Austin, TX, US",30.4176716667,-97.7591083333,5.0,,,,5.0,,,False,,,,Sinea diadema,Spined Assassin Bug,Insecta,133977,,
76194,151001821,d938e749-f629-4dbd-a1ec-02c299dda726,2023-03-12 16:07:42-05:00,2023-03-12,2023-03-12 21:07:42 UTC,Central Time (US & Canada),3132892,chjars,,2023-03-13 02:47:18 UTC,2023-03-13 10:40:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/151001821,https://inaturalist-open-data.s3.amazonaws.com/photos/260475515/medium.jpg,,,,1,0,False,3.0,"Taupewood Pl, Conroe, TX, US",30.2152807675,-95.5000273438,327.0,,,,327.0,,,False,,,Four-spurred Assassin Bug,Zelus tetracanthus,Four-spurred Assassin Bug,Insecta,334038,,
