id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
1643084,112935b5-8202-474e-bd5c-9c9f15859150,2014-07-10,2014-07-10,,Pacific Time (US & Canada),108450,rjadams55,R.J. Adams,2015-06-18 01:06:37 UTC,2018-07-01 20:10:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1643084,https://static.inaturalist.org/photos/2015666/medium.jpg,,"","This was one of the species I most wanted to find while traveling through southeastern Arizona. Mexican Fox Squirrels are large but secretive squirrels that can be difficult to find. While fairly widespread in parts of Mexico, the only place in the United States where they are found is in the Chiricahua Mountains, where this endemic subspecies resides.",1,0,false,,"Cave Creek, Chiricahua Mountains",31.875677,-109.179908,247,,,,247,,,false,,,Chiricahua Fox Squirrel,Sciurus nayaritensis chiricahuae,Chiricahua Fox Squirrel,Mammalia,238455,,
3744198,a3320d91-073e-4180-bf57-137e3c31527f,7/16/16,2016-07-16,,Pacific Time (US & Canada),3342,hfabian,Henry Fabian,2016-07-25 17:06:23 UTC,2021-10-16 01:04:15 UTC,research,CC0,http://www.inaturalist.org/observations/3744198,https://static.inaturalist.org/photos/4354432/medium.jpeg,,"",,2,0,false,,"Cave Creek Canyon, Arizona 85632, USA",31.8962033,-109.1636719,1841,,,,1841,,,false,,,Mexican Fox Squirrel,Sciurus nayaritensis,Mexican Fox Squirrel,Mammalia,46024,,
4873490,9300c9da-fcf9-43db-ac11-dd19f5bba1b3,Sat Dec 31 2016 08:06:54 GMT-0700 (MST),2016-12-31,2016-12-31 15:06:54 UTC,Mountain Time (US & Canada),384415,sctking,Susan King,2016-12-31 15:18:29 UTC,2017-01-01 15:46:52 UTC,research,,https://www.inaturalist.org/observations/4873490,https://static.inaturalist.org/photos/5922976/medium.jpg,,,,1,0,false,3,"Coronado National Forest, San Simon, AZ, US",31.9044783333,-109.1562888333,,,,,,,,false,,,Mexican Fox Squirrel,Sciurus nayaritensis,Mexican Fox Squirrel,Mammalia,46024,,
4886313,d1a1bda8-d7e4-409e-8c03-a54613ad4d4b,2016/06/11 9 AM MST,2016-06-11,2016-06-11 15:00:00 UTC,Mountain Time (US & Canada),269952,joshuagsmith,Joshua Smith,2017-01-03 03:41:47 UTC,2017-03-05 06:44:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4886313,https://inaturalist-open-data.s3.amazonaws.com/photos/5941728/medium.jpeg,,"",Only recorded one here.  Restricted to the Chiricahuas in the United States.,1,0,false,,"2003 W Cave Creek Rd, Portal, AZ 85632, USA",31.8839759,-109.2060525,46,,,,46,,,false,,,Mexican Fox Squirrel,Sciurus nayaritensis,Mexican Fox Squirrel,Mammalia,46024,,
6276508,dbdc3a48-d835-4d9c-a8ad-5248e87e47df,2017/05/07 6:33 AM PDT,2017-05-07,2017-05-07 13:33:00 UTC,Pacific Time (US & Canada),26610,anudibranchmom,Robin Gwen Agarwal,2017-05-19 21:17:08 UTC,2017-08-03 00:25:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6276508,https://inaturalist-open-data.s3.amazonaws.com/photos/7897361/medium.jpg,,"","Or perhaps Apache Fox Squirrel?
South Fork trail",1,0,false,,"Cochise County, AZ, USA",31.8580951372,-109.1932010651,1274,,,,1274,,,false,,,Mexican Fox Squirrel,Sciurus nayaritensis,Mexican Fox Squirrel,Mammalia,46024,,
6407852,123fea3f-d895-4519-90af-69c6904828eb,2016/04/26 7:35 PM MST,2016-04-26,2016-04-27 01:35:00 UTC,Mountain Time (US & Canada),489036,tomoclark,Tom Clark,2017-05-28 23:03:11 UTC,2017-09-28 01:02:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6407852,https://inaturalist-open-data.s3.amazonaws.com/photos/8084693/medium.jpeg,,"",,1,0,false,,"Turkey Creek CG, Cochise County, AZ, USA",31.862833579,-109.3390274048,244,,,,244,,,false,,,Mexican Fox Squirrel,Sciurus nayaritensis,Mexican Fox Squirrel,Mammalia,46024,,
6700486,9e81adf0-8bb5-454a-b5cb-dcf696b18671,2016/07/24 4:45 PM EDT,2016-07-24,2016-07-24 20:45:00 UTC,Eastern Time (US & Canada),74073,randrew706,Andrew Dreelin,2017-06-18 04:18:07 UTC,2017-06-19 15:12:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6700486,https://inaturalist-open-data.s3.amazonaws.com/photos/8495434/medium.jpeg,,"",,1,0,false,,"Cochise County, AZ, USA",31.8773025434,-109.1787600517,129,,,,129,,,false,,,Mexican Fox Squirrel,Sciurus nayaritensis,Mexican Fox Squirrel,Mammalia,46024,,
8019975,9a2ba279-abd6-4999-a3d4-7f8d17894470,2017-09-16 09:37:06,2017-09-16,2017-09-16 15:37:06 UTC,Mountain Time (US & Canada),3499,bryanto,"",2017-09-21 03:33:31 UTC,2017-10-12 04:52:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8019975,https://inaturalist-open-data.s3.amazonaws.com/photos/10616284/medium.jpg,,"arizona, AZ, FOX SQUIRREL","",1,0,false,,"CAVE CREEK CANYON,AZ",31.880109,-109.175391,476,,,,476,,,false,,"",Mexican Fox Squirrel,Sciurus nayaritensis,Mexican Fox Squirrel,Mammalia,46024,,
9056051,28770d97-27c5-49ec-933b-fe314606da21,2017/07/10 9:03 AM CDT,2017-07-10,2017-07-10 14:03:00 UTC,Central Time (US & Canada),211607,sternberg_science_camps,"",2017-12-05 20:16:01 UTC,2018-09-04 11:54:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9056051,https://inaturalist-open-data.s3.amazonaws.com/photos/12224655/medium.jpeg,,"",,2,1,false,,"Cochise County, AZ, USA",31.8601505617,-109.1910548907,1331,,,,1331,,,false,,,Mexican Fox Squirrel,Sciurus nayaritensis,Mexican Fox Squirrel,Mammalia,46024,,
9259551,ce53611d-f86b-4991-9c46-caa88e9126c5,2016/07/16 1:15 PM MST,2016-07-16,2016-07-16 19:15:00 UTC,Mountain Time (US & Canada),136877,azgulo,Chris Benesh,2017-12-25 20:23:58 UTC,2017-12-25 22:09:20 UTC,research,,https://www.inaturalist.org/observations/9259551,https://static.inaturalist.org/photos/12540578/medium.jpg,,"",,1,0,false,,"Cochise County, AZ, USA",31.8758096135,-109.1812761385,1841,,,,1841,,,false,,,Mexican Fox Squirrel,Sciurus nayaritensis,Mexican Fox Squirrel,Mammalia,46024,,
