,id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
30508,131613695,bb24fed3-4d34-4ba7-a8c2-f1c902210664,2022-08-20 12:45:35,2022-08-20,2022-08-20 17:45:35 UTC,Central Time (US & Canada),3391931,celkins,,2022-08-20 18:03:41 UTC,2022-08-20 19:43:09 UTC,research,,https://www.inaturalist.org/observations/131613695,https://inaturalist-open-data.s3.amazonaws.com/photos/224000167/medium.jpeg,,,,1,0,False,2.0,Crystal Lake,42.2411250742,-88.3161966875,5426.0,,,,5426.0,,,False,gps,gps,Eastern Yellowjacket,Vespula maculifrons,Eastern Yellowjacket,Insecta,119994,,
30509,131614886,a42dc1b4-b52b-4e2c-9727-6f06fcea6729,2022-08-18 18:25:12-04:00,2022-08-18,2022-08-18 22:25:12 UTC,Eastern Time (US & Canada),56689,arianwenjones,Arianwen Jones,2022-08-20 18:12:27 UTC,2022-08-20 21:37:41 UTC,research,,https://www.inaturalist.org/observations/131614886,https://static.inaturalist.org/photos/224002645/medium.jpg,,,,2,0,False,3.0,"Ocean Blvd, Rye, NH, US",43.0170333333,-70.7337633333,4.0,,,,4.0,,,False,,,Vespula germanica,Vespula germanica,German Yellowjacket,Insecta,126155,,
30510,131617853,b864ad22-c2b0-40d8-b88b-80d0e999570a,2022-08-20 14:25:02-04:00,2022-08-20,2022-08-20 18:25:02 UTC,Eastern Time (US & Canada),477900,skyhammer,William Hamersky,2022-08-20 18:34:04 UTC,2022-08-20 19:43:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131617853,https://inaturalist-open-data.s3.amazonaws.com/photos/224008258/medium.jpg,,,,1,0,False,3.0,"Taylors Gap Rd, Charlottesville, VA, US",38.0215416667,-78.6314616667,4.0,,,,4.0,,,False,,,Eastern Yellowjacket,Vespula maculifrons,Eastern Yellowjacket,Insecta,119994,,
30511,131620166,40e93ad2-7e66-4149-8ddd-af15d57cc41d,2022-08-20 14:39:43-04:00,2022-08-20,2022-08-20 18:39:43 UTC,Eastern Time (US & Canada),2588524,adamkohl,Adam Kohl,2022-08-20 18:49:42 UTC,2025-03-19 01:43:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131620166,https://inaturalist-open-data.s3.amazonaws.com/photos/224012473/medium.jpg,,,,1,0,False,3.0,"Holtshire Rd, Orange, MA, US",42.5627783333,-72.3219083333,5.0,,,,5.0,,,False,,,Vespula vidua,Vespula vidua,Widow Yellowjacket,Insecta,130820,,
30512,131622813,fabff312-ca98-4d7a-9af7-025c90494224,2022-08-20 14:54:36-04:00,2022-08-20,2022-08-20 18:54:36 UTC,Eastern Time (US & Canada),3372004,schoolstreetflowers,,2022-08-20 19:07:41 UTC,2024-08-22 17:13:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131622813,https://inaturalist-open-data.s3.amazonaws.com/photos/224016868/medium.jpg,,,On fennel flower ,1,0,False,3.0,"Union St, Orleans, VT, US",44.8099583333,-72.19902,4.0,,,,4.0,,,False,,,Vespula flavopilosa,Vespula flavopilosa,Downy Yellowjacket,Insecta,233558,,
30513,131627963,17cb2f00-3265-47b7-9b16-30741f2e7f55,2022-08-09 16:52:08,2022-08-09,2022-08-09 20:52:08 UTC,Eastern Time (US & Canada),3133703,mmmmbugs,Adrienne van den Beemt,2022-08-20 19:47:54 UTC,2025-03-24 22:43:16 UTC,research,CC-BY,https://www.inaturalist.org/observations/131627963,https://inaturalist-open-data.s3.amazonaws.com/photos/224027023/medium.jpeg,,,,2,0,False,2.0,"West Windsor, VT 05089, USA",43.5308277778,-72.42735,,,,,,,,False,gps,gps,Eastern Yellowjacket,Vespula maculifrons,Eastern Yellowjacket,Insecta,119994,,
30514,131631493,e388c86b-0fe6-42ff-96d0-26e6bd514654,2022-08-20 16:12:42-04:00,2022-08-20,2022-08-20 20:12:42 UTC,Eastern Time (US & Canada),4403197,brchmid14,,2022-08-20 20:13:57 UTC,2025-03-19 01:43:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131631493,https://inaturalist-open-data.s3.amazonaws.com/photos/224033571/medium.jpg,,,,1,0,False,3.0,"Prospect Hill Rd, Harvard, MA, US",42.5090042485,-71.6107982375,253.0,,,,253.0,,,False,,,Vespula vidua,Vespula vidua,Widow Yellowjacket,Insecta,130820,,
30515,131632255,63bd1992-c609-4722-8239-d72ee8fe91e6,2022/08/20 4:17 PM,2022-08-20,2022-08-20 20:17:00 UTC,Eastern Time (US & Canada),745726,laura1122,,2022-08-20 20:19:40 UTC,2022-08-20 21:24:49 UTC,research,,https://www.inaturalist.org/observations/131632255,https://static.inaturalist.org/photos/224034611/medium.jpg,,,,1,0,False,,"South Berwick, ME 03908, USA",43.2778845353,-70.7005347826,191.0,,,,191.0,,,False,,,Vespula flavopilosa,Vespula flavopilosa,Downy Yellowjacket,Insecta,233558,,
30516,131632753,b4087f57-6994-44f8-8245-64895a8cf287,2022-08-20 16:20:20-04:00,2022-08-20,2022-08-20 20:20:20 UTC,America/Detroit,5648621,enicospilus,Moony,2022-08-20 20:22:53 UTC,2022-08-26 20:12:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131632753,https://inaturalist-open-data.s3.amazonaws.com/photos/224036183/medium.jpg,,,,2,0,False,3.0,"Crooked Lake, Delton, MI, US",42.4957597192,-85.4296969093,400944.0,,,,400944.0,,,False,,,Southern Yellowjacket,Vespula squamosa,Southern Yellowjacket,Insecta,233560,,
30517,131633312,7958c888-4480-4e36-9c6f-6234df28c93b,2022-08-12 09:14:13-04:00,2022-08-12,2022-08-12 13:14:13 UTC,Indiana (East),1306000,robhongen,Robert Hongen,2022-08-20 20:27:07 UTC,2024-12-02 14:20:51 UTC,research,,https://www.inaturalist.org/observations/131633312,https://static.inaturalist.org/photos/224829842/medium.jpg,,,,2,0,False,3.0,"S Piazza Dr, Bloomington, IN, US",39.149175,-86.4996633333,4.0,,,,4.0,,,False,,,Eastern Yellowjacket,Vespula maculifrons,Eastern Yellowjacket,Insecta,119994,,
30518,131634882,d0fa60e8-7489-49af-b5d4-796b6b08e993,2022/08/20 3:22 PM,2022-08-20,2022-08-20 20:22:00 UTC,Central Time (US & Canada),4768979,beetle_enjoyer,Dory M,2022-08-20 20:38:18 UTC,2022-08-20 21:40:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131634882,https://inaturalist-open-data.s3.amazonaws.com/photos/224036138/medium.png,,,,1,0,False,,"Caledonia, IL 61011, USA",42.4140732,-88.9263417,976.0,,,,976.0,,,False,,,Vespula vidua,Vespula vidua,Widow Yellowjacket,Insecta,130820,,
30519,131637912,1d50ad49-e121-479e-92d2-55597d069481,2022-08-20 16:59:00-04:00,2022-08-20,2022-08-20 20:59:00 UTC,Eastern Time (US & Canada),560446,asgreen,,2022-08-20 21:00:19 UTC,2022-08-21 02:05:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131637912,https://inaturalist-open-data.s3.amazonaws.com/photos/224045741/medium.jpg,,,,1,0,False,3.0,"New York, US",43.0471013661,-77.4909774549,16.0,,,,27537.0,obscured,,True,,,Vespula maculifrons,Vespula maculifrons,Eastern Yellowjacket,Insecta,119994,,
30520,131639247,7db0fbd6-3b62-44c7-8343-e1e6f1533244,2022-08-19 11:45:22-07:00,2022-08-19,2022-08-19 18:45:22 UTC,Pacific Time (US & Canada),204369,manyenglishes,,2022-08-20 21:10:04 UTC,2022-08-21 04:52:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131639247,https://inaturalist-open-data.s3.amazonaws.com/photos/224048095/medium.jpg,,,,1,0,False,3.0,"Lake Miramar, San Diego, CA, US",32.9156133333,-117.0943,4.0,,,,4.0,,,False,,,Vespula pensylvanica,Vespula pensylvanica,Western Yellowjacket,Insecta,61355,,
30521,131641644,76aed506-614b-48a3-b710-1b3cd731fa5a,2022/08/18 9:57 PM,2022-08-18,2022-08-19 02:57:00 UTC,Central Time (US & Canada),3113294,chdphoto,Kevin,2022-08-20 21:25:04 UTC,2022-08-21 18:26:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131641644,https://inaturalist-open-data.s3.amazonaws.com/photos/224050540/medium.jpg,,moth traps,,1,0,False,,"Glengarry Highlands, New Berlin, WI 53146, USA",42.9406341126,-88.18188683,8.0,,,,8.0,,,False,,,Vespula vidua,Vespula vidua,Widow Yellowjacket,Insecta,130820,,
30522,131644886,9cfc7a96-788c-4930-a0d8-3f2f7a686704,2022-08-20 16:50:41-05:00,2022-08-20,2022-08-20 21:50:41 UTC,Central Time (US & Canada),2114448,vickisuemiller,Vicki Miller,2022-08-20 21:51:12 UTC,2022-08-21 18:22:37 UTC,research,,https://www.inaturalist.org/observations/131644886,https://inaturalist-open-data.s3.amazonaws.com/photos/224057697/medium.jpg,,,Drowned in a bucket of water ,1,0,False,3.0,"Van Ness St N, West Salem, WI, US",43.8987148181,-91.0771859531,9.0,,,,9.0,,,False,,,Vespula germanica,Vespula germanica,German Yellowjacket,Insecta,126155,,
30523,131651801,4c035c27-4248-4ab9-9099-3a8a25ba0270,2022-08-20 16:51:26,2022-08-20,2022-08-20 20:51:26 UTC,Indiana (East),4905173,jwharrison,Jimmy Harrison,2022-08-20 22:45:28 UTC,2024-08-21 14:48:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131651801,https://inaturalist-open-data.s3.amazonaws.com/photos/224070683/medium.jpeg,,,,2,0,False,2.0,"Harrison Township, IN, USA",39.2072055556,-86.0364944444,,,,,,,,False,,,Eastern Yellowjacket,Vespula maculifrons,Eastern Yellowjacket,Insecta,119994,,
30524,131656692,359174a9-a389-474d-9592-a79b4c3bd4bc,2022/08/20 2:26 PM,2022-08-20,2022-08-20 21:26:00 UTC,Pacific Time (US & Canada),5167516,muddphoto,Sheldon Logan,2022-08-20 23:27:31 UTC,2022-08-21 20:14:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131656692,https://inaturalist-open-data.s3.amazonaws.com/photos/224077472/medium.jpeg,,,,1,0,False,,"Santa Cruz County, CA, USA",37.0842093702,-122.0611879369,602.0,,,,602.0,,,False,,,Vespula pensylvanica,Vespula pensylvanica,Western Yellowjacket,Insecta,61355,,
30525,131662017,a2df18c4-db94-4aca-9a87-5000dc8bc543,2022-08-20 18:06:27,2022-08-20,2022-08-20 22:06:27 UTC,Eastern Time (US & Canada),6046616,naturalearth,Lexi,2022-08-21 00:12:24 UTC,2022-10-02 23:18:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/131662017,https://inaturalist-open-data.s3.amazonaws.com/photos/224090275/medium.jpeg,,,,2,0,False,2.0,"Hubbardston, MA 01452, USA",42.4674229722,-71.9552199722,,,,,,,,False,gps,gps,Eastern Yellowjacket,Vespula maculifrons,Eastern Yellowjacket,Insecta,119994,,
30526,131663719,d40a48ea-6a9b-4e0d-9b8a-23a55eea54e3,2022/08/20 9:44 AM,2022-08-20,2022-08-20 13:44:00 UTC,Eastern Time (US & Canada),1218043,normlevey,Norman Levey,2022-08-21 00:28:52 UTC,2025-03-19 01:43:32 UTC,research,,https://www.inaturalist.org/observations/131663719,https://static.inaturalist.org/photos/223976050/medium.jpg,,,,1,0,False,,"Lincoln, MA, USA",42.4204152395,-71.3403224945,8.0,,,,8.0,,,False,,,Widow Yellowjacket,Vespula vidua,Widow Yellowjacket,Insecta,130820,,
